ABR,Arbor Realty Trust,
Date,Price,Dividend,Annualized Dividend
04/07/2004,5.4603161955440935,0.0,0.0
04/08/2004,5.582867995045189,0.0,0.0
04/12/2004,5.569250621734238,0.0,0.0
04/13/2004,5.313258647918701,0.0,0.0
04/14/2004,5.283299336296293,0.0,0.0
04/15/2004,5.291468253743774,0.0,0.0
04/16/2004,5.337766653413685,0.0,0.0
04/19/2004,5.310535234183988,0.0,0.0
04/20/2004,5.3105344506845835,0.0,0.0
04/21/2004,5.3513836948948414,0.0,0.0
04/22/2004,5.25606679284825,0.0,0.0
04/23/2004,5.3132564593353235,0.0,0.0
04/26/2004,5.310533046722412,0.0,0.0
04/27/2004,5.296916978710215,0.0,0.0
04/28/2004,5.392234331724504,0.0,0.0
04/29/2004,5.337767516261329,0.0,0.0
04/30/2004,5.324150530569749,0.0,0.0
05/03/2004,5.29691546538956,0.0,0.0
05/04/2004,5.310532094238362,0.0,0.0
05/05/2004,5.275130380511602,0.0,0.0
05/06/2004,5.337767132696172,0.0,0.0
05/07/2004,5.392233849013236,0.0,0.0
05/10/2004,5.2152138860983905,0.0,0.0
05/11/2004,5.228833301536686,0.0,0.0
05/12/2004,5.228833198547363,0.0,0.0
05/13/2004,5.242450517870896,0.0,0.0
05/14/2004,5.256065559457115,0.0,0.0
05/17/2004,5.269681912710583,0.0,0.0
05/18/2004,5.1961517333984375,0.0,0.0
05/19/2004,5.168919256563746,0.0,0.0
05/20/2004,5.182535390249896,0.0,0.0
05/21/2004,5.17436515301069,0.0,0.0
05/24/2004,5.160747897616522,0.0,0.0
05/25/2004,5.098112012587328,0.0,0.0
05/26/2004,5.133514877736411,0.0,0.0
05/27/2004,5.1580254788115685,0.0,0.0
05/28/2004,5.155304361063916,0.0,0.0
06/01/2004,5.16074907522353,0.0,0.0
06/02/2004,5.133515100862472,0.0,0.0
06/03/2004,5.242449486401022,0.0,0.0
06/04/2004,5.226109234531855,0.0,0.0
06/07/2004,5.160748481750488,0.0,0.0
06/08/2004,5.174363173447646,0.0,0.0
06/09/2004,5.242450157966463,0.0,0.0
06/10/2004,5.2941916873170145,0.0,0.0
06/14/2004,5.337767132696172,0.0,0.0
06/15/2004,5.4467010498046875,0.0,0.0
06/16/2004,5.465763545497335,0.0,0.0
06/17/2004,5.484826938486089,0.0,0.0
06/18/2004,5.569249221826064,0.0,0.0
06/21/2004,5.719036119708361,0.0,0.0
06/22/2004,5.610100746154785,0.0,0.0
06/23/2004,5.582868277144468,0.0,0.0
06/24/2004,5.555632476833482,0.0,0.0
06/25/2004,5.487551203790645,0.0,0.0
06/28/2004,5.4603177935766,0.0,0.0
06/29/2004,5.378617371739249,0.0,0.0
06/30/2004,5.392232394863676,0.0,0.0
07/01/2004,5.419224688980298,0.35,0.35
07/02/2004,5.419224230161868,0.0,0.35
07/06/2004,5.535648725192323,0.0,0.35
07/07/2004,5.5439627241989085,0.0,0.35
07/08/2004,5.557824563495069,0.0,0.35
07/09/2004,5.532875537026044,0.0,0.35
07/12/2004,5.530103165218913,0.0,0.35
07/13/2004,5.54396209524117,0.0,0.35
07/14/2004,5.5439614683084715,0.0,0.35
07/15/2004,5.538419805869566,0.0,0.35
07/16/2004,5.405362297216138,0.0,0.35
07/19/2004,5.344381386714712,0.0,0.35
07/20/2004,5.4192240635552285,0.0,0.35
07/21/2004,5.391504493391953,0.0,0.35
07/22/2004,5.2168694933261754,0.0,0.35
07/23/2004,5.197464846688066,0.0,0.35
07/26/2004,5.216869626298334,0.0,0.35
07/27/2004,5.133711380913035,0.0,0.35
07/28/2004,5.247359608882941,0.0,0.35
07/29/2004,5.155886617219884,0.0,0.35
07/30/2004,5.363785066439289,0.0,0.35
08/02/2004,5.266765594482422,0.0,0.35
08/03/2004,5.280625064209325,0.0,0.35
08/04/2004,5.330522546478692,0.0,0.35
08/05/2004,5.2723096851573485,0.0,0.35
08/06/2004,5.280625191416621,0.0,0.35
08/09/2004,5.2251859718476465,0.0,0.35
08/10/2004,5.283395786807227,0.0,0.35
08/11/2004,5.446941901452053,0.0,0.35
08/12/2004,5.361012789380364,0.0,0.35
08/13/2004,5.336064917988431,0.0,0.35
08/16/2004,5.377644105119651,0.0,0.35
08/17/2004,5.405363841001214,0.0,0.35
08/18/2004,5.585541073578112,0.0,0.35
08/19/2004,5.5439642915307035,0.0,0.35
08/20/2004,5.54119096425373,0.0,0.35
08/23/2004,5.585541058549868,0.0,0.35
08/24/2004,5.6132635652486655,0.0,0.35
08/25/2004,5.696421888581729,0.0,0.35
08/26/2004,5.613262516693984,0.0,0.35
08/27/2004,5.643753830367265,0.0,0.35
08/30/2004,5.671474076027897,0.0,0.35
08/31/2004,5.713054619511416,0.0,0.35
09/01/2004,5.765722224155563,0.0,0.35
09/02/2004,5.765722224155563,0.0,0.35
09/03/2004,5.751859246606433,0.0,0.35
09/07/2004,5.751862100525962,0.0,0.35
09/08/2004,5.821160763065154,0.0,0.35
09/09/2004,5.6964217879793,0.0,0.35
09/10/2004,5.962532467437212,0.0,0.35
09/13/2004,5.959760717573789,0.0,0.35
09/14/2004,5.945899921307324,0.0,0.35
09/15/2004,5.954216171853638,0.0,0.35
09/16/2004,5.893233168417578,0.0,0.35
09/17/2004,5.959759736480566,0.0,0.35
09/20/2004,5.8599678827221,0.0,0.35
09/21/2004,5.821161556258233,0.0,0.35
09/22/2004,5.810074374307257,0.0,0.35
09/23/2004,5.815617126729273,0.0,0.35
09/24/2004,5.765720901925464,0.0,0.35
09/27/2004,5.807301044464111,0.0,0.35
09/28/2004,5.7795823204871075,0.0,0.35
09/29/2004,5.848882441933441,0.0,0.35
09/30/2004,6.095586699048419,0.0,0.35
10/01/2004,6.1953779747754245,0.0,0.35
10/04/2004,6.4060476153679105,0.0,0.35
10/05/2004,6.275768095296838,0.0,0.35
10/06/2004,6.203694654093811,0.0,0.35
10/07/2004,6.098358861858686,0.0,0.35
10/08/2004,6.126081514311552,0.0,0.35
10/11/2004,6.15380011196118,0.0,0.35
10/12/2004,6.167656898498535,0.0,0.35
10/13/2004,6.232670730469333,0.43,0.78
10/14/2004,6.099819186479266,0.0,0.78
10/15/2004,6.063075065612793,0.0,0.78
10/18/2004,6.034811391647879,0.0,0.78
10/19/2004,6.077206889113414,0.0,0.78
10/20/2004,5.992408183374388,0.0,0.78
10/21/2004,5.964143664766391,0.0,0.78
10/22/2004,5.964145514054315,0.0,0.78
10/25/2004,5.834119574735166,0.0,0.78
10/26/2004,5.93587683937648,0.0,0.78
10/27/2004,5.907609939575195,0.0,0.78
10/28/2004,5.921745542534719,0.0,0.78
10/29/2004,5.896303789211432,0.0,0.78
11/01/2004,5.992407880592119,0.0,0.78
11/02/2004,6.048939896684668,0.0,0.78
11/03/2004,6.0828598855114295,0.0,0.78
11/04/2004,5.975448459155663,0.0,0.78
11/05/2004,5.901957679631116,0.0,0.78
11/08/2004,5.723881237970177,0.0,0.78
11/09/2004,5.90761204754835,0.0,0.78
11/10/2004,5.950010148743136,0.0,0.78
11/11/2004,5.9500087894136,0.0,0.78
11/12/2004,6.063075525007888,0.0,0.78
11/15/2004,6.05742225223302,0.0,0.78
11/16/2004,6.145044592576243,0.0,0.78
11/17/2004,6.204406599557579,0.0,0.78
11/18/2004,6.119609461013254,0.0,0.78
11/19/2004,6.133740574992332,0.0,0.78
11/22/2004,6.173311658120848,0.0,0.78
11/23/2004,6.416399876470551,0.0,0.78
11/24/2004,6.430536849992546,0.0,0.78
11/26/2004,6.526637230998027,0.0,0.78
11/29/2004,6.526639278646679,0.0,0.78
11/30/2004,6.585996871437659,0.0,0.78
12/01/2004,6.713192618015598,0.0,0.78
12/02/2004,6.727327673237213,0.0,0.78
12/03/2004,6.713193453011901,0.0,0.78
12/06/2004,6.730154566898438,0.0,0.78
12/07/2004,6.738633883113529,0.0,0.78
12/08/2004,6.549250575492832,0.0,0.78
12/09/2004,6.614258506554283,0.0,0.78
12/10/2004,6.6001320893959905,0.0,0.78
12/13/2004,6.684928262468732,0.0,0.78
12/14/2004,6.6114357556762835,0.0,0.78
12/15/2004,6.602957839982655,0.0,0.78
12/16/2004,6.656662534507511,0.0,0.78
12/17/2004,6.684927720484779,0.0,0.78
12/20/2004,6.868659674744662,0.0,0.78
12/21/2004,6.783860224155168,0.0,0.78
12/22/2004,6.783860883946786,0.0,0.78
12/23/2004,6.826260554624185,0.0,0.78
12/27/2004,6.896925291926536,0.0,0.78
12/28/2004,6.85452675215035,0.0,0.78
12/29/2004,6.896923379360029,0.0,0.78
12/30/2004,6.936496344904299,0.0,0.78
12/31/2004,7.024120954407938,0.0,0.78
01/03/2005,6.936498671062938,0.0,0.78
01/04/2005,6.896923538884268,0.0,0.78
01/05/2005,6.789513313759932,0.0,0.78
01/06/2005,6.741460153083373,0.0,0.78
01/07/2005,6.795170672073789,0.0,0.78
01/10/2005,6.817779504785351,0.0,0.78
01/11/2005,6.783859336359447,0.0,0.78
01/12/2005,6.764074105508825,0.0,0.78
01/13/2005,6.752766475212002,0.0,0.78
01/14/2005,6.812127766850581,0.0,0.78
01/18/2005,6.783861186672079,0.0,0.78
01/19/2005,6.806472901311951,0.0,0.78
01/20/2005,6.727327673237213,0.0,0.78
01/21/2005,6.766901510295453,0.0,0.78
01/24/2005,6.81778021923331,0.0,0.78
01/25/2005,6.944974958609528,0.0,0.78
01/26/2005,6.91388254320303,0.0,0.78
01/27/2005,6.82204345361939,0.47,1.25
01/28/2005,6.853748704873549,0.0,1.25
01/31/2005,6.931563141271565,0.0,1.25
02/01/2005,6.88833531015525,0.0,1.25
02/02/2005,6.914272995373614,0.0,1.25
02/03/2005,6.920037479802659,0.0,1.25
02/04/2005,6.945977701782165,0.0,1.25
02/07/2005,6.917155177131344,0.0,1.25
02/08/2005,6.896979511878937,0.0,1.25
02/09/2005,6.856630782449787,0.0,1.25
02/10/2005,6.7961016540091945,0.0,1.25
02/11/2005,6.862396221348121,0.0,1.25
02/14/2005,7.061261966427777,0.0,1.25
02/15/2005,7.263011723325452,0.0,1.25
02/16/2005,7.214016178554866,0.0,1.25
02/17/2005,7.366767790644618,0.0,1.25
02/18/2005,7.5224074496974715,0.0,1.25
02/22/2005,7.531051240298011,0.0,1.25
02/23/2005,7.554106321438103,0.0,1.25
02/24/2005,7.493584938006644,0.0,1.25
02/25/2005,7.335068011100306,0.0,1.25
02/28/2005,7.205368995666504,0.0,1.25
03/01/2005,7.20536780211548,0.0,1.25
03/02/2005,7.407118096451621,0.0,1.25
03/03/2005,7.551226075738382,0.0,1.25
03/04/2005,7.75297601758472,0.0,1.25
03/07/2005,7.709747524763826,0.0,1.25
03/08/2005,7.692452760830444,0.0,1.25
03/09/2005,7.652102340752003,0.0,1.25
03/10/2005,7.663630110395328,0.0,1.25
03/11/2005,7.600224168851426,0.0,1.25
03/14/2005,7.4935827459263225,0.0,1.25
03/15/2005,7.464763132190068,0.0,1.25
03/16/2005,7.441704561927368,0.0,1.25
03/17/2005,7.430177817899877,0.0,1.25
03/18/2005,7.4791743488976214,0.0,1.25
03/21/2005,7.401358017557477,0.0,1.25
03/22/2005,7.363888051252388,0.0,1.25
03/23/2005,7.421529790358799,0.0,1.25
03/24/2005,7.176547409738632,0.0,1.25
03/28/2005,7.205369364438688,0.0,1.25
03/29/2005,6.954621488445091,0.0,1.25
03/30/2005,6.974795612148975,0.0,1.25
03/31/2005,7.029557130203965,0.0,1.25
04/01/2005,7.118905067443848,0.0,1.25
04/04/2005,7.118903921137673,0.0,1.25
04/05/2005,7.162137926265069,0.0,1.25
04/06/2005,7.349475383758545,0.0,1.25
04/07/2005,7.349476837518633,0.0,1.25
04/08/2005,7.3494758456283895,0.0,1.25
04/11/2005,7.27742197222416,0.0,1.25
04/12/2005,7.271655596535678,0.0,1.25
04/13/2005,7.349475383758545,0.0,1.25
04/14/2005,7.306243686729179,0.0,1.25
04/15/2005,7.265895002522727,0.0,1.25
04/18/2005,7.306242076275589,0.0,1.25
04/19/2005,7.49358183060604,0.0,1.25
04/20/2005,7.516639402848516,0.0,1.25
04/21/2005,7.493584576230148,0.0,1.25
04/22/2005,7.522403828820188,0.0,1.25
04/25/2005,7.522405624389648,0.0,1.25
04/26/2005,7.522405379764711,0.0,1.25
04/27/2005,7.611109475067404,0.55,1.8
04/28/2005,7.490389062982235,0.0,1.8
04/29/2005,7.4138374904071735,0.0,1.8
