ACRE,Ares Commercial Real Estate Cor,
Date,Price,Dividend,Annualized Dividend
04/27/2012,8.364301882559554,0.0,0.0
04/30/2012,8.271364019298924,0.0,0.0
05/01/2012,8.355007800268341,0.0,0.0
05/02/2012,8.364300592154768,0.0,0.0
05/03/2012,8.331773956696516,0.0,0.0
05/04/2012,7.969320529198357,0.0,0.0
05/07/2012,8.09943126745098,0.0,0.0
05/08/2012,8.13195849868815,0.0,0.0
05/09/2012,7.992557675463414,0.0,0.0
05/10/2012,7.736979187545264,0.0,0.0
05/11/2012,7.644042779932767,0.0,0.0
05/14/2012,7.518577501087524,0.0,0.0
05/15/2012,7.6765709644154745,0.0,0.0
05/16/2012,7.681217204032609,0.0,0.0
05/17/2012,7.6672753514449115,0.0,0.0
05/18/2012,7.61151431794459,0.0,0.0
05/21/2012,7.741625714922574,0.0,0.0
05/22/2012,7.783447412622338,0.0,0.0
05/23/2012,7.574338478310998,0.0,0.0
05/24/2012,7.695158595079997,0.0,0.0
05/25/2012,7.769508307095048,0.0,0.0
05/29/2012,7.769505988842423,0.0,0.0
05/30/2012,7.662628565634448,0.0,0.0
05/31/2012,7.713746024962337,0.0,0.0
06/01/2012,7.495341430804038,0.0,0.0
06/04/2012,7.565047040482034,0.0,0.0
06/05/2012,7.657984941299748,0.0,0.0
06/06/2012,7.867089946048608,0.0,0.0
06/07/2012,8.029728939329445,0.0,0.0
06/08/2012,8.150548844335306,0.0,0.0
06/11/2012,8.234188854437038,0.0,0.0
06/12/2012,8.011141574553164,0.0,0.0
06/13/2012,8.118018141337233,0.0,0.0
06/14/2012,8.09943126745098,0.0,0.0
06/15/2012,8.155193171351955,0.0,0.0
06/18/2012,8.243484467089795,0.0,0.0
06/19/2012,8.197016803604079,0.0,0.0
06/20/2012,8.006496244084307,0.0,0.0
06/21/2012,8.159841971103567,0.0,0.0
06/22/2012,8.04366896696217,0.0,0.0
06/25/2012,7.997204023144833,0.0,0.0
06/26/2012,7.997203158548017,0.0,0.0
06/27/2012,7.946201793705029,0.06,0.06
06/28/2012,7.974181126937239,0.0,0.06
06/29/2012,8.13739513243675,0.0,0.06
07/02/2012,8.156046810423465,0.0,0.06
07/03/2012,8.07677107600715,0.0,0.06
07/05/2012,8.072109237973457,0.0,0.06
07/06/2012,7.974181951256941,0.0,0.06
07/09/2012,7.857597399375272,0.0,0.06
07/10/2012,7.8902428909354265,0.0,0.06
07/11/2012,7.997498750429693,0.0,0.06
07/12/2012,7.787651768620563,0.0,0.06
07/13/2012,7.834283810392623,0.0,0.06
07/16/2012,7.9228836562775875,0.0,0.06
07/17/2012,7.792311973296088,0.0,0.06
07/18/2012,7.83428379200035,0.0,0.06
07/19/2012,7.857601165771484,0.0,0.06
07/20/2012,7.8342817371187685,0.0,0.06
07/23/2012,7.83428379200035,0.0,0.06
07/24/2012,7.78764986074892,0.0,0.06
07/25/2012,7.876254364681735,0.0,0.06
07/26/2012,7.78765005417854,0.0,0.06
07/27/2012,7.815628821746439,0.0,0.06
07/30/2012,7.778324449771116,0.0,0.06
07/31/2012,7.815631197018126,0.0,0.06
08/01/2012,7.834284645541019,0.0,0.06
08/02/2012,7.694382181221561,0.0,0.06
08/03/2012,7.908893876371568,0.0,0.06
08/06/2012,7.852938524190305,0.0,0.06
08/07/2012,7.83428197554558,0.0,0.06
08/08/2012,7.801638655518498,0.0,0.06
08/09/2012,7.773657669575649,0.0,0.06
08/10/2012,7.7689943009140405,0.0,0.06
08/13/2012,7.782989025115968,0.0,0.06
08/14/2012,7.764335078108486,0.0,0.06
08/15/2012,7.694384852533518,0.0,0.06
08/16/2012,7.7689984537357075,0.0,0.06
08/17/2012,7.685058261491652,0.0,0.06
08/20/2012,7.624435565815858,0.0,0.06
08/21/2012,7.703711076375232,0.0,0.06
08/22/2012,7.666407354907263,0.0,0.06
08/23/2012,7.629098989618403,0.0,0.06
08/24/2012,7.624439960729332,0.0,0.06
08/27/2012,7.717701217503964,0.0,0.06
08/28/2012,7.619774887915721,0.0,0.06
08/29/2012,7.74101839197728,0.0,0.06
08/30/2012,7.713038526510045,0.0,0.06
08/31/2012,7.796975764320494,0.0,0.06
09/04/2012,7.838945676330855,0.0,0.06
09/05/2012,7.950864176971338,0.0,0.06
09/06/2012,7.955528303697129,0.0,0.06
09/07/2012,7.983507769695785,0.0,0.06
09/10/2012,7.918222788891105,0.0,0.06
09/11/2012,8.020814315167632,0.0,0.06
09/12/2012,8.002159736951787,0.0,0.06
09/13/2012,7.866925004989536,0.0,0.06
09/14/2012,8.090761511094302,0.0,0.06
09/17/2012,8.118740799007465,0.0,0.06
09/18/2012,8.17936624001205,0.0,0.06
09/19/2012,8.216670036315918,0.0,0.06
09/20/2012,8.193356098800828,0.0,0.06
09/21/2012,8.291285084396376,0.0,0.06
09/24/2012,8.132731102767165,0.0,0.06
09/25/2012,8.216670659359325,0.0,0.06
09/26/2012,7.941537521585094,0.0,0.06
09/27/2012,8.044132454879112,0.0,0.06
09/28/2012,8.00224201478906,0.06,0.12
10/01/2012,8.034999587096005,0.0,0.12
10/02/2012,7.997560600970097,0.0,0.12
10/03/2012,7.960126196792707,0.0,0.12
10/04/2012,7.964803720210844,0.0,0.12
10/05/2012,7.9414066967737105,0.0,0.12
10/08/2012,7.964803035352327,0.0,0.12
10/09/2012,7.997563199237048,0.0,0.12
10/10/2012,7.932048373541355,0.0,0.12
10/11/2012,7.894611014476245,0.0,0.12
10/12/2012,7.847813414918356,0.0,0.12
10/15/2012,7.9086472510540755,0.0,0.12
10/16/2012,7.941407492534031,0.0,0.12
10/17/2012,7.899287576254124,0.0,0.12
10/18/2012,7.894608688754283,0.0,0.12
10/19/2012,7.903969777708192,0.0,0.12
10/22/2012,7.824413008680993,0.0,0.12
10/23/2012,7.796335594950393,0.0,0.12
10/24/2012,7.782296948299986,0.0,0.12
10/25/2012,7.8056973929722995,0.0,0.12
10/26/2012,7.847814272802351,0.0,0.12
10/31/2012,7.8852516327275755,0.0,0.12
11/01/2012,7.908649913073513,0.0,0.12
11/02/2012,7.871209917638987,0.0,0.12
11/05/2012,7.8244163029596505,0.0,0.12
11/06/2012,7.8852524003433695,0.0,0.12
11/07/2012,7.768258656039549,0.0,0.12
11/08/2012,7.772939196404491,0.0,0.12
11/09/2012,7.632549961471299,0.0,0.12
11/12/2012,7.660628345505851,0.0,0.12
11/13/2012,7.796338561394172,0.0,0.12
11/14/2012,7.637227893647522,0.0,0.12
11/15/2012,7.38452584817519,0.0,0.12
11/16/2012,7.239457519605386,0.0,0.12
11/19/2012,7.389206034366419,0.0,0.12
11/20/2012,7.389205395345916,0.0,0.12
11/21/2012,7.393884742830397,0.0,0.12
11/23/2012,7.426643557654682,0.0,0.12
11/26/2012,7.510876898465029,0.0,0.12
11/27/2012,7.557674884559594,0.0,0.12
11/28/2012,7.379846714303207,0.0,0.12
11/29/2012,7.585751318915905,0.0,0.12
11/30/2012,7.506197293706706,0.0,0.12
12/03/2012,7.702743588044894,0.0,0.12
12/04/2012,7.70274245992248,0.0,0.12
12/05/2012,7.79165536873496,0.0,0.12
12/06/2012,7.674666559063978,0.0,0.12
12/07/2012,7.627868080711613,0.0,0.12
12/10/2012,7.552993624559269,0.0,0.12
12/11/2012,7.698064052838525,0.0,0.12
12/12/2012,7.679348195455561,0.0,0.12
12/13/2012,7.571711078117534,0.0,0.12
12/14/2012,7.590431397310434,0.0,0.12
