AGNC,AGNC Investment Corp.,
Date,Price,Dividend,Annualized Dividend
05/15/2008,2.8335050645280178,0.0,0.0
05/16/2008,2.7971779177258145,0.0,0.0
05/19/2008,2.890174974336181,0.0,0.0
05/20/2008,2.832051951749396,0.0,0.0
05/21/2008,2.8015368906971245,0.0,0.0
05/22/2008,2.7710226572954095,0.0,0.0
05/23/2008,2.7695698255258843,0.0,0.0
05/27/2008,2.7681174289467014,0.0,0.0
05/28/2008,2.7768345323881487,0.0,0.0
05/29/2008,2.7666657895477265,0.0,0.0
05/30/2008,2.8800059069218693,0.0,0.0
06/02/2008,2.861114747327436,0.0,0.0
06/03/2008,2.8567530417878677,0.0,0.0
06/04/2008,2.76375836610447,0.0,0.0
06/05/2008,2.7782890121496595,0.0,0.0
06/06/2008,2.798632792993218,0.0,0.0
06/09/2008,2.7826472826084108,0.0,0.0
06/10/2008,2.7608509268770773,0.0,0.0
06/11/2008,2.6446048526078276,0.0,0.0
06/12/2008,2.508015248764398,0.0,0.0
06/13/2008,2.505109557675721,0.0,0.0
06/16/2008,2.4295489858441117,0.0,0.0
06/17/2008,2.601012284217919,0.0,0.0
06/18/2008,2.5719504897451935,0.0,0.0
06/19/2008,2.4789536040491527,0.0,0.0
06/20/2008,2.429549460840821,0.0,0.0
06/23/2008,2.4193777373301124,0.0,0.0
06/24/2008,2.579216528502028,0.0,0.0
06/25/2008,2.6039186483047487,0.0,0.0
06/26/2008,2.595200468363282,0.0,0.0
06/27/2008,2.5138274792646724,0.0,0.0
06/30/2008,2.5128579590302897,0.31,0.31
07/01/2008,2.384105742381065,0.0,0.31
07/02/2008,2.444781069749357,0.0,0.31
07/03/2008,2.4803008625734035,0.0,0.31
07/07/2008,2.4418239311526064,0.0,0.31
07/08/2008,2.2242782723658583,0.0,0.31
07/09/2008,2.246476390415919,0.0,0.31
07/10/2008,2.1917212453826154,0.0,0.31
07/11/2008,2.0259726234744937,0.0,0.31
07/14/2008,2.234638199789533,0.0,0.31
07/15/2008,2.3234314380673418,0.0,0.31
07/16/2008,2.171002622502778,0.0,0.31
07/17/2008,2.276075139112985,0.0,0.31
07/18/2008,2.335270884745319,0.0,0.31
07/21/2008,2.332309873156945,0.0,0.31
07/22/2008,2.259795453962219,0.0,0.31
07/23/2008,2.3485897259433135,0.0,0.31
07/24/2008,2.353028562490235,0.0,0.31
07/25/2008,2.293833597451584,0.0,0.31
07/28/2008,2.2938331756795134,0.0,0.31
07/29/2008,2.2642353155846817,0.0,0.31
07/30/2008,2.404825730632677,0.0,0.31
07/31/2008,2.286433559334406,0.0,0.31
08/01/2008,2.310112481412869,0.0,0.31
08/04/2008,2.4048246308323638,0.0,0.31
08/05/2008,2.3382301953190265,0.0,0.31
08/06/2008,2.355988536466921,0.0,0.31
08/07/2008,2.304193556434498,0.0,0.31
08/08/2008,2.2775547991751233,0.0,0.31
08/11/2008,2.428504009769039,0.0,0.31
08/12/2008,2.461062117029653,0.0,0.31
08/13/2008,2.4507004895613647,0.0,0.31
08/14/2008,2.444780970879837,0.0,0.31
08/15/2008,2.5439356949714678,0.0,0.31
08/18/2008,2.503978523312119,0.0,0.31
08/19/2008,2.499537556680307,0.0,0.31
08/20/2008,2.4714206386546516,0.0,0.31
08/21/2008,2.5024988271103705,0.0,0.31
08/22/2008,2.5898123481282918,0.0,0.31
08/25/2008,2.677126747781471,0.0,0.31
08/26/2008,2.6016508054398995,0.0,0.31
08/27/2008,2.6638050587075597,0.0,0.31
08/28/2008,2.7096835719490975,0.0,0.31
08/29/2008,2.773319680623522,0.0,0.31
09/02/2008,2.8473132598162603,0.0,0.31
09/03/2008,2.7673989116891757,0.0,0.31
09/04/2008,2.7215221215499725,0.0,0.31
09/05/2008,2.693403260626015,0.0,0.31
09/08/2008,2.9671852902017237,0.0,0.31
09/09/2008,2.95978431014983,0.0,0.31
09/10/2008,2.8177153489956566,0.0,0.31
09/11/2008,2.808837081728988,0.0,0.31
09/12/2008,2.7895973173244313,0.0,0.31
09/15/2008,2.811797794010946,0.0,0.31
09/16/2008,2.5972112102718543,0.0,0.31
09/17/2008,2.7540805880843253,0.0,0.31
09/18/2008,2.5557748338585617,0.0,0.31
09/19/2008,2.7969971203030606,0.0,0.31
09/22/2008,2.8117960477843913,0.0,0.31
09/23/2008,2.768878994780368,0.0,0.31
09/24/2008,2.944986286667157,0.0,0.31
09/25/2008,2.9089477383387985,1.0,1.31
09/26/2008,2.7779273986816406,0.0,1.31
09/29/2008,2.7280164076659417,0.0,1.31
09/30/2008,2.4956106753379816,0.0,1.31
10/01/2008,2.678102994708947,0.0,1.31
10/02/2008,2.6110336451325433,0.0,1.31
10/03/2008,2.6281924800355725,0.0,1.31
10/06/2008,2.497170782771099,0.0,1.31
10/07/2008,2.693702332684836,0.0,1.31
10/08/2008,2.4784543747195613,0.0,1.31
10/09/2008,2.5065297338291215,0.0,1.31
10/10/2008,2.3162390106384896,0.0,1.31
10/13/2008,2.4363408786162593,0.0,1.31
10/14/2008,2.494051139476038,0.0,1.31
10/15/2008,2.3380762480954176,0.0,1.31
10/16/2008,2.366151800324726,0.0,1.31
10/17/2008,2.5361650725668814,0.0,1.31
10/20/2008,2.6250716790186845,0.0,1.31
10/21/2008,2.690580255250654,0.0,1.31
10/22/2008,2.5969962214635767,0.0,1.31
10/23/2008,2.5486428546474142,0.0,1.31
10/24/2008,2.339635079690468,0.0,1.31
10/27/2008,2.4176232885092324,0.0,1.31
10/28/2008,2.5673605606499086,0.0,1.31
10/29/2008,2.6515870873497907,0.0,1.31
10/30/2008,2.7295758415712403,0.0,1.31
10/31/2008,2.79040449112225,0.0,1.31
11/03/2008,2.9245441829836047,0.0,1.31
11/04/2008,2.9245450683228777,0.0,1.31
11/05/2008,2.929224861020439,0.0,1.31
11/06/2008,2.9245445728302,0.0,1.31
11/07/2008,2.9479414793055185,0.0,1.31
11/10/2008,2.9931742455597377,0.0,1.31
11/11/2008,2.8106830892813437,0.0,1.31
11/12/2008,2.6827839014553927,0.0,1.31
11/13/2008,2.6765418902107263,0.0,1.31
11/14/2008,2.8855513154643853,0.0,1.31
11/17/2008,2.8060034102800175,0.0,1.31
11/18/2008,2.86527516510247,0.0,1.31
11/19/2008,2.963537641937022,0.0,1.31
11/20/2008,2.7654480643558155,0.0,1.31
11/21/2008,2.7030592763273282,0.0,1.31
11/24/2008,2.742052614065427,0.0,1.31
11/25/2008,2.960418915619051,0.0,1.31
11/26/2008,3.0087717000746115,0.0,1.31
11/28/2008,3.1179554436131407,0.0,1.31
12/01/2008,3.0212495466193663,0.0,1.31
12/02/2008,2.976015754590001,0.0,1.31
12/03/2008,3.029049945591929,0.0,1.31
12/04/2008,3.0774007679858792,0.0,1.31
12/05/2008,2.963538878527683,0.0,1.31
12/08/2008,3.1085964972699887,0.0,1.31
12/09/2008,3.1117162705712142,0.0,1.31
12/10/2008,3.00721226818795,0.0,1.31
12/11/2008,2.946381737373687,0.0,1.31
12/12/2008,2.7155377897249746,0.0,1.31
12/15/2008,2.86995365777666,0.0,1.31
12/16/2008,2.823160632186167,0.0,1.31
12/17/2008,3.015013043697508,0.0,1.31
12/18/2008,3.0352870038537496,0.0,1.31
12/19/2008,3.0025329023599623,0.0,1.31
12/22/2008,3.2442954492789435,0.0,1.31
12/23/2008,3.353478542773119,0.0,1.31
12/24/2008,3.384673026534371,0.0,1.31
12/26/2008,3.507894822216198,0.0,1.31
12/29/2008,3.425225134231032,1.2,2.51
12/30/2008,3.0569415232914494,0.0,2.51
12/31/2008,3.5044999424988283,0.0,2.51
01/02/2009,3.425225501615764,0.0,2.51
01/05/2009,3.468165990311211,0.0,2.51
01/06/2009,3.5094552513654103,0.0,2.51
01/07/2009,3.4929390356626193,0.0,2.51
01/08/2009,3.4929384163851305,0.0,2.51
01/09/2009,3.5078022062235927,0.0,2.51
01/12/2009,3.474771745742521,0.0,2.51
01/13/2009,3.3855908837079434,0.0,2.51
01/14/2009,3.468165517983423,0.0,2.51
01/15/2009,3.454953033176255,0.0,2.51
01/16/2009,3.4516516990859945,0.0,2.51
01/20/2009,3.387242041894181,0.0,2.51
01/21/2009,3.4351359614089936,0.0,2.51
01/22/2009,3.3822870539375898,0.0,2.51
01/23/2009,3.261727367701018,0.0,2.51
01/26/2009,3.36577344131731,0.0,2.51
01/27/2009,3.402105995722429,0.0,2.51
01/28/2009,3.4433940960120846,0.0,2.51
01/29/2009,3.4466978215497615,0.0,2.51
01/30/2009,3.3855886967729916,0.0,2.51
02/02/2009,3.253469778932528,0.0,2.51
02/03/2009,3.347606198649759,0.0,2.51
02/04/2009,3.3360461644350536,0.0,2.51
02/05/2009,2.9826214637582282,0.0,2.51
02/06/2009,2.9396833760940986,0.0,2.51
02/09/2009,2.8670176724155034,0.0,2.51
02/10/2009,2.8488502370124524,0.0,2.51
02/11/2009,2.7844415867659658,0.0,2.51
02/12/2009,2.799306536234178,0.0,2.51
02/13/2009,2.8026093132472876,0.0,2.51
02/17/2009,2.724987629855264,0.0,2.51
02/18/2009,2.7530639953842133,0.0,2.51
02/19/2009,2.675442325783228,0.0,2.51
02/20/2009,2.599473558469939,0.0,2.51
02/23/2009,2.713427641090437,0.0,2.51
02/24/2009,2.632503733808231,0.0,2.51
02/25/2009,2.8174720607620203,0.0,2.51
02/26/2009,2.708473635054831,0.0,2.51
02/27/2009,2.6919569226422317,0.0,2.51
03/02/2009,2.6506705456306894,0.0,2.51
03/03/2009,2.5515788466727747,0.0,2.51
03/04/2009,2.488822362523924,0.0,2.51
03/05/2009,2.5185491566516522,0.0,2.51
03/06/2009,2.4739577978913725,0.0,2.51
03/09/2009,2.427716280908438,0.0,2.51
03/10/2009,2.5020339475203333,0.0,2.51
03/11/2009,2.7117755540182897,0.0,2.51
03/12/2009,2.7249875267610038,0.0,2.51
03/13/2009,2.7530628486365396,0.0,2.51
03/16/2009,2.9050016239747403,0.0,2.51
03/17/2009,2.8818819263791475,0.0,2.51
03/18/2009,2.8934413730212456,0.0,2.51
03/19/2009,3.0371224774876806,0.0,2.51
03/20/2009,2.789397069358055,0.0,2.51
03/23/2009,2.771229701711734,0.0,2.51
03/24/2009,2.8356392054599824,0.0,2.51
03/25/2009,2.8174732928718575,0.0,2.51
03/26/2009,2.890136367143126,0.0,2.51
03/27/2009,2.9429847113741183,0.0,2.51
03/30/2009,2.916562411714784,0.0,2.51
03/31/2009,3.00897288356992,0.85,3.36
04/01/2009,2.9656157108350962,0.0,3.36
04/02/2009,3.014173992311497,0.0,3.36
04/03/2009,2.9846930503845215,0.0,3.36
04/06/2009,2.934398864563984,0.0,3.36
04/07/2009,2.9517409849414813,0.0,3.36
04/08/2009,2.982957787725674,0.0,3.36
04/09/2009,2.982958438873576,0.0,3.36
04/13/2009,2.979489848445416,0.0,3.36
04/14/2009,2.982957227014274,0.0,3.36
04/15/2009,2.925727220883565,0.0,3.36
04/16/2009,2.99162807865679,0.0,3.36
04/17/2009,3.0401889106489746,0.0,3.36
04/20/2009,2.976021503611809,0.0,3.36
04/21/2009,2.97428529593758,0.0,3.36
04/22/2009,2.950007107318796,0.0,3.36
04/23/2009,2.9985658030066187,0.0,3.36
04/24/2009,2.9621459867618007,0.0,3.36
04/27/2009,2.9742856912799733,0.0,3.36
04/28/2009,2.9309289840646957,0.0,3.36
04/29/2009,3.0332515116175283,0.0,3.36
04/30/2009,3.291656629646362,0.0,3.36
05/01/2009,3.274317328547233,0.0,3.36
05/04/2009,3.2344284667455363,0.0,3.36
05/05/2009,3.2084136376363013,0.0,3.36
05/06/2009,3.2257574766214305,0.0,3.36
05/07/2009,3.2517698189134605,0.0,3.36
05/08/2009,3.2188201087012693,0.0,3.36
05/11/2009,3.2084144581342615,0.0,3.36
05/12/2009,3.2604415383524348,0.0,3.36
05/13/2009,3.2274924013091093,0.0,3.36
05/14/2009,3.2188193284178253,0.0,3.36
05/15/2009,3.286456383859866,0.0,3.36
05/18/2009,3.2933938517915466,0.0,3.36
05/19/2009,3.355827686799707,0.0,3.36
05/20/2009,3.38704573573406,0.0,3.36
05/21/2009,3.309000669904669,0.0,3.36
05/22/2009,3.3436896047252116,0.0,3.36
05/26/2009,3.3072667524438137,0.0,3.36
05/27/2009,3.419995706295194,0.0,3.36
05/28/2009,3.3714374576696646,0.0,3.36
05/29/2009,3.3818423119837844,0.0,3.36
06/01/2009,3.3818420686665287,0.0,3.36
06/02/2009,3.3124707815652585,0.0,3.36
06/03/2009,3.4512128829956055,0.0,3.36
06/04/2009,3.468555227685505,0.0,3.36
06/05/2009,3.52231855450356,0.0,3.36
06/08/2009,3.4685560286794663,0.0,3.36
06/09/2009,3.5778153784816933,0.0,3.36
06/10/2009,3.5830175634755648,0.0,3.36
06/11/2009,3.4304032827669086,0.0,3.36
06/12/2009,3.309002005910088,0.0,3.36
06/15/2009,3.32287596742521,0.0,3.36
06/16/2009,3.3627647566193817,0.0,3.36
06/17/2009,3.4269327689289835,0.0,3.36
06/18/2009,3.5119127441662648,0.0,3.36
06/19/2009,3.5986273225798877,0.0,3.36
06/22/2009,3.6003605244148345,0.0,3.36
06/23/2009,3.815411553745167,0.0,3.36
06/24/2009,3.8847836387303647,0.0,3.36
06/25/2009,3.9472142548944245,0.0,3.36
06/26/2009,4.101567748111966,0.0,3.36
06/29/2009,4.169204051535895,0.0,3.36
06/30/2009,4.078185088451823,1.5,4.550000000000001
07/01/2009,4.118908779189979,0.0,4.550000000000001
07/02/2009,4.113354951543875,0.0,4.550000000000001
07/06/2009,4.028201256667557,0.0,4.550000000000001
07/07/2009,4.144825971859661,0.0,4.550000000000001
07/08/2009,4.211469409201631,0.0,4.550000000000001
07/09/2009,4.044861223040696,0.0,4.550000000000001
07/10/2009,3.9856220803550757,0.0,4.550000000000001
07/13/2009,4.09669457936168,0.0,4.550000000000001
07/14/2009,4.068928467496255,0.0,4.550000000000001
07/15/2009,4.024500225809793,0.0,4.550000000000001
07/16/2009,4.096694479586532,0.0,4.550000000000001
07/17/2009,4.089291359460254,0.0,4.550000000000001
07/20/2009,4.07262887627467,0.0,4.550000000000001
07/21/2009,4.174445067041678,0.0,4.550000000000001
07/22/2009,4.194807643232719,0.0,4.550000000000001
07/23/2009,4.22072694678026,0.0,4.550000000000001
07/24/2009,4.402140164958566,0.0,4.550000000000001
07/27/2009,4.435464745159308,0.0,4.550000000000001
07/28/2009,4.365118961515843,0.0,4.550000000000001
07/29/2009,4.442870726939626,0.0,4.550000000000001
07/30/2009,4.627987396851124,0.0,4.550000000000001
07/31/2009,4.479892634763359,0.0,4.550000000000001
08/03/2009,4.318840974186001,0.0,4.550000000000001
08/04/2009,4.326242874613583,0.0,4.550000000000001
08/05/2009,4.424357285373142,0.0,4.550000000000001
08/06/2009,4.516918327752485,0.0,4.550000000000001
08/07/2009,4.485446062053561,0.0,4.550000000000001
08/10/2009,4.57060122822304,0.0,4.550000000000001
08/11/2009,4.307733425914689,0.0,4.550000000000001
08/12/2009,4.322543451544539,0.0,4.550000000000001
08/13/2009,4.331797912275576,0.0,4.550000000000001
08/14/2009,4.328096076739373,0.0,4.550000000000001
08/17/2009,4.324394690223809,0.0,4.550000000000001
08/18/2009,4.313284737392107,0.0,4.550000000000001
08/19/2009,4.313284727819074,0.0,4.550000000000001
08/20/2009,4.3429038925168815,0.0,4.550000000000001
08/21/2009,4.609479017025089,0.0,4.550000000000001
08/24/2009,4.629840686596406,0.0,4.550000000000001
08/25/2009,4.646502350290001,0.0,4.550000000000001
08/26/2009,4.8075550994520055,0.0,4.550000000000001
08/27/2009,4.814960051724274,0.0,4.550000000000001
08/28/2009,4.709442647645296,0.0,4.550000000000001
08/31/2009,4.627990663723623,0.0,4.550000000000001
09/01/2009,4.561347167457841,0.0,4.550000000000001
09/02/2009,4.502106916616408,0.0,4.550000000000001
09/03/2009,4.620582098082186,0.0,4.550000000000001
09/04/2009,4.681672057106044,0.0,4.550000000000001
09/08/2009,4.776083694913006,0.0,4.550000000000001
09/09/2009,4.776084131969315,0.0,4.550000000000001
09/10/2009,4.809405281189982,0.0,4.550000000000001
09/11/2009,4.937137291088242,0.0,4.550000000000001
09/14/2009,5.000078332543289,0.0,4.550000000000001
09/15/2009,5.090786311719763,0.0,4.550000000000001
09/16/2009,5.151875158010972,0.0,4.550000000000001
09/17/2009,5.203712939698845,0.0,4.550000000000001
09/18/2009,5.288865498946578,0.0,4.550000000000001
09/21/2009,5.331439635131559,0.0,4.550000000000001
09/22/2009,5.475838181135492,0.0,4.550000000000001
09/23/2009,5.59986549371657,0.0,4.550000000000001
09/24/2009,5.683168716464722,0.0,4.550000000000001
09/25/2009,5.52581646707428,0.0,4.550000000000001
09/28/2009,5.553589020224038,0.0,4.550000000000001
09/29/2009,5.646143404772189,0.0,4.550000000000001
09/30/2009,5.541370747984701,1.4,4.949999999999999
10/01/2009,5.461791266268446,0.0,4.949999999999999
10/02/2009,4.988202535157735,0.0,4.949999999999999
10/05/2009,5.37832949587082,0.0,4.949999999999999
10/06/2009,5.502550331289187,0.0,4.949999999999999
10/07/2009,5.485082713927737,0.0,4.949999999999999
10/08/2009,5.422973408493369,0.0,4.949999999999999
