AMZN,"Amazon.com, Inc.",
Date,Price,Dividend,Annualized Dividend
05/15/1997,2.4375,0.0,0.0
05/16/1997,1.96875,0.0,0.0
05/19/1997,1.7604169845581055,0.0,0.0
05/20/1997,1.7291669845581055,0.0,0.0
05/21/1997,1.6354169845581055,0.0,0.0
05/22/1997,1.4375,0.0,0.0
05/23/1997,1.40625,0.0,0.0
05/27/1997,1.5104169845581055,0.0,0.0
05/28/1997,1.625,0.0,0.0
05/29/1997,1.5416669845581055,0.0,0.0
05/30/1997,1.5,0.0,0.0
06/02/1997,1.5104169845581055,0.0,0.0
06/03/1997,1.53125,0.0,0.0
06/04/1997,1.4791669845581055,0.0,0.0
06/05/1997,1.4166669845581055,0.0,0.0
06/06/1997,1.515625,0.0,0.0
06/09/1997,1.65625,0.0,0.0
06/10/1997,1.7083330154418945,0.0,0.0
06/11/1997,1.59375,0.0,0.0
06/12/1997,1.5833330154418945,0.0,0.0
06/13/1997,1.625,0.0,0.0
06/16/1997,1.6041669845581055,0.0,0.0
06/17/1997,1.5989580154418945,0.0,0.0
06/18/1997,1.5208330154418945,0.0,0.0
06/19/1997,1.5104169845581055,0.0,0.0
06/20/1997,1.53125,0.0,0.0
06/23/1997,1.5416669845581055,0.0,0.0
06/24/1997,1.5052080154418945,0.0,0.0
06/25/1997,1.5260419845581055,0.0,0.0
06/26/1997,1.5208330154418945,0.0,0.0
06/27/1997,1.515625,0.0,0.0
06/30/1997,1.5104169845581055,0.0,0.0
07/01/1997,1.5416669845581055,0.0,0.0
07/02/1997,1.515625,0.0,0.0
07/03/1997,1.5989580154418945,0.0,0.0
07/07/1997,1.8333330154418945,0.0,0.0
07/08/1997,2.0416669845581055,0.0,0.0
07/09/1997,2.3020830154418945,0.0,0.0
07/10/1997,2.3333330154418945,0.0,0.0
07/11/1997,2.5208330154418945,0.0,0.0
07/14/1997,2.3229169845581055,0.0,0.0
07/15/1997,2.1354169845581055,0.0,0.0
07/16/1997,2.4479169845581055,0.0,0.0
07/17/1997,2.34375,0.0,0.0
07/18/1997,2.1875,0.0,0.0
07/21/1997,2.1770830154418945,0.0,0.0
07/22/1997,2.1666669845581055,0.0,0.0
07/23/1997,2.1875,0.0,0.0
07/24/1997,2.3020830154418945,0.0,0.0
07/25/1997,2.21875,0.0,0.0
07/28/1997,2.2291669845581055,0.0,0.0
07/29/1997,2.3645830154418945,0.0,0.0
07/30/1997,2.5,0.0,0.0
07/31/1997,2.4375,0.0,0.0
08/01/1997,2.34375,0.0,0.0
08/04/1997,2.375,0.0,0.0
08/05/1997,2.3333330154418945,0.0,0.0
08/06/1997,2.2083330154418945,0.0,0.0
08/07/1997,2.25,0.0,0.0
08/08/1997,2.1666669845581055,0.0,0.0
08/11/1997,2.2916669845581055,0.0,0.0
08/12/1997,2.28125,0.0,0.0
08/13/1997,2.2291669845581055,0.0,0.0
08/14/1997,2.1770830154418945,0.0,0.0
08/15/1997,2.1354169845581055,0.0,0.0
08/18/1997,2.0520830154418945,0.0,0.0
08/19/1997,2.09375,0.0,0.0
08/20/1997,2.1875,0.0,0.0
08/21/1997,2.1354169845581055,0.0,0.0
08/22/1997,2.1041669845581055,0.0,0.0
08/25/1997,2.1041669845581055,0.0,0.0
08/26/1997,2.2395830154418945,0.0,0.0
08/27/1997,2.3072919845581055,0.0,0.0
08/28/1997,2.3020830154418945,0.0,0.0
08/29/1997,2.3645830154418945,0.0,0.0
09/02/1997,2.34375,0.0,0.0
09/03/1997,2.34375,0.0,0.0
09/04/1997,2.3645830154418945,0.0,0.0
09/05/1997,2.5833330154418945,0.0,0.0
09/08/1997,2.53125,0.0,0.0
09/09/1997,3.140625,0.0,0.0
09/10/1997,3.3125,0.0,0.0
09/11/1997,3.3333330154418945,0.0,0.0
09/12/1997,3.1875,0.0,0.0
09/15/1997,3.6666669845581055,0.0,0.0
09/16/1997,3.125,0.0,0.0
09/17/1997,3.4583330154418945,0.0,0.0
09/18/1997,3.4375,0.0,0.0
09/19/1997,3.3802080154418945,0.0,0.0
09/22/1997,4.0,0.0,0.0
09/23/1997,4.4895830154418945,0.0,0.0
09/24/1997,4.6458330154418945,0.0,0.0
09/25/1997,4.34375,0.0,0.0
09/26/1997,4.0729169845581055,0.0,0.0
09/29/1997,4.1458330154418945,0.0,0.0
09/30/1997,4.0,0.0,0.0
10/01/1997,4.4375,0.0,0.0
10/02/1997,4.0416669845581055,0.0,0.0
10/03/1997,4.0833330154418945,0.0,0.0
10/06/1997,4.0,0.0,0.0
10/07/1997,4.0833330154418945,0.0,0.0
10/08/1997,4.1458330154418945,0.0,0.0
10/09/1997,4.0,0.0,0.0
10/10/1997,3.7291669845581055,0.0,0.0
10/13/1997,3.9270830154418945,0.0,0.0
10/14/1997,4.0625,0.0,0.0
10/15/1997,3.96875,0.0,0.0
