ARR,"ARMOUR Residential REIT, Inc.",
Date,Price,Dividend,Annualized Dividend
12/03/2007,14.152612833803191,0.0,0.0
12/04/2007,14.075268645484497,0.0,0.0
12/05/2007,13.889667985517868,0.0,0.0
12/06/2007,13.951533400417652,0.0,0.0
12/07/2007,14.05980110168457,0.0,0.0
12/10/2007,13.936077367532638,0.0,0.0
12/11/2007,13.997940442499468,0.0,0.0
12/12/2007,14.152613510247848,0.0,0.0
12/13/2007,13.920601799173763,0.0,0.0
12/14/2007,13.936069488525389,0.0,0.0
12/17/2007,13.936069488525389,0.0,0.0
12/18/2007,13.951539512815275,0.0,0.0
12/19/2007,13.967005729675293,0.0,0.0
12/20/2007,13.951537132263184,0.0,0.0
12/21/2007,13.99793877085185,0.0,0.0
12/24/2007,13.936069488525389,0.0,0.0
12/26/2007,13.936069442962129,0.0,0.0
12/27/2007,14.028875022356235,0.0,0.0
12/28/2007,14.075278001239505,0.0,0.0
12/31/2007,13.99794101715088,0.0,0.0
01/02/2008,14.07528370023994,0.0,0.0
01/03/2008,14.090749740600586,0.0,0.0
01/04/2008,14.013399531651755,0.0,0.0
01/07/2008,14.05980110168457,0.0,0.0
01/08/2008,14.106211895218623,0.0,0.0
01/09/2008,14.19902043803466,0.0,0.0
01/10/2008,14.183548879227159,0.0,0.0
01/11/2008,14.199016091219248,0.0,0.0
01/14/2008,14.229950479600168,0.0,0.0
01/15/2008,14.229949998729149,0.0,0.0
01/16/2008,14.229949998729149,0.0,0.0
01/17/2008,14.183548879227159,0.0,0.0
01/18/2008,14.214482787782405,0.0,0.0
01/22/2008,14.199016091219248,0.0,0.0
01/23/2008,14.229949998729149,0.0,0.0
01/24/2008,14.214482307434082,0.0,0.0
01/25/2008,14.229938507080078,0.0,0.0
01/28/2008,14.338222362714374,0.0,0.0
01/29/2008,14.30727542602032,0.0,0.0
01/30/2008,14.229950856356693,0.0,0.0
01/31/2008,14.245418548583983,0.0,0.0
02/01/2008,14.229949998729149,0.0,0.0
02/04/2008,14.245417690024214,0.0,0.0
02/05/2008,14.245418548583983,0.0,0.0
02/06/2008,14.245418548583983,0.0,0.0
02/07/2008,14.214470828276221,0.0,0.0
02/08/2008,14.245418548583983,0.0,0.0
02/13/2008,14.245417690024214,0.0,0.0
02/14/2008,14.260887145996094,0.0,0.0
02/15/2008,14.26087386468779,0.0,0.0
02/19/2008,14.214482307434082,0.0,0.0
02/20/2008,14.229950856356693,0.0,0.0
02/22/2008,14.199016571044922,0.0,0.0
02/25/2008,14.199016571044922,0.0,0.0
02/26/2008,14.199016571044922,0.0,0.0
02/27/2008,14.260885381319278,0.0,0.0
02/28/2008,14.260885381319278,0.0,0.0
03/04/2008,14.307287463608704,0.0,0.0
03/05/2008,14.199016571044922,0.0,0.0
03/06/2008,14.199016571044922,0.0,0.0
03/10/2008,14.183552742004395,0.0,0.0
03/11/2008,14.106207847595215,0.0,0.0
03/12/2008,14.168080524897672,0.0,0.0
03/13/2008,14.106207847595215,0.0,0.0
03/14/2008,14.106207847595215,0.0,0.0
03/17/2008,14.121679698917793,0.0,0.0
03/20/2008,13.936062598210855,0.0,0.0
03/24/2008,14.028881072998047,0.0,0.0
03/25/2008,14.028881072998047,0.0,0.0
03/26/2008,14.075283517785389,0.0,0.0
03/27/2008,13.99794101715088,0.0,0.0
03/28/2008,13.99794101715088,0.0,0.0
03/31/2008,13.99792922533839,0.0,0.0
04/01/2008,14.214482307434082,0.0,0.0
04/07/2008,14.199016091219248,0.0,0.0
04/11/2008,14.090749740600586,0.0,0.0
04/14/2008,14.090749740600586,0.0,0.0
04/15/2008,14.090749740600586,0.0,0.0
04/16/2008,14.152604103088379,0.0,0.0
04/17/2008,14.152604103088379,0.0,0.0
04/18/2008,14.152604103088379,0.0,0.0
04/21/2008,14.09074372723402,0.0,0.0
04/22/2008,14.106217438496644,0.0,0.0
04/23/2008,14.090749740600586,0.0,0.0
04/24/2008,14.121672630310057,0.0,0.0
04/25/2008,14.106210615265205,0.0,0.0
04/28/2008,14.13715283428876,0.0,0.0
04/29/2008,14.121672630310057,0.0,0.0
04/30/2008,14.121672630310057,0.0,0.0
05/01/2008,14.090749740600586,0.0,0.0
05/02/2008,14.090749740600586,0.0,0.0
05/06/2008,14.090749740600586,0.0,0.0
05/07/2008,14.090749740600586,0.0,0.0
05/12/2008,14.090749740600586,0.0,0.0
05/13/2008,14.121685136392703,0.0,0.0
05/14/2008,14.075283517785389,0.0,0.0
05/15/2008,14.090749740600586,0.0,0.0
05/20/2008,14.106211235599961,0.0,0.0
05/21/2008,14.090749740600586,0.0,0.0
05/22/2008,14.090744576471717,0.0,0.0
05/23/2008,14.106211418529087,0.0,0.0
05/27/2008,14.245408717324059,0.0,0.0
05/28/2008,14.245418548583983,0.0,0.0
05/30/2008,14.121675534974694,0.0,0.0
06/02/2008,14.214470828276221,0.0,0.0
06/03/2008,14.245418972091347,0.0,0.0
06/04/2008,14.384628034174966,0.0,0.0
06/05/2008,14.384619195695473,0.0,0.0
06/06/2008,14.415553092956543,0.0,0.0
06/09/2008,14.415553092956543,0.0,0.0
06/11/2008,14.415553092956543,0.0,0.0
06/12/2008,14.4000940322876,0.0,0.0
06/13/2008,14.4000940322876,0.0,0.0
06/17/2008,14.415553092956543,0.0,0.0
06/18/2008,14.415553092956543,0.0,0.0
06/19/2008,14.400094402162436,0.0,0.0
06/20/2008,14.43102077912695,0.0,0.0
06/23/2008,14.43102077912695,0.0,0.0
06/24/2008,14.44649600982666,0.0,0.0
06/26/2008,14.415553092956543,0.0,0.0
06/30/2008,14.415553092956543,0.0,0.0
07/01/2008,14.415553092956543,0.0,0.0
07/02/2008,14.415552015452825,0.0,0.0
07/03/2008,14.44649600982666,0.0,0.0
07/07/2008,14.415553092956543,0.0,0.0
07/08/2008,14.461965923666302,0.0,0.0
07/09/2008,14.523835235074342,0.0,0.0
07/10/2008,14.508367538452147,0.0,0.0
07/14/2008,14.43102077912695,0.0,0.0
07/18/2008,14.46195936073356,0.0,0.0
07/21/2008,14.477425575256346,0.0,0.0
07/22/2008,14.477425575256346,0.0,0.0
07/23/2008,14.477418860844752,0.0,0.0
07/24/2008,14.539288115482062,0.0,0.0
07/25/2008,14.46195936073356,0.0,0.0
07/28/2008,14.477425575256346,0.0,0.0
07/29/2008,14.539294858587695,0.0,0.0
07/30/2008,14.50835463017164,0.0,0.0
07/31/2008,14.539288520812988,0.0,0.0
08/01/2008,14.52382755279541,0.0,0.0
08/04/2008,14.477419264450868,0.0,0.0
08/05/2008,14.585696220397951,0.0,0.0
08/06/2008,14.57022762298584,0.0,0.0
08/07/2008,14.554763793945312,0.0,0.0
08/08/2008,14.585695309812825,0.0,0.0
08/11/2008,14.616626739501953,0.0,0.0
08/12/2008,14.50835463017164,0.0,0.0
08/13/2008,14.539288520812988,0.0,0.0
08/14/2008,14.539289793509758,0.0,0.0
08/15/2008,14.663028317065448,0.0,0.0
08/18/2008,14.632094423716303,0.0,0.0
08/19/2008,14.632094423716303,0.0,0.0
08/20/2008,14.616626739501953,0.0,0.0
08/21/2008,14.616626739501953,0.0,0.0
08/22/2008,14.678495407104494,0.0,0.0
08/25/2008,14.616626739501953,0.0,0.0
08/26/2008,14.616636644775651,0.0,0.0
08/27/2008,14.678507111681101,0.0,0.0
08/28/2008,14.740364666377914,0.0,0.0
08/29/2008,14.616625460035493,0.0,0.0
09/03/2008,14.539288520812988,0.0,0.0
09/04/2008,14.554757477724108,0.0,0.0
09/05/2008,14.64756458204097,0.0,0.0
09/08/2008,14.663028317065448,0.0,0.0
09/09/2008,14.632105827331543,0.0,0.0
09/10/2008,14.616636175321556,0.0,0.0
09/11/2008,14.585696220397951,0.0,0.0
09/12/2008,14.647571563720701,0.0,0.0
09/15/2008,14.647571563720701,0.0,0.0
09/16/2008,14.57022762298584,0.0,0.0
09/17/2008,14.601170508009606,0.0,0.0
09/18/2008,14.461955070495604,0.0,0.0
09/19/2008,14.322758726558154,0.0,0.0
09/22/2008,14.307285263136864,0.0,0.0
09/23/2008,14.322752952575684,0.0,0.0
09/25/2008,14.307293085902819,0.0,0.0
09/26/2008,14.1526164444619,0.0,0.0
09/29/2008,14.52383263293424,0.0,0.0
09/30/2008,14.38462444761724,0.0,0.0
10/01/2008,14.075268645484497,0.0,0.0
10/02/2008,13.997934980828985,0.0,0.0
10/03/2008,13.765928268432617,0.0,0.0
10/06/2008,13.626729555163202,0.0,0.0
10/07/2008,13.008029937054308,0.0,0.0
10/08/2008,13.301908986228932,0.0,0.0
10/09/2008,13.147246335912914,0.0,0.0
10/10/2008,13.394712692168618,0.0,0.0
10/13/2008,13.6267212086814,0.0,0.0
10/14/2008,13.456575719911573,0.0,0.0
10/15/2008,13.533912658691408,0.0,0.0
10/16/2008,13.533930051675059,0.0,0.0
10/17/2008,13.61126708984375,0.0,0.0
10/20/2008,13.688592093031431,0.0,0.0
10/21/2008,13.765930454518314,0.0,0.0
10/22/2008,13.858735133067478,0.0,0.0
10/23/2008,13.843267440795897,0.0,0.0
10/24/2008,13.68859276951655,0.0,0.0
10/27/2008,13.765928268432617,0.0,0.0
10/28/2008,13.889666836794431,0.0,0.0
10/29/2008,13.78140319708739,0.0,0.0
10/30/2008,13.843267440795897,0.0,0.0
10/31/2008,13.905130344926672,0.0,0.0
11/03/2008,13.936069488525389,0.0,0.0
11/04/2008,14.075276709516803,0.0,0.0
11/05/2008,13.951537177877016,0.0,0.0
11/06/2008,13.936069488525389,0.0,0.0
11/10/2008,13.812330245971678,0.0,0.0
11/11/2008,13.9051367348019,0.0,0.0
11/14/2008,13.85873183666915,0.0,0.0
11/17/2008,13.812330245971678,0.0,0.0
11/18/2008,13.936077226324004,0.0,0.0
11/19/2008,13.951539512815275,0.0,0.0
11/20/2008,13.920598030090332,0.0,0.0
11/21/2008,13.905130344926672,0.0,0.0
11/24/2008,13.920592306398149,0.0,0.0
11/25/2008,14.229948602176732,0.0,0.0
11/26/2008,13.936072743106761,0.0,0.0
11/28/2008,14.168082237243652,0.0,0.0
12/02/2008,13.936069488525389,0.0,0.0
12/04/2008,13.936062598210855,0.0,0.0
12/05/2008,13.997939155841493,0.0,0.0
12/08/2008,13.982471466064455,0.0,0.0
12/09/2008,13.997941113555909,0.0,0.0
12/10/2008,13.967011288644883,0.0,0.0
12/11/2008,14.01341438293457,0.0,0.0
12/12/2008,13.967011288644883,0.0,0.0
12/15/2008,14.01341438293457,0.0,0.0
12/16/2008,14.13714599609375,0.0,0.0
12/17/2008,13.85873794555664,0.0,0.0
12/18/2008,13.843265208231276,0.0,0.0
12/19/2008,13.905139020497721,0.0,0.0
12/22/2008,13.997946543002476,0.0,0.0
12/24/2008,13.982471466064455,0.0,0.0
12/29/2008,13.99794034809902,0.0,0.0
12/30/2008,14.106207847595215,0.0,0.0
12/31/2008,14.013412510913508,0.0,0.0
01/02/2009,14.183552742004395,0.0,0.0
01/05/2009,14.121670215062688,0.0,0.0
01/06/2009,14.307285599918046,0.0,0.0
01/07/2009,14.384622573852539,0.0,0.0
01/08/2009,14.384622573852539,0.0,0.0
01/09/2009,14.616636221315826,0.0,0.0
01/12/2009,14.446499158885684,0.0,0.0
01/13/2009,14.477421280430233,0.0,0.0
01/14/2009,14.338216540540788,0.0,0.0
01/15/2009,14.32275740600172,0.0,0.0
01/16/2009,14.431027944909022,0.0,0.0
01/20/2009,14.384619195695473,0.0,0.0
01/21/2009,14.33822704551843,0.0,0.0
01/22/2009,14.523834976437284,0.0,0.0
01/23/2009,14.4000940322876,0.0,0.0
01/26/2009,14.431030273437502,0.0,0.0
01/27/2009,14.461952653494963,0.0,0.0
01/28/2009,14.492886543273926,0.0,0.0
01/29/2009,14.492886543273926,0.0,0.0
02/02/2009,14.400083800307787,0.0,0.0
02/04/2009,14.570223480340408,0.0,0.0
02/05/2009,14.369148434587014,0.0,0.0
02/06/2009,14.616626739501953,0.0,0.0
02/09/2009,14.492892175914076,0.0,0.0
02/10/2009,14.57022762298584,0.0,0.0
02/11/2009,14.57022762298584,0.0,0.0
02/12/2009,14.570225161938458,0.0,0.0
02/18/2009,14.632105827331543,0.0,0.0
02/19/2009,14.632095691054355,0.0,0.0
02/20/2009,14.693964958190918,0.0,0.0
02/23/2009,14.724908346229599,0.0,0.0
02/24/2009,14.724906015501709,0.0,0.0
02/25/2009,14.724905967712402,0.0,0.0
02/26/2009,14.724910199447406,0.0,0.0
02/27/2009,14.755844116210938,0.0,0.0
03/02/2009,14.755842259099913,0.0,0.0
03/03/2009,14.585702050611975,0.0,0.0
03/04/2009,14.740376420288836,0.0,0.0
03/05/2009,14.755839875585956,0.0,0.0
03/06/2009,14.740374565124512,0.0,0.0
03/09/2009,14.740374565124512,0.0,0.0
03/10/2009,14.740374565124512,0.0,0.0
03/11/2009,14.740372184109056,0.0,0.0
03/12/2009,14.724905967712402,0.0,0.0
03/13/2009,14.724905967712402,0.0,0.0
03/16/2009,14.77131075519687,0.0,0.0
03/17/2009,14.755842259099913,0.0,0.0
03/18/2009,14.771309953075312,0.0,0.0
03/19/2009,14.771306991577147,0.0,0.0
03/20/2009,14.771306991577147,0.0,0.0
03/23/2009,14.771306991577147,0.0,0.0
03/24/2009,14.77131075519687,0.0,0.0
03/25/2009,14.771306991577147,0.0,0.0
03/26/2009,14.771306991577147,0.0,0.0
03/30/2009,14.802240898245524,0.0,0.0
03/31/2009,14.786778450012207,0.0,0.0
04/01/2009,14.786778450012207,0.0,0.0
04/02/2009,14.802244669746978,0.0,0.0
04/03/2009,14.802245140075684,0.0,0.0
04/06/2009,14.802245140075684,0.0,0.0
04/07/2009,14.802240278725861,0.0,0.0
04/08/2009,14.817705154418945,0.0,0.0
04/09/2009,14.817705154418945,0.0,0.0
04/13/2009,14.817705154418945,0.0,0.0
04/14/2009,14.817714047556757,0.0,0.0
04/15/2009,14.879583358764648,0.0,0.0
04/16/2009,14.864112854003906,0.0,0.0
04/17/2009,14.817705154418945,0.0,0.0
04/20/2009,14.802240278725861,0.0,0.0
04/21/2009,14.833187997590473,0.0,0.0
04/22/2009,14.848655700683592,0.0,0.0
04/23/2009,14.833175659179686,0.0,0.0
04/24/2009,14.848655700683592,0.0,0.0
04/27/2009,14.864101777772571,0.0,0.0
04/28/2009,14.879567074488362,0.0,0.0
04/29/2009,14.910502433776855,0.0,0.0
04/30/2009,14.925971031188965,0.0,0.0
05/01/2009,14.925971031188965,0.0,0.0
05/11/2009,14.925971031188965,0.0,0.0
05/12/2009,14.956921577453612,0.0,0.0
05/13/2009,14.956921577453612,0.0,0.0
05/18/2009,14.972386830014285,0.0,0.0
05/19/2009,14.987853050231934,0.0,0.0
05/20/2009,14.987853050231934,0.0,0.0
05/21/2009,14.987853050231934,0.0,0.0
05/28/2009,14.972390174865723,0.0,0.0
05/29/2009,15.003313064575195,0.0,0.0
06/01/2009,15.00331583260718,0.0,0.0
06/02/2009,15.034248439334334,0.0,0.0
06/03/2009,15.018779754638672,0.0,0.0
06/04/2009,15.018779754638672,0.0,0.0
06/05/2009,15.034248439334334,0.0,0.0
06/08/2009,15.00331583260718,0.0,0.0
