BEP,Brookfield Renewable Partners L,
Date,Price,Dividend,Annualized Dividend
11/15/2005,4.439479351043701,0.0,0.0
11/16/2005,4.482873439788818,0.0,0.0
11/17/2005,4.562985897064209,0.0,0.0
11/18/2005,4.549633502960205,0.0,0.0
11/21/2005,4.629743576049805,0.0,0.0
11/22/2005,4.713192939758301,0.0,0.0
11/23/2005,4.706515312194824,0.0,0.0
11/25/2005,4.930159568786621,0.0,0.0
11/28/2005,5.12042236328125,0.0,0.0
11/29/2005,5.1437883377075195,0.0,0.0
11/30/2005,5.457555770874023,0.0,0.0
12/01/2005,5.280642986297607,0.0,0.0
12/02/2005,5.247265815734863,0.0,0.0
12/05/2005,5.137112617492676,0.0,0.0
12/06/2005,5.160477638244629,0.0,0.0
12/07/2005,5.160477638244629,0.0,0.0
12/08/2005,5.107069969177246,0.0,0.0
12/09/2005,5.140450477600098,0.0,0.0
12/12/2005,5.197194576263428,0.0,0.0
12/13/2005,5.213884353637695,0.0,0.0
12/14/2005,5.287320613861084,0.0,0.0
12/15/2005,5.287320613861084,0.0,0.0
12/16/2005,5.233913898468018,0.0,0.0
12/19/2005,5.233913898468018,0.0,0.0
12/20/2005,5.180506706237793,0.0,0.0
12/21/2005,5.223899841308594,0.0,0.0
12/22/2005,5.173829078674316,0.0,0.0
12/23/2005,5.207208156585693,0.0,0.0
12/27/2005,5.207208156585693,0.0,0.0
12/28/2005,5.160477638244629,0.0,0.0
12/29/2005,5.163816452026367,0.0,0.0
12/30/2005,5.180506706237793,0.0,0.0
01/03/2006,5.257277488708496,0.0,0.0
01/04/2006,5.247265815734863,0.0,0.0
01/05/2006,5.2372517585754395,0.0,0.0
01/06/2006,5.243927001953125,0.0,0.0
01/09/2006,5.283981800079346,0.0,0.0
01/10/2006,5.283981800079346,0.0,0.0
01/11/2006,5.277306079864502,0.0,0.0
01/12/2006,5.277306079864502,0.0,0.0
01/13/2006,5.320700168609619,0.0,0.0
01/17/2006,5.367432117462158,0.0,0.0
01/18/2006,5.367432117462158,0.0,0.0
01/19/2006,5.480921745300293,0.0,0.0
01/20/2006,5.490936756134033,0.0,0.0
01/23/2006,5.490936756134033,0.0,0.0
01/24/2006,5.524315357208252,0.0,0.0
01/25/2006,5.551019668579102,0.0,0.0
01/26/2006,5.554357051849365,0.0,0.0
01/27/2006,5.587735652923584,0.0,0.0
