BIP,Brookfield Infrastructure Partn,
Date,Price,Annualized Dividend
01/10/2008,6.09,0.0
01/10/2008,5.26,0.0
01/11/2008,5.26,0.0
01/11/2008,5.37,0.0
01/14/2008,5.4,0.0
01/14/2008,5.55,0.0
01/15/2008,5.83,0.0
01/15/2008,5.53,0.0
01/16/2008,5.52,0.0
01/16/2008,5.48,0.0
01/17/2008,5.51,0.0
01/17/2008,5.51,0.0
01/18/2008,5.51,0.0
01/18/2008,5.54,0.0
01/22/2008,5.33,0.0
01/22/2008,5.44,0.0
01/23/2008,5.26,0.0
01/23/2008,5.71,0.0
01/24/2008,5.65,0.0
01/24/2008,5.68,0.0
01/25/2008,5.75,0.0
01/25/2008,5.82,0.0
01/28/2008,5.82,0.0
01/28/2008,5.86,0.0
01/29/2008,5.86,0.0
01/29/2008,5.82,0.0
01/30/2008,5.82,0.0
01/30/2008,5.84,0.0
01/31/2008,5.82,0.0
01/31/2008,5.8,0.0
02/01/2008,5.98,0.0
02/01/2008,5.68,0.0
02/04/2008,5.75,0.0
02/04/2008,5.59,0.0
02/05/2008,5.57,0.0
02/05/2008,5.49,0.0
02/06/2008,5.53,0.0
02/06/2008,5.35,0.0
02/07/2008,5.35,0.0
02/07/2008,5.33,0.0
02/08/2008,5.32,0.0
02/08/2008,5.39,0.0
02/11/2008,5.34,0.0
02/11/2008,5.35,0.0
02/12/2008,5.3,0.0
02/12/2008,5.29,0.0
02/13/2008,5.3,0.0
02/13/2008,5.25,0.0
02/14/2008,5.26,0.0
02/14/2008,5.28,0.0
02/15/2008,5.33,0.0
02/15/2008,5.33,0.0
02/19/2008,5.33,0.0
02/19/2008,5.28,0.0
02/20/2008,5.29,0.0
02/20/2008,5.23,0.0
02/21/2008,5.18,0.0
02/21/2008,5.22,0.0
02/22/2008,5.2,0.0
02/22/2008,5.3,0.0
02/25/2008,5.32,0.0
02/25/2008,5.33,0.0
02/26/2008,5.35,0.0
02/26/2008,5.33,0.0
02/27/2008,5.34,0.0882
02/27/2008,5.32,0.0882
02/28/2008,5.34,0.0882
02/28/2008,5.27,0.0882
02/29/2008,5.24,0.0882
02/29/2008,5.24,0.0882
03/03/2008,5.23,0.0882
03/03/2008,5.23,0.0882
03/04/2008,5.23,0.0882
03/04/2008,5.18,0.0882
03/05/2008,5.19,0.0882
03/05/2008,5.07,0.0882
03/06/2008,5.12,0.0882
03/06/2008,5.24,0.0882
03/07/2008,5.19,0.0882
03/07/2008,5.08,0.0882
03/10/2008,5.05,0.0882
03/10/2008,4.91,0.0882
03/11/2008,4.91,0.0882
03/11/2008,4.89,0.0882
03/12/2008,4.92,0.0882
03/12/2008,4.8,0.0882
03/13/2008,4.82,0.0882
03/13/2008,4.69,0.0882
03/14/2008,4.69,0.0882
03/14/2008,4.5,0.0882
03/17/2008,4.46,0.0882
03/17/2008,4.29,0.0882
03/18/2008,4.28,0.0882
03/18/2008,4.29,0.0882
03/19/2008,4.39,0.0882
03/19/2008,4.23,0.0882
03/20/2008,4.22,0.0882
03/20/2008,4.33,0.0882
03/24/2008,4.66,0.0882
03/24/2008,4.88,0.0882
03/25/2008,4.85,0.0882
03/25/2008,5.1,0.0882
03/26/2008,5.16,0.0882
03/26/2008,5.21,0.0882
03/27/2008,5.28,0.0882
03/27/2008,4.93,0.0882
03/28/2008,4.93,0.0882
03/28/2008,4.93,0.0882
03/31/2008,5.02,0.0882
03/31/2008,4.73,0.0882
04/01/2008,4.73,0.0882
04/01/2008,4.99,0.0882
04/02/2008,5.02,0.0882
04/02/2008,5.02,0.0882
04/03/2008,5.02,0.0882
04/03/2008,5.09,0.0882
04/04/2008,5.09,0.0882
04/04/2008,5.06,0.0882
04/07/2008,5.16,0.0882
04/07/2008,5.18,0.0882
04/08/2008,5.19,0.0882
04/08/2008,5.09,0.0882
04/09/2008,5.23,0.0882
04/09/2008,5.01,0.0882
04/10/2008,4.98,0.0882
04/10/2008,5.06,0.0882
04/11/2008,5.08,0.0882
04/11/2008,5.04,0.0882
04/14/2008,5.09,0.0882
04/14/2008,4.95,0.0882
04/15/2008,4.92,0.0882
04/15/2008,4.94,0.0882
04/16/2008,5.07,0.0882
04/16/2008,5.03,0.0882
04/17/2008,5.02,0.0882
04/17/2008,5.0,0.0882
04/18/2008,5.06,0.0882
04/18/2008,5.08,0.0882
04/21/2008,5.09,0.0882
04/21/2008,5.09,0.0882
04/22/2008,5.1,0.0882
04/22/2008,5.01,0.0882
04/23/2008,5.05,0.0882
04/23/2008,5.0,0.0882
04/24/2008,5.04,0.0882
04/24/2008,4.91,0.0882
04/25/2008,4.95,0.0882
04/25/2008,5.16,0.0882
04/28/2008,5.3,0.0882
04/28/2008,5.4,0.0882
04/29/2008,5.52,0.0882
04/29/2008,5.49,0.0882
04/30/2008,5.47,0.0882
04/30/2008,5.54,0.0882
05/01/2008,5.58,0.0882
05/01/2008,5.66,0.0882
05/02/2008,5.8,0.0882
05/02/2008,5.64,0.0882
05/05/2008,5.61,0.0882
05/05/2008,5.6,0.0882
05/06/2008,5.58,0.0882
05/06/2008,5.61,0.0882
05/07/2008,5.58,0.0882
05/07/2008,5.59,0.0882
05/08/2008,5.59,0.0882
05/08/2008,5.74,0.0882
05/09/2008,5.72,0.0882
05/09/2008,5.72,0.0882
05/12/2008,5.76,0.0882
05/12/2008,5.67,0.0882
05/13/2008,5.67,0.0882
05/13/2008,5.68,0.0882
05/14/2008,5.68,0.0882
05/14/2008,5.58,0.0882
05/15/2008,5.61,0.0882
05/15/2008,5.61,0.0882
05/16/2008,5.61,0.0882
05/16/2008,5.59,0.0882
05/19/2008,5.65,0.0882
