BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Dividend,Annualized Dividend
09/13/1999,4.716643333435059,0.0,0.0
09/24/1999,4.514627456665039,0.0,0.0
09/27/1999,4.514627456665039,0.0,0.0
10/07/1999,4.883526802062988,0.0,0.0
10/11/1999,4.883526802062988,0.0,0.0
10/13/1999,4.86596155166626,0.0,0.0
10/15/1999,4.628812313079834,0.0,0.0
10/21/1999,4.628812313079834,0.0,0.0
10/22/1999,4.804477214813232,0.0,0.0
10/26/1999,4.84839391708374,0.0,0.0
11/03/1999,4.971358776092529,0.0,0.0
11/04/1999,4.918660163879395,0.0,0.0
11/05/1999,4.936229274055906,0.0,0.0
11/08/1999,4.936228275299072,0.0,0.0
11/09/1999,4.804477214813232,0.0,0.0
11/10/1999,4.804477214813232,0.0,0.0
11/11/1999,4.769344806671143,0.0,0.0
11/16/1999,4.971358776092529,0.0,0.0
11/17/1999,4.953795909881592,0.0,0.0
12/02/1999,4.6990790367126465,0.0,0.0
12/03/1999,4.663946151733398,0.0,0.0
12/06/1999,4.681512832641602,0.0,0.0
12/08/1999,4.681512832641602,0.0,0.0
12/10/1999,4.6990790367126465,0.0,0.0
12/14/1999,4.6990790367126465,0.0,0.0
12/16/1999,4.628812313079834,0.0,0.0
12/20/1999,4.628812313079834,0.0,0.0
12/21/1999,4.584893226623535,0.0,0.0
12/22/1999,4.584894606180699,0.0,0.0
12/23/1999,4.6112470626831055,0.0,0.0
12/27/1999,4.681512832641602,0.0,0.0
12/30/1999,4.751779171208695,0.0,0.0
12/31/1999,4.786912441253662,0.0,0.0
01/06/2000,4.734209958894316,0.0,0.0
01/11/2000,4.602460594183535,0.0,0.0
01/18/2000,4.497061729431152,0.0,0.0
01/20/2000,4.786912441253662,0.0,0.0
01/21/2000,4.786912441253662,0.0,0.0
01/24/2000,4.347744464874268,0.0,0.0
01/25/2000,4.1457295417785645,0.0,0.0
01/26/2000,4.347744464874268,0.0,0.0
01/27/2000,4.497061729431152,0.0,0.0
01/28/2000,4.497061729431152,0.0,0.0
01/31/2000,4.567327976226807,0.0,0.0
02/02/2000,4.60245943069458,0.0,0.0
02/04/2000,4.60245943069458,0.0,0.0
02/07/2000,4.347744464874268,0.0,0.0
02/08/2000,4.461928844451904,0.0,0.0
02/09/2000,4.461928844451904,0.0,0.0
02/10/2000,4.426793575286865,0.0,0.0
02/11/2000,4.36531400680542,0.0,0.0
02/16/2000,4.36531400680542,0.0,0.0
02/17/2000,4.312611103057861,0.0,0.0
02/23/2000,4.242344379425049,0.0,0.0
02/24/2000,4.242344379425049,0.0,0.0
02/25/2000,4.189645767211914,0.0,0.0
02/28/2000,4.207214832305908,0.0,0.0
03/01/2000,4.444360733032227,0.0,0.0
03/07/2000,4.444360733032227,0.0,0.0
03/09/2000,3.926145076751709,0.0,0.0
03/15/2000,3.987630605697632,0.0,0.0
03/16/2000,3.987630605697632,0.0,0.0
03/17/2000,4.207214832305908,0.0,0.0
03/20/2000,4.224778175354004,0.0,0.0
03/23/2000,4.224778175354004,0.0,0.0
03/30/2000,4.391660690307617,0.0,0.0
04/05/2000,4.549761772155762,0.0,0.0
04/06/2000,4.663946151733398,0.0,0.0
04/11/2000,4.663946151733398,0.0,0.0
04/18/2000,4.61124708260668,0.0,0.0
04/19/2000,4.532196998596191,0.0,0.0
04/25/2000,5.173377990722656,0.0,0.0
04/28/2000,5.173377990722656,0.0,0.0
05/03/2000,4.953795909881592,0.0,0.0
05/10/2000,5.103110313415527,0.0,0.0
05/15/2000,5.103110313415527,0.0,0.0
05/17/2000,5.173376719374555,0.0,0.0
05/18/2000,5.173377990722656,0.0,0.0
05/19/2000,5.26121187210083,0.0,0.0
05/22/2000,5.26121187210083,0.0,0.0
05/24/2000,5.243645668029785,0.0,0.0
05/31/2000,5.507141172380477,0.0,0.0
06/01/2000,5.524707794189454,0.0,0.0
06/05/2000,5.612544584168892,0.0,0.0
06/06/2000,5.5774102210998535,0.0,0.0
06/08/2000,5.357827186584473,0.0,0.0
06/09/2000,5.357827186584473,0.0,0.0
06/12/2000,5.375394962551479,0.0,0.0
06/13/2000,5.428094863891602,0.0,0.0
06/15/2000,5.428094863891602,0.0,0.0
06/16/2000,5.357827186584473,0.0,0.0
06/20/2000,5.226076602935791,0.0,0.0
06/26/2000,5.226076602935791,0.0,0.0
06/30/2000,5.463225841522216,0.0,0.0
07/06/2000,5.428094863891602,0.0,0.0
07/07/2000,5.428094863891602,0.0,0.0
07/12/2000,5.305123805999756,0.0,0.0
07/13/2000,5.305123805999756,0.0,0.0
07/14/2000,5.226076602935791,0.0,0.0
07/18/2000,5.243644577757702,0.0,0.0
07/19/2000,5.269994735717773,0.0,0.0
07/20/2000,5.269992883086578,0.0,0.0
07/21/2000,5.287559509277345,0.0,0.0
07/26/2000,5.524709911011996,0.0,0.0
07/27/2000,5.594976425170899,0.0,0.0
07/28/2000,5.594976425170899,0.0,0.0
07/31/2000,5.5949768509764874,0.0,0.0
08/01/2000,5.5774102210998535,0.0,0.0
08/02/2000,5.577409796631173,0.0,0.0
08/03/2000,5.630111217498779,0.0,0.0
08/04/2000,5.630111217498779,0.0,0.0
08/09/2000,5.5774102210998535,0.0,0.0
08/10/2000,5.5774102210998535,0.0,0.0
08/14/2000,5.6828107833862305,0.0,0.0
08/18/2000,5.6828107833862305,0.0,0.0
08/21/2000,5.744292736053468,0.0,0.0
08/22/2000,5.5774102210998535,0.0,0.0
08/23/2000,5.612544584168892,0.0,0.0
08/24/2000,5.630111217498779,0.0,0.0
09/01/2000,5.796993255615234,0.0,0.0
09/07/2000,5.709159851074219,0.0,0.0
09/11/2000,5.709159851074219,0.0,0.0
09/13/2000,5.928745269775391,0.0,0.0
09/14/2000,6.104410171508789,0.0,0.0
09/15/2000,6.165892177409274,0.0,0.0
09/18/2000,6.183458382680328,0.0,0.0
09/19/2000,6.201025538924927,0.0,0.0
09/20/2000,6.218592166900635,0.0,0.0
09/21/2000,6.455744743347168,0.0,0.0
09/28/2000,6.1483259201049805,0.0,0.0
09/29/2000,6.2888593673706055,0.0,0.0
10/02/2000,6.2888593673706055,0.0,0.0
