CM,Canadian Imperial Bank of Comme,
Date,Price,Dividend,Annualized Dividend
11/13/1997,10.221271499258574,0.0,0.0
11/14/1997,9.97790514109086,0.0,0.0
11/17/1997,10.14014762006924,0.0,0.0
11/18/1997,10.160426821027484,0.0,0.0
11/19/1997,10.059026439108685,0.0,0.0
11/20/1997,10.14014977821062,0.0,0.0
11/21/1997,10.221267429329234,0.0,0.0
11/24/1997,10.241551275992725,0.0,0.0
11/25/1997,10.180710844560103,0.0,0.0
11/26/1997,10.059027608235677,0.0,0.0
11/28/1997,9.734538482474884,0.0,0.0
12/01/1997,9.775098516827539,0.0,0.0
12/02/1997,10.221264839172363,0.0,0.0
12/03/1997,10.302388736447558,0.0,0.0
12/04/1997,10.342950008883333,0.0,0.0
12/05/1997,10.221269707930716,0.0,0.0
12/08/1997,10.46463121686663,0.0,0.0
12/09/1997,10.60659866622,0.0,0.0
12/10/1997,10.708001761600888,0.0,0.0
12/11/1997,10.545751418619474,0.0,0.0
12/12/1997,10.383508700626203,0.0,0.0
12/15/1997,10.566033774155835,0.0,0.0
12/16/1997,10.586316696433133,0.0,0.0
12/17/1997,10.545753078238045,0.0,0.0
12/18/1997,10.44435229955935,0.0,0.0
12/19/1997,10.302389981990347,0.0,0.0
12/22/1997,10.14015024358576,0.0,0.0
12/23/1997,10.038747310638428,0.0,0.0
12/24/1997,9.680620823876332,0.21,0.21
12/26/1997,9.680623996182806,0.0,0.21
12/29/1997,9.803163481921684,0.0,0.21
12/30/1997,10.129938982973004,0.0,0.21
12/31/1997,10.293318099975586,0.0,0.21
01/02/1998,10.211628592180872,0.0,0.21
01/05/1998,10.252475351900669,0.0,0.21
01/06/1998,10.538400347685393,0.0,0.21
01/07/1998,10.41585462778686,0.0,0.21
01/08/1998,10.007393835016835,0.0,0.21
01/09/1998,9.864433697585401,0.0,0.21
01/12/1998,9.108772599295284,0.0,0.21
01/13/1998,9.353853903595711,0.0,0.21
01/14/1998,9.333431333303452,0.0,0.21
01/15/1998,9.027083245393271,0.0,0.21
01/16/1998,8.88411489752836,0.0,0.21
01/20/1998,8.782001840116832,0.0,0.21
01/21/1998,8.618616430323367,0.0,0.21
01/22/1998,8.577767086029052,0.0,0.21
01/23/1998,9.14961852305888,0.0,0.21
01/26/1998,8.720733433961868,0.0,0.21
01/27/1998,9.190460606407447,0.0,0.21
01/28/1998,9.415124386548996,0.0,0.21
01/29/1998,9.088351904134987,0.0,0.21
01/30/1998,9.047503830096042,0.0,0.21
02/02/1998,9.149617513020834,0.0,0.21
02/03/1998,9.108774396647577,0.0,0.21
02/04/1998,9.39470012013505,0.0,0.21
02/05/1998,9.292584092993486,0.0,0.21
02/06/1998,9.476395568194176,0.0,0.21
02/09/1998,9.598932869826692,0.0,0.21
02/10/1998,9.68062492609024,0.0,0.21
02/11/1998,9.884853096008301,0.0,0.21
02/12/1998,10.129933361038269,0.0,0.21
02/13/1998,10.252478827682197,0.0,0.21
02/17/1998,10.456710815429688,0.0,0.21
02/18/1998,10.45671147365196,0.0,0.21
02/19/1998,10.415861199541789,0.0,0.21
02/20/1998,10.048242568969727,0.0,0.21
02/23/1998,10.129933051912209,0.0,0.21
02/24/1998,10.293321931812445,0.0,0.21
02/25/1998,10.29332065017971,0.0,0.21
02/26/1998,10.293321576034813,0.0,0.21
02/27/1998,10.538400031728688,0.0,0.21
03/02/1998,10.395435646710643,0.0,0.21
03/03/1998,10.272897705347926,0.0,0.21
03/04/1998,10.354589141222585,0.0,0.21
03/05/1998,10.191206953217906,0.0,0.21
03/06/1998,10.150358200073242,0.0,0.21
03/09/1998,10.232051804748892,0.0,0.21
03/10/1998,10.558830400307974,0.0,0.21
03/11/1998,10.82432397503719,0.0,0.21
03/12/1998,10.946864121151666,0.0,0.21
03/13/1998,11.314487005534925,0.0,0.21
03/16/1998,11.028562711034011,0.0,0.21
03/17/1998,11.294060997784456,0.0,0.21
03/18/1998,11.437024762553554,0.0,0.21
03/19/1998,11.396180867281828,0.0,0.21
03/20/1998,11.19194159067992,0.0,0.21
03/23/1998,11.273638409694971,0.0,0.21
03/24/1998,11.29406163347002,0.0,0.21
03/25/1998,11.577286389895848,0.3,0.51
03/26/1998,11.536087665079316,0.0,0.51
03/27/1998,11.49488398577716,0.0,0.51
03/30/1998,11.371277451948687,0.0,0.51
03/31/1998,11.37128291491567,0.0,0.51
04/01/1998,11.330082781679996,0.0,0.51
04/02/1998,11.371280586326515,0.0,0.51
04/03/1998,11.33008261449931,0.0,0.51
04/06/1998,11.53607646205969,0.0,0.51
04/07/1998,11.783281431891101,0.0,0.51
04/08/1998,11.94808378452208,0.0,0.51
04/09/1998,11.80388045187013,0.0,0.51
04/13/1998,11.989287548065185,0.0,0.51
04/14/1998,12.38068745353005,0.0,0.51
04/15/1998,13.596099523397593,0.0,0.51
04/16/1998,12.81328690866506,0.0,0.51
04/17/1998,13.348893289442186,0.0,0.51
04/20/1998,12.607289791107178,0.0,0.51
04/21/1998,11.86568087308411,0.0,0.51
