EFC,Ellington Financial Inc.,
Date,Price,Dividend,Annualized Dividend
10/08/2010,6.0303157828320035,0.0,0.0
10/11/2010,6.100435733795166,0.0,0.0
10/12/2010,6.103243678136372,0.0,0.0
10/13/2010,6.274335598245431,0.0,0.0
10/14/2010,6.282748697242931,0.0,0.0
10/15/2010,6.296773382815101,0.0,0.0
10/18/2010,6.27153073504874,0.0,0.0
10/19/2010,6.268725881905458,0.0,0.0
10/20/2010,6.249090248276542,0.0,0.0
10/21/2010,6.254697897058257,0.0,0.0
10/22/2010,6.23787058217277,0.0,0.0
10/25/2010,6.1705561156361295,0.0,0.0
10/26/2010,6.100436109384312,0.0,0.0
10/27/2010,6.12848272017535,0.0,0.0
10/28/2010,6.167751202256643,0.0,0.0
10/29/2010,6.162141638862683,0.0,0.0
11/01/2010,6.201411247253418,0.0,0.0
11/02/2010,6.229458607843519,0.0,0.0
11/03/2010,6.170557605622036,0.0,0.0
11/04/2010,6.2126288414001465,0.0,0.0
11/05/2010,6.209823127939852,0.0,0.0
11/08/2010,6.19579998571653,0.0,0.0
11/09/2010,6.150923356765593,0.0,0.0
11/10/2010,6.016292006628479,0.0,0.0
11/11/2010,6.100436636962832,0.0,0.0
11/12/2010,6.142508506774902,0.0,0.0
11/15/2010,6.184582079685723,0.0,0.0
11/16/2010,6.1593384637272885,0.0,0.0
11/17/2010,6.2406760797501395,0.0,0.0
11/18/2010,6.310795496321542,0.0,0.0
11/19/2010,6.159337410224433,0.0,0.0
11/22/2010,6.237871962867636,0.0,0.0
11/23/2010,6.226653993847597,0.0,0.0
11/24/2010,6.3107966334281285,0.0,0.0
11/26/2010,6.338845836855598,0.0,0.0
11/29/2010,6.542493895198523,0.8,0.8
11/30/2010,6.542491602106192,0.0,0.8
12/01/2010,6.513413750729609,0.0,0.8
12/02/2010,6.542493537348606,0.0,0.8
12/03/2010,6.466891323252225,0.0,0.8
12/06/2010,6.49596836782071,0.0,0.8
12/07/2010,6.542492508888245,0.0,0.8
12/08/2010,6.411642436864895,0.0,0.8
12/09/2010,6.426181431409117,0.0,0.8
12/10/2010,6.429090845158253,0.0,0.8
12/13/2010,6.472703153516824,0.0,0.8
12/14/2010,6.469796061479859,0.0,0.8
12/15/2010,6.478521193566784,0.0,0.8
12/16/2010,6.429086666818522,0.0,0.8
12/17/2010,6.458165702785323,0.0,0.8
12/20/2010,6.417456049547659,0.0,0.8
