EPD,Enterprise Products Partners L.,
Date,Price,Dividend,Annualized Dividend
07/28/1998,1.1932648614395496,0.0,0.0
07/29/1998,1.1661455596702686,0.0,0.0
07/30/1998,1.1729251194831936,0.0,0.0
07/31/1998,1.1695354142609766,0.0,0.0
08/03/1998,1.1525856256484985,0.0,0.0
08/04/1998,1.152586035612153,0.0,0.0
08/05/1998,1.098346032105483,0.0,0.0
08/06/1998,1.04410729286777,0.0,0.0
08/07/1998,1.0712265908343237,0.0,0.0
08/10/1998,1.0813962358255356,0.0,0.0
08/11/1998,1.0474970517189879,0.0,0.0
08/12/1998,1.0305468830437705,0.0,0.0
08/13/1998,1.0576665517949901,0.0,0.0
08/14/1998,1.0474973208952272,0.0,0.0
08/17/1998,1.0068178045749663,0.0,0.0
08/18/1998,1.0135978133070702,0.0,0.0
08/19/1998,1.0441070725840906,0.0,0.0
08/20/1998,1.0576669046955725,0.0,0.0
08/21/1998,1.0474970517189879,0.0,0.0
08/24/1998,1.0441073528925577,0.0,0.0
08/25/1998,1.023767692237177,0.0,0.0
08/26/1998,0.9830881906129241,0.0,0.0
08/27/1998,0.9796980702503219,0.0,0.0
08/28/1998,0.9695280794744139,0.0,0.0
08/31/1998,0.9220683471016261,0.0,0.0
09/01/1998,0.9152886694127863,0.0,0.0
09/02/1998,0.9356283232882305,0.0,0.0
09/03/1998,0.9220683471016261,0.0,0.0
09/04/1998,0.942408709841616,0.0,0.0
09/08/1998,0.9220682837122636,0.0,0.0
09/09/1998,0.9424080900523973,0.0,0.0
09/10/1998,0.9152887084267356,0.0,0.0
09/11/1998,0.9017289130776017,0.0,0.0
09/14/1998,0.9085084560106126,0.0,0.0
09/15/1998,0.9559678529663909,0.0,0.0
09/16/1998,0.9424085243238389,0.0,0.0
09/17/1998,0.9627478330031685,0.0,0.0
09/18/1998,0.932238091315542,0.0,0.0
09/21/1998,0.9424083614853066,0.0,0.0
09/22/1998,0.9627477015767779,0.0,0.0
09/23/1998,0.9627477668172163,0.0,0.0
09/24/1998,0.9559681940246635,0.0,0.0
09/25/1998,0.9559683592061964,0.0,0.0
09/28/1998,0.9763078623804553,0.0,0.0
09/29/1998,0.9898676463774033,0.0,0.0
09/30/1998,0.9729179045249676,0.0,0.0
10/01/1998,0.9966478855051893,0.0,0.0
10/02/1998,0.9627477668172163,0.0,0.0
10/05/1998,0.9559680725398817,0.0,0.0
10/06/1998,0.9152883313402368,0.0,0.0
10/07/1998,0.9085086646832918,0.0,0.0
10/08/1998,0.8949489815290584,0.0,0.0
10/09/1998,0.888168918459039,0.0,0.0
10/12/1998,0.9152888139682029,0.0,0.0
10/13/1998,0.9220686629966454,0.0,0.0
10/14/1998,0.9152887084267356,0.0,0.0
10/15/1998,0.9017287492752076,0.0,0.0
10/16/1998,0.9152890347382601,0.0,0.0
10/19/1998,0.9288484079020839,0.0,0.0
10/20/1998,0.9763078156051102,0.0,0.0
10/21/1998,0.9559683799743653,0.0,0.0
10/22/1998,0.9559680694466703,0.0,0.0
10/23/1998,0.9627479285524602,0.0,0.0
10/26/1998,0.9695279466694798,0.0,0.0
10/27/1998,0.9695281510922446,0.0,0.0
10/28/1998,0.926623201192315,0.1125,0.1125
10/29/1998,0.9475244402445552,0.0,0.1125
10/30/1998,0.9440407121091857,0.0,0.1125
11/02/1998,0.9335902451575918,0.0,0.1125
11/03/1998,0.9092053033498475,0.0,0.1125
11/04/1998,0.9092053383823455,0.0,0.1125
11/05/1998,0.8813369009727823,0.0,0.1125
11/06/1998,0.9196559078288528,0.0,0.1125
11/09/1998,0.9231396562369294,0.0,0.1125
11/10/1998,0.8848206516384154,0.0,0.1125
11/11/1998,0.9057219268739685,0.0,0.1125
11/12/1998,0.905722031990687,0.0,0.1125
11/13/1998,0.9126890181588582,0.0,0.1125
11/16/1998,0.9092053887935786,0.0,0.1125
11/17/1998,0.9022382860896231,0.0,0.1125
11/18/1998,0.9196561099005289,0.0,0.1125
11/19/1998,0.9161723187421776,0.0,0.1125
11/20/1998,0.9405574947595596,0.0,0.1125
11/23/1998,0.8987548346755169,0.0,0.1125
11/24/1998,0.9092054727465607,0.0,0.1125
11/25/1998,0.9022381389894449,0.0,0.1125
11/27/1998,0.9405573365393648,0.0,0.1125
11/30/1998,0.9231395709973116,0.0,0.1125
12/01/1998,0.8987550606598725,0.0,0.1125
12/02/1998,0.8917875251922,0.0,0.1125
12/03/1998,0.8639191687107086,0.0,0.1125
12/04/1998,0.8430178949082515,0.0,0.1125
12/07/1998,0.8534688574652518,0.0,0.1125
12/08/1998,0.870886589250257,0.0,0.1125
12/09/1998,0.8569523816206018,0.0,0.1125
12/10/1998,0.8360513719190068,0.0,0.1125
12/11/1998,0.8395345097611308,0.0,0.1125
12/14/1998,0.8534685336053371,0.0,0.1125
12/15/1998,0.8465015864685963,0.0,0.1125
12/16/1998,0.8221167173679704,0.0,0.1125
12/17/1998,0.7907648564953553,0.0,0.1125
12/18/1998,0.7942483893462591,0.0,0.1125
12/21/1998,0.7803141247909681,0.0,0.1125
12/22/1998,0.7733471159424101,0.0,0.1125
12/23/1998,0.7872814996455743,0.0,0.1125
12/24/1998,0.8569521112404322,0.0,0.1125
12/28/1998,0.8778532901778817,0.0,0.1125
12/29/1998,0.8778531795642415,0.0,0.1125
12/30/1998,0.8569521873684252,0.0,0.1125
12/31/1998,0.8221171823870234,0.0,0.1125
01/04/1999,0.8360510094221247,0.0,0.1125
01/05/1999,0.8952712883700186,0.0,0.1125
01/06/1999,0.9440411126359981,0.0,0.1125
01/07/1999,0.9893266388348171,0.0,0.1125
01/08/1999,0.9823601245880128,0.0,0.1125
01/11/1999,0.9893268432548576,0.0,0.1125
01/12/1999,0.9614587843625804,0.0,0.1125
01/13/1999,0.9788765780469205,0.0,0.1125
01/14/1999,0.9893271923065186,0.0,0.1125
01/15/1999,0.9893269305462603,0.0,0.1125
01/19/1999,0.9962939136906673,0.0,0.1125
01/20/1999,1.003260850906372,0.0,0.1125
01/21/1999,0.9928103912845517,0.0,0.1125
01/22/1999,0.9858436086036603,0.0,0.1125
01/25/1999,1.0137118340363553,0.0,0.1125
01/26/1999,1.006745060829267,0.0,0.1125
01/27/1999,1.0286245209830147,0.1125,0.225
01/28/1999,1.0071946208587321,0.0,0.225
01/29/1999,1.0036234222862819,0.0,0.225
02/01/1999,1.0357679447082624,0.0,0.225
02/02/1999,1.0357679447082624,0.0,0.225
02/03/1999,1.039339235850743,0.0,0.225
02/04/1999,1.0250525958967716,0.0,0.225
02/05/1999,1.014338286606582,0.0,0.225
02/08/1999,1.0143379483904158,0.0,0.225
02/09/1999,1.0214811733790807,0.0,0.225
02/10/1999,1.0250531276622852,0.0,0.225
02/11/1999,1.0143377603995927,0.0,0.225
02/12/1999,1.0107667289727122,0.0,0.225
02/16/1999,1.0000516035977534,0.0,0.225
02/17/1999,0.9786221629648066,0.0,0.225
02/18/1999,0.9643354944716719,0.0,0.225
02/19/1999,0.9464774297592335,0.0,0.225
02/22/1999,0.9429060022803348,0.0,0.225
02/23/1999,0.9250479811475477,0.0,0.225
02/24/1999,0.9393342038742583,0.0,0.225
02/25/1999,0.9464773547279743,0.0,0.225
02/26/1999,0.9143328666687011,0.0,0.225
03/01/1999,0.9214760661125184,0.0,0.225
03/02/1999,0.9179043769836426,0.0,0.225
03/03/1999,0.9179044794291257,0.0,0.225
03/04/1999,0.9286190867424011,0.0,0.225
03/05/1999,0.9321912088011967,0.0,0.225
03/08/1999,0.9357627749903322,0.0,0.225
03/09/1999,0.9357625675384112,0.0,0.225
03/10/1999,0.9393342038742583,0.0,0.225
03/11/1999,0.9571919817190904,0.0,0.225
03/12/1999,0.9321906986144872,0.0,0.225
03/15/1999,0.9179044794291257,0.0,0.225
03/16/1999,0.9143326922160823,0.0,0.225
03/17/1999,0.87504500316249,0.0,0.225
03/18/1999,0.9000463314740306,0.0,0.225
03/19/1999,0.9000462889671326,0.0,0.225
03/22/1999,0.9071894680581442,0.0,0.225
03/23/1999,0.8857597851556195,0.0,0.225
03/24/1999,0.8607585541312657,0.0,0.225
03/25/1999,0.9071894288063049,0.0,0.225
03/26/1999,0.9071898025624893,0.0,0.225
03/29/1999,0.9143331298828125,0.0,0.225
03/30/1999,0.9000465821835303,0.0,0.225
03/31/1999,0.8821881453352651,0.0,0.225
04/01/1999,0.9000466747283935,0.0,0.225
04/05/1999,0.9000462049574365,0.0,0.225
04/06/1999,0.9071898025624893,0.0,0.225
04/07/1999,0.9071894680581442,0.0,0.225
04/08/1999,0.8786166564362948,0.0,0.225
04/09/1999,0.8714737644195556,0.0,0.225
04/12/1999,0.8929030197422678,0.0,0.225
04/13/1999,0.8857599395190099,0.0,0.225
04/14/1999,0.9286195706965319,0.0,0.225
04/15/1999,0.9571919902397769,0.0,0.225
04/16/1999,0.9857649505138398,0.0,0.225
04/19/1999,1.035768026155783,0.0,0.225
04/20/1999,1.0143377649373022,0.0,0.225
04/21/1999,1.05005388342101,0.0,0.225
04/22/1999,1.0429110409508289,0.0,0.225
04/23/1999,1.0214809886340437,0.0,0.225
04/26/1999,1.0286243639494244,0.0,0.225
04/27/1999,1.0000516831035346,0.0,0.225
04/28/1999,1.0187355830119207,0.1125,0.3375
04/29/1999,1.0553805301063939,0.0,0.3375
04/30/1999,1.0443871984115014,0.0,0.3375
05/03/1999,1.0517162313828103,0.0,0.3375
05/04/1999,1.0480517148971558,0.0,0.3375
05/05/1999,1.0480514986473217,0.0,0.3375
05/06/1999,1.0517160143768578,0.0,0.3375
05/07/1999,1.0407226592406165,0.0,0.3375
05/10/1999,1.0443871756463932,0.0,0.3375
05/11/1999,1.0627097576752773,0.0,0.3375
05/12/1999,1.044387108293073,0.0,0.3375
05/13/1999,1.0700387673245537,0.0,0.3375
05/14/1999,1.0590452412695004,0.0,0.3375
05/17/1999,1.0517162084579468,0.0,0.3375
05/18/1999,1.0517161856922839,0.0,0.3375
05/19/1999,1.040722681925847,0.0,0.3375
05/20/1999,1.040722681925847,0.0,0.3375
05/21/1999,1.0517161572483222,0.0,0.3375
05/24/1999,1.0407224587031771,0.0,0.3375
05/25/1999,1.0333937406539917,0.0,0.3375
05/26/1999,1.037058092338938,0.0,0.3375
05/27/1999,1.040722681925847,0.0,0.3375
05/28/1999,1.04805169205217,0.0,0.3375
06/01/1999,1.0517158175525734,0.0,0.3375
06/02/1999,1.0297289199996413,0.0,0.3375
06/03/1999,1.044387153039376,0.0,0.3375
06/04/1999,1.0553807020187378,0.0,0.3375
06/07/1999,1.0553807248637237,0.0,0.3375
06/08/1999,1.0627097346716456,0.0,0.3375
06/09/1999,1.0517162313828103,0.0,0.3375
06/10/1999,1.0407222724213618,0.0,0.3375
06/11/1999,1.037057943003518,0.0,0.3375
06/14/1999,1.0407222257043323,0.0,0.3375
06/15/1999,1.00407734491207,0.0,0.3375
06/16/1999,0.996748047153445,0.0,0.3375
06/17/1999,1.0114061520714643,0.0,0.3375
06/18/1999,1.0407224671882496,0.0,0.3375
06/21/1999,1.0517162084579468,0.0,0.3375
06/22/1999,1.04805166936583,0.0,0.3375
06/23/1999,1.0553807020187378,0.0,0.3375
06/24/1999,1.0553806344258416,0.0,0.3375
06/25/1999,1.0737032213726558,0.0,0.3375
06/28/1999,1.077367901802063,0.0,0.3375
06/29/1999,1.0773677374865558,0.0,0.3375
06/30/1999,1.0773677374865558,0.0,0.3375
07/01/1999,1.0810323397041615,0.0,0.3375
07/02/1999,1.0553808473560908,0.0,0.3375
07/06/1999,1.0700388684564706,0.0,0.3375
07/07/1999,1.0700387778698197,0.0,0.3375
07/08/1999,1.0956902867787843,0.0,0.3375
07/09/1999,1.1433294533164637,0.0,0.3375
07/12/1999,1.150657850797059,0.0,0.3375
07/13/1999,1.1360004914352317,0.0,0.3375
