ERTH,Invesco MSCI Sustainable Future,
Date,Price,Dividend,Annualized Dividend
10/24/2006,19.77583234972361,0.0,0.0
10/25/2006,19.919540405273438,0.0,0.0
10/26/2006,20.103170046079125,0.0,0.0
10/27/2006,20.079214175727486,0.0,0.0
10/30/2006,19.959465796237772,0.0,0.0
10/31/2006,20.055266161672336,0.0,0.0
11/01/2006,20.119137142664005,0.0,0.0
11/02/2006,19.360673512917465,0.0,0.0
11/03/2006,19.464463147602352,0.0,0.0
11/06/2006,19.54430223373733,0.0,0.0
11/07/2006,19.879618551441197,0.0,0.0
11/08/2006,19.711960884361243,0.0,0.0
11/09/2006,19.991397553162905,0.0,0.0
11/10/2006,19.743895108572584,0.0,0.0
11/13/2006,19.85567151752618,0.0,0.0
11/14/2006,19.983411886143603,0.0,0.0
11/15/2006,20.334698348837694,0.0,0.0
11/16/2006,20.57421526515583,0.0,0.0
11/17/2006,20.238889635696914,0.0,0.0
11/20/2006,20.206957990096022,0.0,0.0
11/21/2006,20.262842178344727,0.0,0.0
11/22/2006,20.374619077256064,0.0,0.0
11/24/2006,20.294776781672148,0.0,0.0
11/27/2006,20.33469968856499,0.0,0.0
11/28/2006,19.927525305177365,0.0,0.0
11/29/2006,20.230904872689077,0.0,0.0
11/30/2006,20.43848673573698,0.0,0.0
12/01/2006,20.438490825387273,0.0,0.0
12/04/2006,20.398571834531086,0.0,0.0
12/05/2006,20.662028731219728,0.0,0.0
12/06/2006,20.73388749578646,0.0,0.0
12/07/2006,20.837679985305513,0.0,0.0
12/08/2006,20.51832887713098,0.0,0.0
12/11/2006,20.566225780481606,0.0,0.0
12/12/2006,20.486391576627923,0.0,0.0
12/13/2006,20.41453872652861,0.0,0.0
12/14/2006,20.4544561786561,0.0,0.0
12/15/2006,20.566228628429183,0.0,0.0
12/18/2006,20.518326020643773,0.0,0.0
12/19/2006,19.911560128624988,0.0,0.0
12/20/2006,20.278812214260867,0.0,0.0
12/21/2006,20.326713072611604,0.0,0.0
12/22/2006,20.047281804285973,0.0,0.0
12/26/2006,19.959459356933674,0.0,0.0
12/27/2006,20.238896191394794,0.0,0.0
12/28/2006,20.278813344167588,0.0,0.0
12/29/2006,20.151072093797406,0.0,0.0
01/03/2007,20.22292077439549,0.0,0.0
01/04/2007,19.823740051321835,0.0,0.0
01/05/2007,19.847694376449134,0.0,0.0
01/08/2007,19.560277565742467,0.0,0.0
01/09/2007,19.54430638101246,0.0,0.0
01/10/2007,19.45648937898926,0.0,0.0
01/11/2007,19.584222066116396,0.0,0.0
01/12/2007,19.79977734498738,0.0,0.0
01/16/2007,20.087201603683727,0.0,0.0
01/17/2007,19.823738871462652,0.0,0.0
01/18/2007,19.76785056012694,0.0,0.0
01/19/2007,19.40857895984646,0.0,0.0
01/22/2007,19.59220671677709,0.0,0.0
01/23/2007,19.648088989340486,0.0,0.0
01/24/2007,19.879624190751887,0.0,0.0
01/25/2007,19.919546253527155,0.0,0.0
01/26/2007,19.648095219402293,0.0,0.0
01/29/2007,20.079219875086327,0.0,0.0
01/30/2007,20.302764003038938,0.0,0.0
01/31/2007,20.262844167307954,0.0,0.0
02/01/2007,20.693974294875517,0.0,0.0
02/02/2007,20.646063046702544,0.0,0.0
02/05/2007,20.69396918298329,0.0,0.0
02/06/2007,20.941465725805987,0.0,0.0
02/07/2007,20.917512173231607,0.0,0.0
02/08/2007,20.845664424411407,0.0,0.0
02/09/2007,20.949444200481175,0.0,0.0
02/12/2007,20.670016411564596,0.0,0.0
02/13/2007,20.68598727907138,0.0,0.0
02/14/2007,20.813721940248822,0.0,0.0
02/15/2007,20.97340509058285,0.0,0.0
02/16/2007,20.97339978047125,0.0,0.0
02/20/2007,21.085179181082182,0.0,0.0
02/21/2007,21.388558650392085,0.0,0.0
02/22/2007,21.731856768707196,0.0,0.0
02/23/2007,21.947422610885432,0.0,0.0
02/26/2007,22.09112792775222,0.0,0.0
02/27/2007,21.452431878028005,0.0,0.0
02/28/2007,20.82969362146924,0.0,0.0
03/01/2007,20.558246838017272,0.0,0.0
03/02/2007,20.685990262186937,0.0,0.0
03/05/2007,19.879618551441197,0.0,0.0
03/06/2007,20.135107087494543,0.0,0.0
03/07/2007,20.36663226655233,0.0,0.0
03/08/2007,20.65405000078702,0.0,0.0
03/09/2007,20.670017198830145,0.0,0.0
03/12/2007,20.64606632297673,0.0,0.0
03/13/2007,20.717920672540135,0.0,0.0
03/14/2007,20.27881276064561,0.0,0.0
03/15/2007,20.398563573388973,0.0,0.0
03/16/2007,20.49437632834612,0.0,0.0
03/19/2007,20.526310318939192,0.0,0.0
03/20/2007,20.502360941025703,0.0,0.0
03/21/2007,20.749857015345093,0.0,0.0
