F,Ford Motor Company,
Date,Price,Annualized Dividend
06/01/1972,0.27,0.0
06/02/1972,0.27,0.0
06/05/1972,0.27,0.0
06/06/1972,0.27,0.0
06/07/1972,0.27,0.0
06/08/1972,0.26,0.0
06/09/1972,0.26,0.0
06/12/1972,0.26,0.0
06/13/1972,0.26,0.0
06/14/1972,0.26,0.0
06/15/1972,0.27,0.0
06/16/1972,0.27,0.0
06/19/1972,0.27,0.0
06/20/1972,0.27,0.0
06/21/1972,0.27,0.0
06/22/1972,0.26,0.0
06/23/1972,0.26,0.0
06/26/1972,0.26,0.0
06/27/1972,0.26,0.0
06/28/1972,0.26,0.0
06/29/1972,0.26,0.0
06/30/1972,0.26,0.0
07/03/1972,0.26,0.0
07/05/1972,0.26,0.0
07/06/1972,0.26,0.0
07/07/1972,0.26,0.0
07/10/1972,0.26,0.0
07/11/1972,0.26,0.0
07/12/1972,0.25,0.0
07/13/1972,0.25,0.0
07/14/1972,0.25,0.0
07/17/1972,0.25,0.0
07/18/1972,0.25,0.0
07/19/1972,0.25,0.0
07/20/1972,0.26,0.0
07/21/1972,0.25,0.0
07/24/1972,0.26,0.0
07/25/1972,0.27,0.0219
07/26/1972,0.26,0.0219
07/27/1972,0.26,0.0219
07/28/1972,0.26,0.0219
07/31/1972,0.27,0.0219
08/01/1972,0.27,0.0219
08/02/1972,0.27,0.0219
08/03/1972,0.27,0.0219
08/04/1972,0.27,0.0219
08/07/1972,0.27,0.0219
08/08/1972,0.28,0.0219
08/09/1972,0.27,0.0219
08/10/1972,0.27,0.0219
08/11/1972,0.27,0.0219
08/14/1972,0.27,0.0219
08/15/1972,0.27,0.0219
08/16/1972,0.27,0.0219
08/17/1972,0.26,0.0219
08/18/1972,0.27,0.0219
08/21/1972,0.27,0.0219
08/22/1972,0.27,0.0219
08/23/1972,0.28,0.0219
08/24/1972,0.29,0.0219
08/25/1972,0.28,0.0219
08/28/1972,0.28,0.0219
08/29/1972,0.28,0.0219
08/30/1972,0.27,0.0219
08/31/1972,0.27,0.0219
09/01/1972,0.28,0.0219
09/05/1972,0.28,0.0219
09/06/1972,0.27,0.0219
09/07/1972,0.27,0.0219
09/08/1972,0.27,0.0219
09/11/1972,0.27,0.0219
09/12/1972,0.27,0.0219
09/13/1972,0.27,0.0219
09/14/1972,0.27,0.0219
09/15/1972,0.27,0.0219
09/18/1972,0.27,0.0219
09/19/1972,0.27,0.0219
09/20/1972,0.27,0.0219
09/21/1972,0.26,0.0219
09/22/1972,0.26,0.0219
09/25/1972,0.26,0.0219
09/26/1972,0.26,0.0219
09/27/1972,0.26,0.0219
09/28/1972,0.27,0.0219
09/29/1972,0.27,0.0219
10/02/1972,0.27,0.0219
10/03/1972,0.27,0.0219
10/04/1972,0.27,0.0219
10/05/1972,0.27,0.0219
10/06/1972,0.27,0.0219
10/09/1972,0.27,0.0219
10/10/1972,0.27,0.0219
10/11/1972,0.27,0.0219
10/12/1972,0.27,0.0219
10/13/1972,0.27,0.0219
10/16/1972,0.26,0.0219
10/17/1972,0.26,0.0219
10/18/1972,0.26,0.0219
10/19/1972,0.26,0.0219
10/20/1972,0.26,0.0219
10/23/1972,0.27,0.0219
10/24/1972,0.27,0.0219
10/25/1972,0.27,0.0438
10/26/1972,0.27,0.0438
10/27/1972,0.27,0.0438
