FAN,First Trust Global Wind Energy ,
Date,Price,Dividend,Annualized Dividend
06/27/2008,22.496887556355748,0.0,0.0
06/30/2008,22.22188379363724,0.0,0.0
07/01/2008,21.96215503057358,0.0,0.0
07/02/2008,21.992705780187006,0.0,0.0
07/03/2008,21.694782223091778,0.0,0.0
07/07/2008,21.824652945056535,0.0,0.0
07/08/2008,21.69478937844303,0.0,0.0
07/09/2008,21.46561935434901,0.0,0.0
07/10/2008,21.228814090104215,0.0,0.0
07/11/2008,21.236451921940503,0.0,0.0
07/14/2008,21.381595723006427,0.0,0.0
07/15/2008,20.66352221264843,0.0,0.0
07/16/2008,20.518382246699183,0.0,0.0
07/17/2008,21.28228213401634,0.0,0.0
07/18/2008,21.12186695977409,0.0,0.0
07/21/2008,21.228817158236016,0.0,0.0
07/22/2008,21.633679488499016,0.0,0.0
07/23/2008,21.687144532194303,0.0,0.0
07/24/2008,21.312837201788195,0.0,0.0
07/25/2008,20.854500704126767,0.0,0.0
07/28/2008,20.99200091104189,0.0,0.0
07/29/2008,21.08366845058467,0.0,0.0
07/30/2008,21.2669977373632,0.0,0.0
07/31/2008,21.389225610253334,0.0,0.0
08/01/2008,21.098945858367163,0.0,0.0
08/04/2008,22.153133445471788,0.0,0.0
08/05/2008,20.74755636122172,0.0,0.0
08/06/2008,20.350326838623225,0.0,0.0
08/07/2008,20.480192390431288,0.0,0.0
08/08/2008,20.174628558209196,0.0,0.0
08/11/2008,20.151701834248144,0.0,0.0
08/12/2008,19.762119540027054,0.0,0.0
08/13/2008,19.479474941720753,0.0,0.0
08/14/2008,19.097529702744943,0.0,0.0
08/15/2008,19.288494110107422,0.0,0.0
08/18/2008,19.32669435584947,0.0,0.0
08/19/2008,19.265586773141155,0.0,0.0
08/20/2008,19.097518920898438,0.0,0.0
08/21/2008,19.4030840161369,0.0,0.0
08/22/2008,19.853787295174243,0.0,0.0
08/25/2008,19.571142748644426,0.0,0.0
08/26/2008,19.372527511948828,0.0,0.0
08/27/2008,19.586415785099923,0.0,0.0
08/28/2008,19.746836485967087,0.0,0.0
08/29/2008,20.082961239703696,0.0,0.0
09/02/2008,19.685729279501118,0.0,0.0
09/03/2008,19.31142289384133,0.0,0.0
09/04/2008,18.9218280021405,0.0,0.0
09/05/2008,18.295425831009855,0.0,0.0
09/08/2008,18.44056792042321,0.0,0.0
09/09/2008,17.98222855115414,0.0,0.0
09/10/2008,16.996796284129548,0.0,0.0
09/11/2008,16.675960865440192,0.0,0.0
09/12/2008,16.805825094407282,0.0,0.0
09/15/2008,16.561373623413754,0.0,0.0
09/16/2008,15.812750419336492,0.0,0.0
09/17/2008,15.889139939238934,0.0,0.0
09/18/2008,15.835666307731179,0.0,0.0
09/19/2008,17.72251195453434,0.0,0.0
09/22/2008,18.410012453759272,0.0,0.0
09/23/2008,16.805821468633592,0.0,0.0
09/24/2008,16.51553979450439,0.0,0.0
09/25/2008,16.68359749396195,0.0,0.0
09/26/2008,16.04192456131655,0.0,0.0
09/29/2008,15.713444832978503,0.0,0.0
09/30/2008,14.514119276359079,0.0,0.0
10/01/2008,14.865512204368125,0.0,0.0
10/02/2008,14.277310845761845,0.0,0.0
10/03/2008,13.551605900363631,0.0,0.0
10/06/2008,12.787702888446358,0.0,0.0
10/07/2008,11.534905658097488,0.0,0.0
10/08/2008,10.121690348574989,0.0,0.0
10/09/2008,11.0536509624752,0.0,0.0
10/10/2008,9.548762373764802,0.0,0.0
10/13/2008,10.47308180479055,0.0,0.0
10/14/2008,12.604370567264283,0.0,0.0
10/15/2008,11.618936757209276,0.0,0.0
10/16/2008,10.6946131580035,0.0,0.0
10/17/2008,10.602946502038249,0.0,0.0
10/20/2008,10.740447432136351,0.0,0.0
10/21/2008,10.847390317125534,0.0,0.0
10/22/2008,10.121684890913576,0.0,0.0
10/23/2008,9.13625605636219,0.0,0.0
10/24/2008,8.318882463184016,0.0,0.0
10/27/2008,8.55569375493182,0.0,0.0
10/28/2008,7.975127418984644,0.0,0.0
10/29/2008,8.632080192017044,0.0,0.0
10/30/2008,9.151534779651636,0.0,0.0
10/31/2008,9.907802014459115,0.0,0.0
11/03/2008,9.5029287281246,0.0,0.0
11/04/2008,10.526557611633029,0.0,0.0
