FSLEX,Fidelity Select Environmental a,
Date,Price,Dividend,Annualized Dividend
06/29/1989,8.963109016418457,0.0,0.0
06/30/1989,8.84659194946289,0.0,0.0
07/03/1989,8.855557441711426,0.0,0.0
07/05/1989,8.891407012939453,0.0,0.0
07/06/1989,8.95414924621582,0.0,0.0
07/07/1989,9.043780326843262,0.0,0.0
07/10/1989,9.124448776245117,0.0,0.0
07/11/1989,9.187188148498535,0.0,0.0
07/12/1989,9.20511531829834,0.0,0.0
07/13/1989,9.24096965789795,0.0,0.0
07/14/1989,9.303709983825684,0.0,0.0
07/17/1989,9.3574857711792,0.0,0.0
07/18/1989,9.402302742004395,0.0,0.0
07/19/1989,9.581564903259277,0.0,0.0
07/20/1989,9.608455657958984,0.0,0.0
07/21/1989,9.635345458984375,0.0,0.0
07/24/1989,9.617416381835938,0.0,0.0
07/25/1989,9.662232398986816,0.0,0.0
07/26/1989,9.653270721435547,0.0,0.0
07/27/1989,9.68016242980957,0.0,0.0
07/31/1989,9.689126014709473,0.0,0.0
08/03/1989,9.626378059387207,0.0,0.0
08/04/1989,9.59052848815918,0.0,0.0
08/14/1989,9.563641548156738,0.0,0.0
08/15/1989,9.572603225708008,0.0,0.0
08/17/1989,9.644309997558594,0.0,0.0
08/23/1989,9.671197891235352,0.0,0.0
08/24/1989,9.814607620239258,0.0,0.0
08/28/1989,9.787715911865234,0.0,0.0
08/29/1989,9.79668140411377,0.0,0.0
08/30/1989,9.823568344116211,0.0,0.0
09/01/1989,9.904239654541016,0.0,0.0
09/05/1989,9.89527416229248,0.0,0.0
09/06/1989,9.832533836364746,0.0,0.0
09/07/1989,9.841496467590332,0.0,0.0
09/11/1989,9.80564308166504,0.0,0.0
09/19/1989,9.868385314941406,0.0,0.0
09/21/1989,9.949053764343262,0.0,0.0
09/22/1989,9.975943565368652,0.0,0.0
09/26/1989,10.038683891296388,0.0,0.0
09/27/1989,10.137276649475098,0.0,0.0
09/28/1989,10.36135482788086,0.0,0.0
09/29/1989,10.343430519104004,0.0,0.0
10/02/1989,10.37928295135498,0.0,0.0
10/03/1989,10.406170845031738,0.0,0.0
10/04/1989,10.42409610748291,0.0,0.0
10/05/1989,10.468914985656738,0.0,0.0
10/06/1989,10.540617942810059,0.0,0.0
10/09/1989,10.52269172668457,0.0,0.0
10/10/1989,10.49580383300781,0.0,0.0
10/16/1989,10.128315925598145,0.0,0.0
10/18/1989,10.217944145202637,0.0,0.0
10/20/1989,10.450987815856934,0.0,0.0
10/24/1989,10.271727561950684,0.0,0.0
10/25/1989,10.298615455627441,0.0,0.0
10/27/1989,9.984904289245605,0.0,0.0
10/30/1989,9.99386978149414,0.0,0.0
10/31/1989,10.119351387023926,0.0,0.0
11/01/1989,10.164168357849121,0.0,0.0
11/02/1989,10.110390663146973,0.0,0.0
11/03/1989,10.065573692321777,0.0,0.0
11/06/1989,9.966980934143066,0.0,0.0
11/08/1989,10.074536323547363,0.0,0.0
11/13/1989,10.101424217224121,0.0,0.0
11/15/1989,10.28068733215332,0.0,0.0
11/16/1989,10.25379753112793,0.0,0.0
11/17/1989,10.289650917053223,0.0,0.0
11/20/1989,10.17313003540039,0.0,0.0
11/24/1989,10.155202865600586,0.0,0.0
11/27/1989,10.191058158874512,0.0,0.0
11/29/1989,10.146241188049316,0.0,0.0
12/01/1989,10.200021743774414,0.0,0.0
12/06/1989,10.262762069702147,0.0,0.0
12/07/1989,10.235873222351074,0.0,0.0
12/12/1989,10.24483585357666,0.0,0.0
12/13/1989,10.31653881072998,0.0,0.0
12/18/1989,10.128211975097656,0.01,0.01
12/19/1989,10.083357810974121,0.0,0.01
12/20/1989,10.092329978942871,0.0,0.01
12/21/1989,10.119243621826172,0.0,0.01
12/22/1989,10.17306900024414,0.0,0.01
12/26/1989,10.191010475158693,0.0,0.01
