GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
03/31/2006,11.769537925720215,0.0,0.0
04/03/2006,11.731874465942381,0.0,0.0
04/05/2006,11.826031684875488,0.0,0.0
04/06/2006,11.741291046142578,0.0,0.0
04/07/2006,11.80720043182373,0.0,0.0
04/10/2006,11.760122299194336,0.0,0.0
04/11/2006,11.797784805297852,0.0,0.0
04/12/2006,11.835447311401367,0.0,0.0
04/13/2006,11.957850456237795,0.0,0.0
04/17/2006,12.089669227600096,0.0,0.0
04/18/2006,12.334476470947266,0.0,0.0
04/19/2006,12.65460777282715,0.0,0.0
04/20/2006,12.682854652404785,0.0,0.0
04/24/2006,12.852334976196287,0.0,0.0
04/25/2006,12.805257797241213,0.0,0.0
04/26/2006,12.880582809448242,0.0,0.0
04/27/2006,12.664022445678711,0.0,0.0
04/28/2006,12.692269325256346,0.0,0.0
05/01/2006,12.739346504211424,0.0,0.0
05/02/2006,12.871167182922363,0.0,0.0
05/04/2006,12.955907821655273,0.0,0.0
05/05/2006,13.09714126586914,0.0,0.0
05/08/2006,13.059478759765625,0.0,0.0
05/09/2006,13.031230926513674,0.0,0.0
05/10/2006,13.050063133239746,0.0,0.0
05/11/2006,12.965323448181154,0.0,0.0
05/12/2006,12.748763084411623,0.0,0.0
05/15/2006,12.136746406555174,0.0,0.0
05/16/2006,12.080253601074219,0.0,0.0
05/18/2006,11.637719154357908,0.0,0.0
05/19/2006,11.49648380279541,0.0,0.0
05/22/2006,10.922130584716797,0.0,0.0
05/23/2006,11.2328462600708,0.0,0.0
05/24/2006,11.035118103027346,0.0,0.0
05/25/2006,11.392912864685059,0.0,0.0
05/30/2006,11.581224441528322,0.0,0.0
05/31/2006,11.647134780883789,0.0,0.0
06/02/2006,11.750706672668457,0.0,0.0
06/05/2006,11.571808815002441,0.0,0.0
06/06/2006,11.336418151855469,0.0,0.0
06/07/2006,11.308171272277832,0.0,0.0
06/08/2006,10.89388370513916,0.0,0.0
06/09/2006,10.931546211242676,0.0,0.0
06/12/2006,10.68674087524414,0.0,0.0
06/13/2006,10.244205474853516,0.0,0.0
06/14/2006,10.253622055053713,0.0,0.0
06/15/2006,10.564338684082031,0.0,0.0
06/16/2006,10.507843017578127,0.0,0.0
06/19/2006,10.404271125793457,0.0,0.0
06/20/2006,10.36660861968994,0.0,0.0
06/22/2006,10.49842643737793,0.0,0.0
06/23/2006,10.517259597778319,0.0,0.0
06/26/2006,10.432518005371094,0.0,0.0
06/27/2006,10.328946113586424,0.0,0.0
06/28/2006,10.234789848327637,0.0,0.0
06/29/2006,10.272453308105469,0.0,0.0
07/03/2006,10.63966178894043,0.0,0.0
07/06/2006,10.649078369140625,0.0,0.0
07/10/2006,10.573751449584961,0.0,0.0
07/11/2006,10.460763931274414,0.0,0.0
07/12/2006,10.394855499267578,0.0,0.0
07/13/2006,10.159464836120605,0.0,0.0
07/14/2006,10.131217956542969,0.0,0.0
07/17/2006,9.961737632751465,0.0,0.0
07/18/2006,9.933490753173828,0.0,0.0
07/20/2006,10.093555450439453,0.0,0.0
07/21/2006,10.018229484558105,0.0,0.0
07/24/2006,10.187710762023926,0.0,0.0
07/25/2006,10.263035774230957,0.0,0.0
07/26/2006,10.291284561157227,0.0,0.0
07/27/2006,10.310113906860352,0.0,0.0
08/01/2006,10.479596138000488,0.0,0.0
08/02/2006,10.658493041992186,0.0,0.0
08/03/2006,10.72440242767334,0.0,0.0
08/04/2006,10.714987754821776,0.0,0.0
08/07/2006,10.667909622192383,0.0,0.0
08/08/2006,10.611414909362793,0.0,0.0
08/09/2006,10.54550552368164,0.0,0.0
08/16/2006,10.583168983459473,0.0,0.0
08/28/2006,10.470182418823242,0.0,0.0
08/30/2006,10.536088943481445,0.0,0.0
08/31/2006,10.554922103881836,0.0,0.0
09/01/2006,10.592584609985352,0.0,0.0
09/08/2006,10.20654296875,0.0,0.0
09/11/2006,10.0653076171875,0.0,0.0
09/13/2006,10.140633583068848,0.0,0.0
09/14/2006,10.1688814163208,0.0,0.0
09/15/2006,10.074724197387695,0.0,0.0
09/20/2006,9.78283977508545,0.0,0.0
09/21/2006,9.688684463500978,0.0,0.0
09/22/2006,9.632187843322754,0.0,0.0
09/25/2006,9.556864738464355,0.0,0.0
09/26/2006,9.651021957397461,0.0,0.0
09/27/2006,9.679266929626465,0.0,0.0
09/28/2006,9.660436630249023,0.0,0.0
09/29/2006,9.745176315307617,0.0,0.0
10/05/2006,9.773424148559572,0.0,0.0
10/09/2006,9.754592895507812,0.0,0.0
10/10/2006,9.71692943572998,0.0,0.0
10/12/2006,9.839332580566406,0.0,0.0
10/13/2006,9.820502281188965,0.0,0.0
10/16/2006,9.95232105255127,0.0,0.0
10/18/2006,9.895827293395996,0.0,0.0
10/19/2006,9.942905426025389,0.0,0.0
10/23/2006,9.989983558654785,0.0,0.0
10/24/2006,10.084141731262207,0.0,0.0
10/25/2006,10.17829704284668,0.0,0.0
10/27/2006,10.225373268127443,0.0,0.0
11/01/2006,10.12180233001709,0.0,0.0
11/02/2006,10.055893898010254,0.0,0.0
11/14/2006,10.300699234008789,0.0,0.0
11/15/2006,10.281867980957031,0.0,0.0
11/16/2006,10.338360786437988,0.0,0.0
11/27/2006,10.423102378845215,0.0,0.0
11/28/2006,10.385440826416016,0.0,0.0
11/29/2006,10.601999282836914,0.0,0.0
12/07/2006,10.790311813354492,0.0,0.0
12/08/2006,10.762066841125488,0.0,0.0
12/11/2006,10.78089714050293,0.0,0.0
12/12/2006,10.752649307250977,0.0,0.0
12/13/2006,10.733818054199219,0.0,0.0
12/19/2006,10.677325248718262,0.0,0.0
12/20/2006,10.743232727050781,0.0,0.0
12/27/2006,10.799727439880371,0.0,0.0
12/28/2006,10.837389945983887,0.0,0.0
01/03/2007,10.95979404449463,0.0,0.0
01/04/2007,10.865637779235842,0.0,0.0
01/09/2007,10.818559646606445,0.0,0.0
01/11/2007,10.827974319458008,0.0,0.0
01/12/2007,10.912715911865236,0.0,0.0
