GPRE,"Green Plains, Inc.",
Date,Price,Annualized Dividend
03/15/2006,51.8,0.0
03/15/2006,28.94,0.0
03/16/2006,29.37,0.0
03/16/2006,25.48,0.0
03/17/2006,27.64,0.0
03/17/2006,23.75,0.0
03/20/2006,22.46,0.0
03/20/2006,19.94,0.0
03/21/2006,20.13,0.0
03/21/2006,20.6,0.0
03/22/2006,20.73,0.0
03/22/2006,22.46,0.0
03/23/2006,23.71,0.0
03/23/2006,24.18,0.0
03/24/2006,24.03,0.0
03/24/2006,24.62,0.0
03/27/2006,24.62,0.0
03/27/2006,27.64,0.0
03/28/2006,27.64,0.0
03/28/2006,26.78,0.0
03/29/2006,27.33,0.0
03/29/2006,28.85,0.0
03/30/2006,29.02,0.0
03/30/2006,28.93,0.0
03/31/2006,29.37,0.0
03/31/2006,29.18,0.0
04/03/2006,29.15,0.0
04/03/2006,29.58,0.0
04/04/2006,30.21,0.0
04/04/2006,29.8,0.0
04/05/2006,30.1,0.0
04/05/2006,31.53,0.0
04/06/2006,32.49,0.0
04/06/2006,31.97,0.0
04/07/2006,32.56,0.0
04/07/2006,33.21,0.0
04/10/2006,34.12,0.0
04/10/2006,39.33,0.0
04/11/2006,40.36,0.0
04/11/2006,42.35,0.0
04/12/2006,43.19,0.0
04/12/2006,40.34,0.0
04/13/2006,40.34,0.0
04/13/2006,39.78,0.0
04/17/2006,38.89,0.0
04/17/2006,40.41,0.0
04/18/2006,40.42,0.0
04/18/2006,41.08,0.0
04/19/2006,41.08,0.0
04/19/2006,41.55,0.0
04/20/2006,42.11,0.0
04/20/2006,40.6,0.0
04/21/2006,41.25,0.0
04/21/2006,39.88,0.0
04/24/2006,41.03,0.0
04/24/2006,38.35,0.0
04/25/2006,38.0,0.0
04/25/2006,34.41,0.0
04/26/2006,34.54,0.0
04/26/2006,36.58,0.0
04/27/2006,36.58,0.0
04/27/2006,36.12,0.0
04/28/2006,34.59,0.0
04/28/2006,35.85,0.0
05/01/2006,35.41,0.0
05/01/2006,35.85,0.0
05/02/2006,36.28,0.0
05/02/2006,38.87,0.0
05/03/2006,38.87,0.0
05/03/2006,40.32,0.0
05/04/2006,40.6,0.0
05/04/2006,36.36,0.0
05/05/2006,39.82,0.0
05/05/2006,37.67,0.0
05/08/2006,38.87,0.0
05/08/2006,40.6,0.0
05/09/2006,40.94,0.0
05/09/2006,43.45,0.0
05/10/2006,43.19,0.0
05/10/2006,43.62,0.0
05/11/2006,43.64,0.0
05/11/2006,42.97,0.0
05/12/2006,42.76,0.0
05/12/2006,43.18,0.0
05/15/2006,43.01,0.0
05/15/2006,38.26,0.0
05/16/2006,38.62,0.0
05/16/2006,37.62,0.0
05/17/2006,36.71,0.0
05/17/2006,35.41,0.0
05/18/2006,35.4,0.0
05/18/2006,33.26,0.0
05/19/2006,33.26,0.0
05/19/2006,29.71,0.0
05/22/2006,29.71,0.0
05/22/2006,29.26,0.0
05/23/2006,29.82,0.0
05/23/2006,30.71,0.0
05/24/2006,31.86,0.0
05/24/2006,31.96,0.0
05/25/2006,32.05,0.0
05/25/2006,32.49,0.0
05/26/2006,32.81,0.0
05/26/2006,32.22,0.0
05/30/2006,32.13,0.0
05/30/2006,31.16,0.0
05/31/2006,31.09,0.0
05/31/2006,30.23,0.0
06/01/2006,30.23,0.0
06/01/2006,30.53,0.0
06/02/2006,30.66,0.0
06/02/2006,32.33,0.0
06/05/2006,33.43,0.0
06/05/2006,32.81,0.0
06/06/2006,34.41,0.0
06/06/2006,32.82,0.0
06/07/2006,32.82,0.0
06/07/2006,32.44,0.0
06/08/2006,32.02,0.0
06/08/2006,32.09,0.0
06/09/2006,31.69,0.0
06/09/2006,31.53,0.0
06/12/2006,32.39,0.0
06/12/2006,30.8,0.0
06/13/2006,29.15,0.0
06/13/2006,27.21,0.0
06/14/2006,26.85,0.0
06/14/2006,28.05,0.0
06/15/2006,27.64,0.0
06/15/2006,27.36,0.0
06/16/2006,27.21,0.0
06/16/2006,24.74,0.0
06/19/2006,25.04,0.0
06/19/2006,23.32,0.0
06/20/2006,23.09,0.0
06/20/2006,22.9,0.0
06/21/2006,22.89,0.0
06/21/2006,23.84,0.0
06/22/2006,24.18,0.0
06/22/2006,26.34,0.0
06/23/2006,28.5,0.0
06/23/2006,29.29,0.0
06/26/2006,30.21,0.0
06/26/2006,29.8,0.0
06/27/2006,29.5,0.0
06/27/2006,31.53,0.0
06/28/2006,31.95,0.0
06/28/2006,30.23,0.0
06/29/2006,30.23,0.0
06/29/2006,28.49,0.0
06/30/2006,28.16,0.0
06/30/2006,28.94,0.0
07/03/2006,30.1,0.0
07/03/2006,29.62,0.0
07/05/2006,29.8,0.0
07/05/2006,28.5,0.0
07/06/2006,29.8,0.0
07/06/2006,28.26,0.0
07/07/2006,27.47,0.0
07/07/2006,28.24,0.0
07/10/2006,27.64,0.0
07/10/2006,28.85,0.0
07/11/2006,28.72,0.0
07/11/2006,29.58,0.0
07/12/2006,27.81,0.0
07/12/2006,28.21,0.0
