IBM,International Business Machines,
Date,Price,Annualized Dividend
01/02/1962,0.63,0.0
01/02/1962,0.62,0.0
01/03/1962,0.62,0.0
01/03/1962,0.63,0.0
01/04/1962,0.63,0.0
01/04/1962,0.62,0.0
01/05/1962,0.62,0.0
01/05/1962,0.61,0.0
01/08/1962,0.61,0.0
01/08/1962,0.6,0.0
01/09/1962,0.6,0.0
01/09/1962,0.61,0.0
01/10/1962,0.61,0.0
01/10/1962,0.61,0.0
01/11/1962,0.61,0.0
01/11/1962,0.61,0.0
01/12/1962,0.62,0.0
01/12/1962,0.62,0.0
01/15/1962,0.62,0.0
01/15/1962,0.62,0.0
01/16/1962,0.62,0.0
01/16/1962,0.61,0.0
01/17/1962,0.61,0.0
01/17/1962,0.6,0.0
01/18/1962,0.6,0.0
01/18/1962,0.6,0.0
01/19/1962,0.6,0.0
01/19/1962,0.6,0.0
01/22/1962,0.6,0.0
01/22/1962,0.6,0.0
01/23/1962,0.6,0.0
01/23/1962,0.6,0.0
01/24/1962,0.6,0.0
01/24/1962,0.6,0.0
01/25/1962,0.6,0.0
01/25/1962,0.59,0.0
01/26/1962,0.59,0.0
01/26/1962,0.59,0.0
01/29/1962,0.59,0.0
01/29/1962,0.58,0.0
01/30/1962,0.58,0.0
01/30/1962,0.57,0.0
01/31/1962,0.58,0.0
01/31/1962,0.59,0.0
02/01/1962,0.6,0.0
02/01/1962,0.61,0.0
02/02/1962,0.61,0.0
02/02/1962,0.61,0.0
02/05/1962,0.61,0.0
02/05/1962,0.6,0.0
02/06/1962,0.6,0.001
02/06/1962,0.6,0.001
02/07/1962,0.6,0.001
02/07/1962,0.6,0.001
02/08/1962,0.6,0.001
02/08/1962,0.6,0.001
02/09/1962,0.6,0.001
02/09/1962,0.61,0.001
02/12/1962,0.61,0.001
02/12/1962,0.61,0.001
02/13/1962,0.61,0.001
02/13/1962,0.6,0.001
02/14/1962,0.6,0.001
02/14/1962,0.6,0.001
02/15/1962,0.6,0.001
02/15/1962,0.6,0.001
02/16/1962,0.6,0.001
02/16/1962,0.59,0.001
02/19/1962,0.59,0.001
02/19/1962,0.59,0.001
02/20/1962,0.59,0.001
02/20/1962,0.59,0.001
02/21/1962,0.59,0.001
02/21/1962,0.58,0.001
02/23/1962,0.59,0.001
02/23/1962,0.59,0.001
02/26/1962,0.59,0.001
02/26/1962,0.58,0.001
02/27/1962,0.58,0.001
02/27/1962,0.59,0.001
02/28/1962,0.59,0.001
02/28/1962,0.59,0.001
03/01/1962,0.59,0.001
03/01/1962,0.59,0.001
03/02/1962,0.6,0.001
03/02/1962,0.6,0.001
03/05/1962,0.6,0.001
03/05/1962,0.6,0.001
03/06/1962,0.6,0.001
03/06/1962,0.6,0.001
03/07/1962,0.6,0.001
03/07/1962,0.6,0.001
03/08/1962,0.6,0.001
03/08/1962,0.6,0.001
03/09/1962,0.6,0.001
03/09/1962,0.6,0.001
03/12/1962,0.6,0.001
03/12/1962,0.6,0.001
03/13/1962,0.6,0.001
03/13/1962,0.6,0.001
03/14/1962,0.6,0.001
03/14/1962,0.6,0.001
03/15/1962,0.6,0.001
03/15/1962,0.6,0.001
03/16/1962,0.6,0.001
03/16/1962,0.6,0.001
03/19/1962,0.6,0.001
03/19/1962,0.61,0.001
03/20/1962,0.6,0.001
03/20/1962,0.6,0.001
03/21/1962,0.6,0.001
03/21/1962,0.6,0.001
03/22/1962,0.6,0.001
03/22/1962,0.6,0.001
03/23/1962,0.6,0.001
03/23/1962,0.6,0.001
03/26/1962,0.6,0.001
03/26/1962,0.6,0.001
03/27/1962,0.6,0.001
03/27/1962,0.59,0.001
03/28/1962,0.59,0.001
03/28/1962,0.59,0.001
03/29/1962,0.59,0.001
03/29/1962,0.59,0.001
03/30/1962,0.59,0.001
03/30/1962,0.58,0.001
04/02/1962,0.58,0.001
04/02/1962,0.57,0.001
04/03/1962,0.57,0.001
04/03/1962,0.56,0.001
04/04/1962,0.56,0.001
04/04/1962,0.56,0.001
04/05/1962,0.56,0.001
04/05/1962,0.57,0.001
04/06/1962,0.57,0.001
04/06/1962,0.57,0.001
04/09/1962,0.57,0.001
04/09/1962,0.57,0.001
04/10/1962,0.57,0.001
04/10/1962,0.57,0.001
04/11/1962,0.57,0.001
04/11/1962,0.56,0.001
04/12/1962,0.56,0.001
04/12/1962,0.56,0.001
04/13/1962,0.56,0.001
04/13/1962,0.57,0.001
04/16/1962,0.57,0.001
04/16/1962,0.57,0.001
04/17/1962,0.57,0.001
04/17/1962,0.57,0.001
04/18/1962,0.57,0.001
04/18/1962,0.57,0.001
04/19/1962,0.57,0.001
04/19/1962,0.57,0.001
04/23/1962,0.57,0.001
04/23/1962,0.57,0.001
04/24/1962,0.57,0.001
04/24/1962,0.57,0.001
04/25/1962,0.57,0.001
04/25/1962,0.56,0.001
04/26/1962,0.56,0.001
04/26/1962,0.55,0.001
04/27/1962,0.55,0.001
04/27/1962,0.53,0.001
04/30/1962,0.53,0.001
04/30/1962,0.5,0.001
05/01/1962,0.5,0.001
05/01/1962,0.5,0.001
05/02/1962,0.51,0.001
05/02/1962,0.52,0.001
05/03/1962,0.52,0.001
05/03/1962,0.53,0.001
05/04/1962,0.53,0.001
05/04/1962,0.53,0.001
05/07/1962,0.53,0.001
05/07/1962,0.52,0.001
05/08/1962,0.52,0.002
05/08/1962,0.5,0.002
05/09/1962,0.5,0.002
05/09/1962,0.49,0.002
05/10/1962,0.49,0.002
05/10/1962,0.49,0.002
05/11/1962,0.49,0.002
05/11/1962,0.49,0.002
05/14/1962,0.49,0.002
05/14/1962,0.5,0.002
05/15/1962,0.5,0.002
05/15/1962,0.49,0.002
05/16/1962,0.49,0.002
05/16/1962,0.5,0.002
05/17/1962,0.5,0.002
05/17/1962,0.49,0.002
05/18/1962,0.49,0.002
05/18/1962,0.49,0.002
05/21/1962,0.49,0.002
05/21/1962,0.49,0.002
05/22/1962,0.49,0.002
05/22/1962,0.48,0.002
05/23/1962,0.48,0.002
05/23/1962,0.45,0.002
05/24/1962,0.45,0.002
05/24/1962,0.43,0.002
05/25/1962,0.43,0.002
05/25/1962,0.44,0.002
05/28/1962,0.43,0.002
05/28/1962,0.39,0.002
05/29/1962,0.4,0.002
05/29/1962,0.42,0.002
05/31/1962,0.43,0.002
05/31/1962,0.43,0.002
06/01/1962,0.43,0.002
06/01/1962,0.42,0.002
06/04/1962,0.42,0.002
06/04/1962,0.39,0.002
06/05/1962,0.39,0.002
06/05/1962,0.4,0.002
06/06/1962,0.4,0.002
06/06/1962,0.4,0.002
06/07/1962,0.4,0.002
06/07/1962,0.4,0.002
06/08/1962,0.4,0.002
06/08/1962,0.41,0.002
06/11/1962,0.41,0.002
06/11/1962,0.39,0.002
06/12/1962,0.39,0.002
06/12/1962,0.37,0.002
06/13/1962,0.37,0.002
06/13/1962,0.35,0.002
06/14/1962,0.35,0.002
06/14/1962,0.33,0.002
06/15/1962,0.33,0.002
06/15/1962,0.36,0.002
06/18/1962,0.36,0.002
06/18/1962,0.36,0.002
06/19/1962,0.36,0.002
06/19/1962,0.37,0.002
06/20/1962,0.37,0.002
06/20/1962,0.36,0.002
06/21/1962,0.35,0.002
06/21/1962,0.34,0.002
06/22/1962,0.34,0.002
06/22/1962,0.35,0.002
06/25/1962,0.35,0.002
06/25/1962,0.36,0.002
06/26/1962,0.36,0.002
06/26/1962,0.35,0.002
06/27/1962,0.35,0.002
06/27/1962,0.36,0.002
06/28/1962,0.37,0.002
06/28/1962,0.38,0.002
06/29/1962,0.38,0.002
06/29/1962,0.37,0.002
07/02/1962,0.37,0.002
07/02/1962,0.38,0.002
07/03/1962,0.38,0.002
07/03/1962,0.38,0.002
07/05/1962,0.38,0.002
07/05/1962,0.38,0.002
07/06/1962,0.38,0.002
07/06/1962,0.38,0.002
07/09/1962,0.38,0.002
07/09/1962,0.38,0.002
07/10/1962,0.39,0.002
07/10/1962,0.39,0.002
07/11/1962,0.39,0.002
07/11/1962,0.41,0.002
07/12/1962,0.41,0.002
07/12/1962,0.41,0.002
07/13/1962,0.41,0.002
07/13/1962,0.41,0.002
07/16/1962,0.41,0.002
07/16/1962,0.42,0.002
07/17/1962,0.42,0.002
07/17/1962,0.4,0.002
07/18/1962,0.4,0.002
07/18/1962,0.4,0.002
07/19/1962,0.4,0.002
07/19/1962,0.4,0.002
07/20/1962,0.4,0.002
07/20/1962,0.41,0.002
07/23/1962,0.41,0.002
07/23/1962,0.41,0.002
07/24/1962,0.41,0.002
07/24/1962,0.4,0.002
07/25/1962,0.4,0.002
07/25/1962,0.4,0.002
07/26/1962,0.4,0.002
07/26/1962,0.4,0.002
07/27/1962,0.4,0.002
07/27/1962,0.41,0.002
07/30/1962,0.41,0.002
07/30/1962,0.42,0.002
07/31/1962,0.42,0.002
07/31/1962,0.42,0.002
08/01/1962,0.42,0.002
08/01/1962,0.41,0.002
08/02/1962,0.41,0.002
08/02/1962,0.42,0.002
08/03/1962,0.42,0.002
08/03/1962,0.42,0.002
08/06/1962,0.42,0.002
08/06/1962,0.42,0.002
08/07/1962,0.41,0.003
08/07/1962,0.41,0.003
08/08/1962,0.41,0.003
08/08/1962,0.42,0.003
08/09/1962,0.42,0.003
08/09/1962,0.41,0.003
08/10/1962,0.41,0.003
08/10/1962,0.41,0.003
08/13/1962,0.41,0.003
08/13/1962,0.41,0.003
08/14/1962,0.41,0.003
08/14/1962,0.42,0.003
08/15/1962,0.42,0.003
08/15/1962,0.42,0.003
08/16/1962,0.42,0.003
08/16/1962,0.42,0.003
08/17/1962,0.42,0.003
08/17/1962,0.43,0.003
08/20/1962,0.43,0.003
08/20/1962,0.43,0.003
08/21/1962,0.43,0.003
08/21/1962,0.43,0.003
08/22/1962,0.43,0.003
08/22/1962,0.45,0.003
08/23/1962,0.45,0.003
08/23/1962,0.45,0.003
08/24/1962,0.45,0.003
