ICLN,iShares S&P Global Clean Energy,
Date,Price,Dividend,Annualized Dividend
06/25/2008,38.870316504930585,0.0,0.0
06/26/2008,44.635771504570805,0.0,0.0
06/27/2008,37.78418239087684,0.0,0.0
06/30/2008,37.769297563231696,0.0,0.0
07/01/2008,37.196480441429266,0.0,0.0
07/02/2008,36.102894046550276,0.0,0.0
07/03/2008,35.12834831712969,0.0,0.0
07/07/2008,35.79045734208709,0.0,0.0
07/08/2008,35.88716513067839,0.0,0.0
07/09/2008,35.70861802649676,0.0,0.0
07/10/2008,35.38128858919026,0.0,0.0
07/11/2008,35.88715866753199,0.0,0.0
07/14/2008,36.430229172381765,0.0,0.0
07/15/2008,36.311200032680524,0.0,0.0
07/16/2008,36.02105601642027,0.0,0.0
07/17/2008,37.561002546734834,0.0,0.0
07/18/2008,36.7426846576543,0.0,0.0
07/21/2008,37.01049218649113,0.0,0.0
07/22/2008,37.54612055314858,0.0,0.0
07/23/2008,36.90634401705564,0.0,0.0
07/24/2008,36.1028940483105,0.0,0.0
07/25/2008,35.16554422076477,0.0,0.0
07/28/2008,34.786153140486896,0.0,0.0
07/29/2008,35.3812929124475,0.0,0.0
07/30/2008,36.54182326498077,0.0,0.0
07/31/2008,36.79475308113214,0.0,0.0
08/01/2008,36.645971632467734,0.0,0.0
08/04/2008,35.641653905256945,0.0,0.0
08/05/2008,34.815906109970214,0.0,0.0
08/06/2008,34.74894507928048,0.0,0.0
08/07/2008,35.44080133794703,0.0,0.0
08/08/2008,34.87541077783044,0.0,0.0
08/11/2008,34.71175234458922,0.0,0.0
08/12/2008,34.005020872531155,0.0,0.0
08/13/2008,34.30259100970729,0.0,0.0
08/14/2008,34.54064902830773,0.0,0.0
08/15/2008,35.2250596982646,0.0,0.0
08/18/2008,35.56726270075297,0.0,0.0
08/19/2008,34.96469311852062,0.0,0.0
08/20/2008,35.262267213355905,0.0,0.0
08/21/2008,36.72036476147958,0.0,0.0
08/22/2008,37.17415939416183,0.0,0.0
08/25/2008,37.226233712392066,0.0,0.0
08/26/2008,36.81707289630081,0.0,0.0
08/27/2008,36.75754930566169,0.0,0.0
08/28/2008,39.517543688977064,0.0,0.0
08/29/2008,37.69491428614767,0.0,0.0
09/02/2008,37.189037529196135,0.0,0.0
09/03/2008,35.485441339522524,0.0,0.0
