IRCP,IRSA Propiedades Comerciales S.,
Date,Price,Annualized Dividend
11/05/2003,0.9887871742248536,0.0
11/05/2003,0.9887871742248535,0.0
11/06/2003,0.9887871742248536,0.0
11/06/2003,0.9887871742248535,0.0
11/07/2003,0.982267438241668,0.0
11/07/2003,1.064847469329834,0.0
11/10/2003,1.064847469329834,0.0
11/10/2003,1.064847469329834,0.0
11/11/2003,1.064847469329834,0.0
11/11/2003,1.064847469329834,0.0
11/12/2003,1.064847469329834,0.0
11/12/2003,1.064847469329834,0.0
11/13/2003,1.064847469329834,0.0
11/13/2003,1.064847469329834,0.0
11/14/2003,0.9062069654464722,0.0
11/14/2003,0.9062069654464722,0.0
11/17/2003,0.8801292381881431,0.0
11/17/2003,0.7932028770446777,0.0
11/18/2003,1.0539815755066115,0.0
11/18/2003,1.0865789651870728,0.0
11/19/2003,1.075713134085504,0.0
11/19/2003,1.0865789651870728,0.0
11/20/2003,0.9779213070869446,0.0
11/20/2003,0.9779213070869446,0.0
11/21/2003,1.014864829842181,0.0
11/21/2003,1.064847469329834,0.0
11/24/2003,1.0757132478143652,0.0
11/24/2003,1.1039643287658691,0.0
11/25/2003,1.1150470667115695,0.199
11/25/2003,1.0562413930892944,0.199
11/26/2003,1.0562413930892944,0.199
11/26/2003,1.0562413930892944,0.199
11/28/2003,1.0562413930892944,0.199
11/28/2003,1.0562413930892944,0.199
12/01/2003,1.176114480123519,0.199
12/01/2003,1.2258732318878174,0.199
12/02/2003,1.164805817946318,0.199
12/02/2003,1.1534969806671143,0.199
12/03/2003,1.2258732064392515,0.199
12/03/2003,1.2733701467514038,0.199
12/04/2003,1.271108465571071,0.199
12/04/2003,1.4022904634475708,0.199
12/05/2003,1.402290352188353,0.199
12/05/2003,1.5832310914993286,0.199
12/08/2003,1.583231109793796,0.199
12/08/2003,1.4249080419540405,0.199
12/09/2003,1.4769285100717524,0.199
12/09/2003,1.4475256204605103,0.199
12/10/2003,1.5719223210749047,0.199
12/10/2003,1.5063313245773315,0.199
12/11/2003,1.5357341867563952,0.199
12/11/2003,1.4565726518630981,0.199
12/12/2003,1.4565726518630981,0.199
12/12/2003,1.4565726518630981,0.199
12/15/2003,1.3796727657318115,0.199
12/15/2003,1.3796727657318115,0.199
12/16/2003,1.3344376508732558,0.199
12/16/2003,1.2213497161865234,0.199
12/17/2003,1.2213497161865234,0.199
12/17/2003,1.2213497161865234,0.199
12/18/2003,1.334437896574737,0.199
12/18/2003,1.3231290578842163,0.199
12/19/2003,1.3344375529633643,0.199
12/19/2003,1.2665847539901733,0.199
12/22/2003,1.3344377279281616,0.199
12/22/2003,1.3344377279281616,0.199
12/23/2003,1.5357338005724361,0.199
12/23/2003,1.3118197917938232,0.199
12/24/2003,1.3050349742678873,0.199
12/24/2003,1.2552763223648071,0.199
12/26/2003,1.2552763223648071,0.199
12/26/2003,1.2552763223648071,0.199
12/29/2003,1.3095582723617554,0.199
12/29/2003,1.3095582723617554,0.199
12/30/2003,1.3095582723617554,0.199
12/30/2003,1.3095582723617554,0.199
12/31/2003,1.4135990142822266,0.199
12/31/2003,1.4135990142822266,0.199
01/02/2004,1.4588345289230347,0.199
01/02/2004,1.4588345289230347,0.199
01/05/2004,1.4588345289230347,0.199
01/05/2004,1.4588345289230347,0.199
01/06/2004,1.2417054568039132,0.199
01/06/2004,1.3796727657318115,0.199
01/07/2004,2.0785557069246074,0.199
01/07/2004,1.4701428413391113,0.199
01/08/2004,1.2892024456086526,0.199
01/08/2004,1.4520491361618042,0.199
01/09/2004,1.4701428413391116,0.199
01/09/2004,1.4701428413391113,0.199
01/12/2004,1.4701428413391116,0.199
01/12/2004,1.4701428413391113,0.199
01/13/2004,1.5266872644424438,0.199
01/13/2004,1.5266872644424438,0.199
01/14/2004,1.5266872644424438,0.199
01/14/2004,1.5266872644424438,0.199
01/15/2004,1.5266872644424438,0.199
01/15/2004,1.5266872644424438,0.199
01/16/2004,1.5266872644424438,0.199
01/16/2004,1.5266872644424438,0.199
01/20/2004,1.0630265591504962,0.199
01/20/2004,1.4249080419540405,0.199
01/21/2004,1.4022904634475708,0.199
01/21/2004,1.4022904634475708,0.199
01/22/2004,1.4022904634475708,0.199
01/22/2004,1.4022904634475708,0.199
01/23/2004,1.3005112409591675,0.199
01/23/2004,1.3005112409591675,0.199
01/26/2004,1.3977670669555662,0.199
01/26/2004,1.3977670669555664,0.199
01/27/2004,1.390981674194336,0.199
01/27/2004,1.390981674194336,0.199
01/28/2004,1.3887200355529785,0.199
01/28/2004,1.3887200355529785,0.199
01/29/2004,1.3887200355529785,0.199
01/29/2004,1.3887200355529785,0.199
01/30/2004,1.605848789215088,0.199
01/30/2004,1.605848789215088,0.199
02/02/2004,1.354793312161181,0.199
02/02/2004,1.1919467449188232,0.199
02/03/2004,1.124094141819722,0.199
02/03/2004,1.3547935485839844,0.199
02/04/2004,1.3547935485839844,0.199
02/04/2004,1.3547935485839844,0.199
02/05/2004,1.4678813315063646,0.199
02/05/2004,1.3005112409591675,0.199
02/06/2004,1.187423507375167,0.199
02/06/2004,1.2552763223648071,0.199
02/09/2004,1.2552763223648071,0.199
02/09/2004,1.2552763223648071,0.199
02/10/2004,1.2552763223648071,0.199
02/10/2004,1.2552763223648071,0.199
02/11/2004,1.2552763223648071,0.199
02/11/2004,1.2552763223648071,0.199
02/12/2004,1.2552763223648071,0.199
02/12/2004,1.2552763223648071,0.199
02/13/2004,1.2552763223648071,0.199
02/13/2004,1.2552763223648071,0.199
02/17/2004,1.2552763223648071,0.199
02/17/2004,1.2552763223648071,0.199
02/18/2004,1.2552763223648071,0.199
02/18/2004,1.2552763223648071,0.199
02/19/2004,1.243967355353549,0.199
02/19/2004,1.1534969806671143,0.199
02/20/2004,1.3344377279281616,0.199
02/20/2004,1.3344377279281616,0.199
02/23/2004,1.4475256422090366,0.199
02/23/2004,1.2100409269332886,0.199
02/24/2004,1.2100409269332886,0.199
02/24/2004,1.2100409269332886,0.199
02/25/2004,1.0856442805390871,0.199
02/25/2004,1.1534969806671143,0.199
02/26/2004,1.1534969806671143,0.199
02/26/2004,1.1534969806671143,0.199
02/27/2004,1.1534969122348604,0.199
02/27/2004,1.2213497161865234,0.199
03/01/2004,1.2213497161865234,0.199
03/01/2004,1.2213497161865234,0.199
03/02/2004,1.2439672946929932,0.199
03/02/2004,1.2439672946929932,0.199
03/03/2004,1.2439672946929932,0.199
03/03/2004,1.2439672946929932,0.199
03/04/2004,1.2552759729720366,0.199
03/04/2004,1.1896849870681763,0.199
03/05/2004,1.4701429808848139,0.199
03/05/2004,1.1896849870681763,0.199
03/08/2004,1.0562411624181351,0.199
03/08/2004,1.1399261951446533,0.199
03/09/2004,1.1399261951446533,0.199
03/09/2004,1.1399261951446533,0.199
03/10/2004,1.2959874316306794,0.199
03/10/2004,1.1761142015457153,0.199
