KREF,KKR Real Estate Finance Trust I,
Date,Price,Dividend,Annualized Dividend
05/05/2017,14.424883815917838,0.0,0.0
05/08/2017,15.180471587620382,0.0,0.0
05/09/2017,15.118647438746326,0.0,0.0
05/10/2017,15.00874929709737,0.0,0.0
05/11/2017,14.981266134756467,0.0,0.0
05/12/2017,15.14612172996253,0.0,0.0
05/15/2017,15.173597107433734,0.0,0.0
05/16/2017,15.07743268327303,0.0,0.0
05/17/2017,15.11246362881613,0.0,0.0
05/18/2017,15.290373355267853,0.0,0.0
05/19/2017,15.359060287475586,0.0,0.0
05/22/2017,15.420883147490818,0.0,0.0
05/23/2017,15.482704162597654,0.0,0.0
05/24/2017,16.478709040788473,0.0,0.0
05/25/2017,15.60634639119237,0.0,0.0
05/26/2017,15.79181186921711,0.0,0.0
05/30/2017,15.66129495226015,0.0,0.0
05/31/2017,15.324719781296269,0.0,0.0
06/01/2017,15.146121477800245,0.0,0.0
06/02/2017,15.537655044058463,0.0,0.0
06/05/2017,15.716248868593434,0.0,0.0
06/06/2017,15.32471772382497,0.0,0.0
06/07/2017,15.125518955937936,0.0,0.0
06/08/2017,14.919443428321975,0.0,0.0
06/09/2017,15.104912611822815,0.0,0.0
06/12/2017,14.91258018623575,0.0,0.0
06/13/2017,15.063698618263428,0.0,0.0
06/14/2017,14.809544604787257,0.0,0.0
06/15/2017,14.678343899844046,0.0,0.0
06/16/2017,14.809541368155477,0.0,0.0
06/19/2017,14.58286476135254,0.0,0.0
06/20/2017,14.514175887387811,0.0,0.0
06/21/2017,14.582866761091589,0.0,0.0
06/22/2017,14.555391798783655,0.0,0.0
06/23/2017,14.459225256718229,0.0,0.0
06/26/2017,14.637818709731972,0.0,0.0
06/27/2017,14.699640199189968,0.0,0.0
06/28/2017,14.741664338817268,0.25,0.25
06/29/2017,15.15868799649161,0.0,0.25
06/30/2017,14.76947119069654,0.0,0.25
07/03/2017,14.88067570648076,0.0,0.25
07/05/2017,14.950180871350979,0.0,0.25
07/06/2017,14.623512789499193,0.0,0.25
07/07/2017,14.734718128525289,0.0,0.25
07/10/2017,14.859822681676997,0.0,0.25
07/11/2017,15.068332411986303,0.0,0.25
07/12/2017,15.047482656507091,0.0,0.25
07/13/2017,14.79727063767174,0.0,0.25
07/14/2017,14.69996500158885,0.0,0.25
