LTC-USD,Litecoin USD,
Date,Price,Dividend,Annualized Dividend
09/17/2014,5.08588981628418,0.0,0.0
09/18/2014,5.065430164337158,0.0,0.0
09/19/2014,4.687290191650391,0.0,0.0
09/20/2014,4.32919979095459,0.0,0.0
09/21/2014,4.263070106506348,0.0,0.0
09/22/2014,4.245930194854736,0.0,0.0
09/23/2014,4.239990234375,0.0,0.0
09/24/2014,4.744200229644775,0.0,0.0
09/25/2014,4.66588020324707,0.0,0.0
09/26/2014,4.50993013381958,0.0,0.0
09/27/2014,4.434390068054199,0.0,0.0
09/28/2014,4.424620151519775,0.0,0.0
09/29/2014,4.2376298904418945,0.0,0.0
09/30/2014,4.252190113067627,0.0,0.0
10/01/2014,4.4709601402282715,0.0,0.0
10/02/2014,4.430150032043457,0.0,0.0
10/03/2014,4.31935977935791,0.0,0.0
10/04/2014,4.173130035400391,0.0,0.0
10/05/2014,3.9420700073242188,0.0,0.0
10/06/2014,3.703049898147583,0.0,0.0
10/07/2014,3.8133299350738525,0.0,0.0
10/08/2014,3.8554699420928955,0.0,0.0
10/09/2014,3.9086201190948486,0.0,0.0
10/10/2014,3.898859977722168,0.0,0.0
10/11/2014,3.795919895172119,0.0,0.0
10/12/2014,3.7765800952911377,0.0,0.0
10/13/2014,3.846440076828003,0.0,0.0
10/14/2014,3.8645200729370117,0.0,0.0
10/15/2014,4.076990127563477,0.0,0.0
10/16/2014,4.057740211486816,0.0,0.0
10/17/2014,3.9914400577545166,0.0,0.0
10/18/2014,3.9916300773620605,0.0,0.0
10/19/2014,4.056429862976074,0.0,0.0
10/20/2014,3.983570098876953,0.0,0.0
10/21/2014,3.911799907684326,0.0,0.0
10/22/2014,3.9409499168395996,0.0,0.0
10/23/2014,3.8469700813293457,0.0,0.0
10/24/2014,3.739490032196045,0.0,0.0
10/25/2014,3.748729944229126,0.0,0.0
10/26/2014,3.668950080871582,0.0,0.0
10/27/2014,3.72406005859375,0.0,0.0
10/28/2014,3.812269926071167,0.0,0.0
10/29/2014,3.8528800010681152,0.0,0.0
10/30/2014,3.734499931335449,0.0,0.0
10/31/2014,3.7846500873565674,0.0,0.0
11/01/2014,3.756659984588623,0.0,0.0
11/02/2014,3.5768799781799316,0.0,0.0
11/03/2014,3.5859100818634033,0.0,0.0
11/04/2014,3.5804200172424316,0.0,0.0
11/05/2014,3.5903100967407227,0.0,0.0
11/06/2014,3.6421399116516113,0.0,0.0
11/07/2014,3.649669885635376,0.0,0.0
11/08/2014,3.556649923324585,0.0,0.0
11/09/2014,3.554840087890625,0.0,0.0
11/10/2014,3.632159948348999,0.0,0.0
11/11/2014,3.698509931564331,0.0,0.0
11/12/2014,3.67972993850708,0.0,0.0
11/13/2014,4.132989883422852,0.0,0.0
11/14/2014,4.0854997634887695,0.0,0.0
11/15/2014,3.992259979248047,0.0,0.0
11/16/2014,3.8411900997161865,0.0,0.0
11/17/2014,3.8805599212646484,0.0,0.0
11/18/2014,3.875149965286255,0.0,0.0
11/19/2014,3.7799599170684814,0.0,0.0
11/20/2014,3.806960105895996,0.0,0.0
11/21/2014,3.614300012588501,0.0,0.0
11/22/2014,3.5011401176452637,0.0,0.0
11/23/2014,3.522779941558838,0.0,0.0
11/24/2014,3.594640016555786,0.0,0.0
11/25/2014,3.6249799728393555,0.0,0.0
11/26/2014,3.5689098834991455,0.0,0.0
11/27/2014,3.5650699138641357,0.0,0.0
11/28/2014,3.5607900619506836,0.0,0.0
11/29/2014,3.604710102081299,0.0,0.0
11/30/2014,3.5859599113464355,0.0,0.0
12/01/2014,3.575589895248413,0.0,0.0
12/02/2014,3.5779900550842285,0.0,0.0
12/03/2014,3.628000020980835,0.0,0.0
12/04/2014,3.6117000579833984,0.0,0.0
12/05/2014,3.594089984893799,0.0,0.0
12/06/2014,3.615959882736206,0.0,0.0
12/07/2014,3.615600109100342,0.0,0.0
12/08/2014,3.7083699703216553,0.0,0.0
12/09/2014,3.655019998550415,0.0,0.0
12/10/2014,3.5238399505615234,0.0,0.0
12/11/2014,3.4939301013946533,0.0,0.0
12/12/2014,3.4788999557495117,0.0,0.0
12/13/2014,3.486569881439209,0.0,0.0
12/14/2014,3.4751999378204346,0.0,0.0
12/15/2014,3.481110095977783,0.0,0.0
12/16/2014,3.4518399238586426,0.0,0.0
12/17/2014,3.0105600357055664,0.0,0.0
12/18/2014,2.944430112838745,0.0,0.0
12/19/2014,2.8052799701690674,0.0,0.0
12/20/2014,2.8671000003814697,0.0,0.0
12/21/2014,2.9146299362182617,0.0,0.0
12/22/2014,2.8602499961853027,0.0,0.0
12/23/2014,2.887320041656494,0.0,0.0
12/24/2014,2.877700090408325,0.0,0.0
12/25/2014,2.735949993133545,0.0,0.0
12/26/2014,2.700700044631958,0.0,0.0
12/27/2014,2.7795801162719727,0.0,0.0
12/28/2014,2.7190001010894775,0.0,0.0
12/29/2014,2.733799934387207,0.0,0.0
12/30/2014,2.6961700916290283,0.0,0.0
12/31/2014,2.7038400173187256,0.0,0.0
01/01/2015,2.724210023880005,0.0,0.0
01/02/2015,2.697429895401001,0.0,0.0
01/03/2015,2.6664600372314453,0.0,0.0
01/04/2015,2.110219955444336,0.0,0.0
01/05/2015,1.9580299854278564,0.0,0.0
01/06/2015,2.0843400955200195,0.0,0.0
01/07/2015,2.1180999279022217,0.0,0.0
01/08/2015,2.115609884262085,0.0,0.0
01/09/2015,2.0100200176239014,0.0,0.0
01/10/2015,1.9699900150299072,0.0,0.0
01/11/2015,1.6535999774932861,0.0,0.0
01/12/2015,1.7176799774169922,0.0,0.0
01/13/2015,1.7101999521255493,0.0,0.0
01/14/2015,1.5496100187301636,0.0,0.0
01/15/2015,1.1532399654388428,0.0,0.0
01/16/2015,1.2771899700164795,0.0,0.0
01/17/2015,1.3977999687194824,0.0,0.0
01/18/2015,1.296030044555664,0.0,0.0
01/19/2015,1.328570008277893,0.0,0.0
01/20/2015,1.3409899473190308,0.0,0.0
01/21/2015,1.3238999843597412,0.0,0.0
01/22/2015,1.374269962310791,0.0,0.0
01/23/2015,1.412310004234314,0.0,0.0
01/24/2015,1.4306800365447998,0.0,0.0
01/25/2015,1.8420499563217163,0.0,0.0
01/26/2015,2.245490074157715,0.0,0.0
01/27/2015,2.0741798877716064,0.0,0.0
01/28/2015,2.0912699699401855,0.0,0.0
01/29/2015,1.8766299486160278,0.0,0.0
01/30/2015,1.9144599437713623,0.0,0.0
01/31/2015,1.8961299657821655,0.0,0.0
02/01/2015,1.8787800073623657,0.0,0.0
02/02/2015,1.812809944152832,0.0,0.0
02/03/2015,1.8741799592971802,0.0,0.0
02/04/2015,1.8208500146865845,0.0,0.0
02/05/2015,1.7947399616241455,0.0,0.0
02/06/2015,1.7403299808502197,0.0,0.0
02/07/2015,1.759559988975525,0.0,0.0
02/08/2015,1.7867900133132935,0.0,0.0
02/09/2015,1.7852699756622314,0.0,0.0
02/10/2015,1.7332500219345093,0.0,0.0
02/11/2015,1.7608100175857544,0.0,0.0
02/12/2015,1.7308100461959839,0.0,0.0
02/13/2015,1.7550899982452393,0.0,0.0
02/14/2015,1.8229299783706665,0.0,0.0
02/15/2015,1.9400299787521362,0.0,0.0
02/16/2015,1.844480037689209,0.0,0.0
02/17/2015,1.794119954109192,0.0,0.0
02/18/2015,1.856660008430481,0.0,0.0
02/19/2015,1.8252099752426147,0.0,0.0
02/20/2015,1.842020034790039,0.0,0.0
02/21/2015,1.848960041999817,0.0,0.0
02/22/2015,1.8498799800872803,0.0,0.0
02/23/2015,1.8030500411987305,0.0,0.0
02/24/2015,1.8135600090026855,0.0,0.0
02/25/2015,1.8300000429153442,0.0,0.0
02/26/2015,1.8080999851226807,0.0,0.0
02/27/2015,1.801169991493225,0.0,0.0
02/28/2015,1.849179983139038,0.0,0.0
03/01/2015,1.8457599878311157,0.0,0.0
03/02/2015,1.8924200534820557,0.0,0.0
03/03/2015,1.942199945449829,0.0,0.0
03/04/2015,1.9560500383377075,0.0,0.0
03/05/2015,1.9244799613952637,0.0,0.0
03/06/2015,1.9203300476074219,0.0,0.0
03/07/2015,1.893589973449707,0.0,0.0
03/08/2015,1.9135299921035767,0.0,0.0
03/09/2015,1.8925000429153442,0.0,0.0
03/10/2015,1.944000005722046,0.0,0.0
03/11/2015,2.008239984512329,0.0,0.0
03/12/2015,2.0235800743103027,0.0,0.0
03/13/2015,2.042109966278076,0.0,0.0
03/14/2015,2.0040900707244873,0.0,0.0
03/15/2015,1.9946199655532837,0.0,0.0
03/16/2015,2.0217599868774414,0.0,0.0
03/17/2015,2.0344700813293457,0.0,0.0
03/18/2015,1.9826500415802002,0.0,0.0
03/19/2015,1.743649959564209,0.0,0.0
03/20/2015,1.7632800340652466,0.0,0.0
03/21/2015,1.7669199705123901,0.0,0.0
