LVHI,Legg Mason International Low Vo,
Date,Price,Annualized Dividend
07/28/2016,20.91,0.0
07/28/2016,20.93,0.0
07/29/2016,20.77,0.0
07/29/2016,20.77,0.0
08/01/2016,20.77,0.0
08/01/2016,20.76,0.0
08/02/2016,20.61,0.0
08/02/2016,20.55,0.0
08/03/2016,20.43,0.0
08/03/2016,20.45,0.0
08/04/2016,20.65,0.0
08/04/2016,20.67,0.0
08/05/2016,20.67,0.0
08/05/2016,20.67,0.0
08/08/2016,20.86,0.0
08/08/2016,20.88,0.0
08/09/2016,21.01,0.0
08/09/2016,21.05,0.0
08/10/2016,21.09,0.0
08/10/2016,21.06,0.0
08/11/2016,21.06,0.0
08/11/2016,21.06,0.0
08/12/2016,21.1,0.0
08/12/2016,21.2,0.0
08/15/2016,21.27,0.0
08/15/2016,21.26,0.0
08/16/2016,21.09,0.0
08/16/2016,21.01,0.0
08/17/2016,20.85,0.0
08/17/2016,20.94,0.0
08/18/2016,20.92,0.0
08/18/2016,20.89,0.0
08/19/2016,20.79,0.0
08/19/2016,20.82,0.0
08/22/2016,20.94,0.0
08/22/2016,20.84,0.0
08/23/2016,20.84,0.0
08/23/2016,20.84,0.0
08/24/2016,21.03,0.0
08/24/2016,21.05,0.0
08/25/2016,20.94,0.0
08/25/2016,20.94,0.0
08/26/2016,20.95,0.0
08/26/2016,20.88,0.0
08/29/2016,21.01,0.0
08/29/2016,21.09,0.0
08/30/2016,20.98,0.0
08/30/2016,20.95,0.0
08/31/2016,21.0,0.0
08/31/2016,21.0,0.0
09/01/2016,20.95,0.0
09/01/2016,20.99,0.0
09/02/2016,21.22,0.0
09/02/2016,21.22,0.0
09/06/2016,21.24,0.0
09/06/2016,21.26,0.0
09/07/2016,21.24,0.0
09/07/2016,21.24,0.0
09/08/2016,21.29,0.0
09/08/2016,21.29,0.0
09/09/2016,21.08,0.0
09/09/2016,21.05,0.0
09/12/2016,20.76,0.0
09/12/2016,20.76,0.0
09/13/2016,20.77,0.0
09/13/2016,20.77,0.0
09/14/2016,20.64,0.0
09/14/2016,20.64,0.0
09/15/2016,20.64,0.0
09/15/2016,20.64,0.0
09/16/2016,20.62,0.0
09/16/2016,20.63,0.0
09/19/2016,20.75,0.0
09/19/2016,20.72,0.0
09/20/2016,20.79,0.0
09/20/2016,20.79,0.0
09/21/2016,20.84,0.0
09/21/2016,20.89,0.0
09/22/2016,21.08,0.0
09/22/2016,21.07,0.0
09/23/2016,21.11,0.0
09/23/2016,21.1,0.0
09/26/2016,20.72,0.0
09/26/2016,20.7,0.0
09/27/2016,20.7,0.0
09/27/2016,20.7,0.0
09/28/2016,20.7,0.0
09/28/2016,20.7,0.0
09/29/2016,21.02,0.0
09/29/2016,21.06,0.0
09/30/2016,21.06,0.0
09/30/2016,21.06,0.0
10/03/2016,21.05,0.0
10/03/2016,21.05,0.0
10/04/2016,21.05,0.0
10/04/2016,21.05,0.0
10/05/2016,21.05,0.0
10/05/2016,21.05,0.0
10/06/2016,21.05,0.0
10/06/2016,21.05,0.0
10/07/2016,21.05,0.0
10/07/2016,21.05,0.0
10/10/2016,21.01,0.0
10/10/2016,21.01,0.0
10/11/2016,21.02,0.0
10/11/2016,20.97,0.0
10/12/2016,20.79,0.0
10/12/2016,20.73,0.0
10/13/2016,20.72,0.0
10/13/2016,20.71,0.0
10/14/2016,20.89,0.0
10/14/2016,20.74,0.0
10/17/2016,20.84,0.0
10/17/2016,20.81,0.0
10/18/2016,20.81,0.0
10/18/2016,20.81,0.0
10/19/2016,21.02,0.0
10/19/2016,21.02,0.0
10/20/2016,21.13,0.0
10/20/2016,21.13,0.0
10/21/2016,21.06,0.0
10/21/2016,21.05,0.0
10/24/2016,21.09,0.0
10/24/2016,21.09,0.0
10/25/2016,21.09,0.0
10/25/2016,21.09,0.0
10/26/2016,21.09,0.0
10/26/2016,21.09,0.0
10/27/2016,21.09,0.0
10/27/2016,21.09,0.0
10/28/2016,21.09,0.0
10/28/2016,21.09,0.0
10/31/2016,20.97,0.0
10/31/2016,20.94,0.0
11/01/2016,21.1,0.0
11/01/2016,20.84,0.0
11/02/2016,20.71,0.0
11/02/2016,20.54,0.0
11/03/2016,20.68,0.0
11/03/2016,20.68,0.0
11/04/2016,20.45,0.0
11/04/2016,20.41,0.0
11/07/2016,20.41,0.0
11/07/2016,20.41,0.0
11/08/2016,20.87,0.0
11/08/2016,20.87,0.0
11/09/2016,20.99,0.0
11/09/2016,20.99,0.0
11/10/2016,20.99,0.0
11/10/2016,20.99,0.0
11/11/2016,20.68,0.0
11/11/2016,20.63,0.0
11/14/2016,20.51,0.0
11/14/2016,20.51,0.0
11/15/2016,20.62,0.0
11/15/2016,20.67,0.0
11/16/2016,20.73,0.0
11/16/2016,20.74,0.0
11/17/2016,20.74,0.0
11/17/2016,20.84,0.0
11/18/2016,20.95,0.0
11/18/2016,20.93,0.0
11/21/2016,20.79,0.0
11/21/2016,20.79,0.0
11/22/2016,20.93,0.0
11/22/2016,20.9,0.0
11/23/2016,20.92,0.0
11/23/2016,20.85,0.0
11/25/2016,20.85,0.0
11/25/2016,20.85,0.0
11/28/2016,21.05,0.0
11/28/2016,20.96,0.0
11/29/2016,20.97,0.0
11/29/2016,20.97,0.0
11/30/2016,20.97,0.0
11/30/2016,20.97,0.0
12/01/2016,21.1,0.0
12/01/2016,21.22,0.0
12/02/2016,20.9,0.0
12/02/2016,20.91,0.0
12/05/2016,21.05,0.0
12/05/2016,21.1,0.0
12/06/2016,21.14,0.0
12/06/2016,21.28,0.0
12/07/2016,21.42,0.0
12/07/2016,21.51,0.0
12/08/2016,21.58,0.0
12/08/2016,21.64,0.0
12/09/2016,21.73,0.0
12/09/2016,21.84,0.0
12/12/2016,21.78,0.0
12/12/2016,21.78,0.0
12/13/2016,21.98,0.0
12/13/2016,21.99,0.0
12/14/2016,21.93,0.0
12/14/2016,22.05,0.0
12/15/2016,22.42,0.0
12/15/2016,21.73,0.0
12/16/2016,21.97,0.0
12/16/2016,21.87,0.0
12/19/2016,21.95,0.0
12/19/2016,21.94,0.0
12/20/2016,22.27,0.0
12/20/2016,22.19,0.0
12/21/2016,21.94,0.0
12/21/2016,21.95,0.0
12/22/2016,22.04,0.0
12/22/2016,22.08,0.0
12/23/2016,22.0,0.0
12/23/2016,22.01,0.0
12/27/2016,21.83,0.0
12/27/2016,21.83,0.0
12/28/2016,21.8,0.0
12/28/2016,21.74,0.0
12/29/2016,21.59,0.0
12/29/2016,21.52,0.0
12/30/2016,21.54,0.0
12/30/2016,21.63,0.0
01/03/2017,22.09,0.0
01/03/2017,22.08,0.0
01/04/2017,21.84,0.0
01/04/2017,21.93,0.0
01/05/2017,22.0,0.0
01/05/2017,22.03,0.0
01/06/2017,22.04,0.0
01/06/2017,22.11,0.0
01/09/2017,22.09,0.0
01/09/2017,22.09,0.0
01/10/2017,21.95,0.0
01/10/2017,21.98,0.0
01/11/2017,22.09,0.0
01/11/2017,22.08,0.0
01/12/2017,21.69,0.0
01/12/2017,21.79,0.0
01/13/2017,21.95,0.0
