MPW,"Medical Properties Trust, Inc.",
Date,Price,Dividend,Annualized Dividend
07/08/2005,3.272370508939048,0.0,0.0
07/11/2005,3.33599838956948,0.0,0.0
07/12/2005,3.3481201025985,0.0,0.0
07/13/2005,3.3602377376243173,0.0,0.0
07/14/2005,3.326908246302752,0.0,0.0
07/15/2005,3.31478844500386,0.0,0.0
07/18/2005,3.3178192591132283,0.0,0.0
07/19/2005,3.2360101659422207,0.0,0.0
07/20/2005,3.2360097365670386,0.0,0.0
07/21/2005,3.181469700107091,0.0,0.0
07/22/2005,3.1966196136139997,0.0,0.0
07/25/2005,3.181469700107091,0.0,0.0
07/26/2005,3.1875302375707784,0.0,0.0
07/27/2005,3.18450019664336,0.0,0.0
07/28/2005,3.1966196136139997,0.0,0.0
07/29/2005,3.19055953262701,0.0,0.0
08/01/2005,3.18450019664336,0.0,0.0
08/02/2005,3.187530322037457,0.0,0.0
08/03/2005,3.166319651403723,0.0,0.0
08/04/2005,3.166320323944092,0.0,0.0
08/05/2005,3.1723816909497287,0.0,0.0
08/08/2005,3.1451108636616074,0.0,0.0
08/09/2005,3.0905709819496754,0.0,0.0
08/10/2005,3.0481512747073976,0.0,0.0
08/11/2005,3.087540012360476,0.0,0.0
08/12/2005,3.1208715269762566,0.0,0.0
08/15/2005,3.154200567628467,0.0,0.0
08/16/2005,3.1360208988189697,0.0,0.0
08/17/2005,3.1360208678585,0.0,0.0
08/18/2005,2.972401879037612,0.0,0.0
08/19/2005,3.045122806170584,0.0,0.0
08/22/2005,2.984521977292402,0.0,0.0
08/23/2005,3.060271665453831,0.0,0.0
08/24/2005,3.008762165612292,0.0,0.0
08/25/2005,2.9845217941217665,0.0,0.0
08/26/2005,3.005732476569395,0.0,0.0
08/29/2005,3.060270969972952,0.0,0.0
08/30/2005,3.196620071392425,0.0,0.0
08/31/2005,3.181471271948381,0.0,0.0
09/01/2005,3.332970097826338,0.0,0.0
09/02/2005,3.22086020371205,0.0,0.0
09/06/2005,3.293580142764916,0.0,0.0
09/07/2005,3.2572194451377503,0.0,0.0
09/08/2005,3.181469700107091,0.0,0.0
09/09/2005,3.18147145701605,0.0,0.0
09/12/2005,3.187530314269962,0.0,0.0
09/13/2005,3.160513796440618,0.17,0.17
09/14/2005,3.2252028627680245,0.0,0.17
09/15/2005,3.1974780452861222,0.0,0.17
09/16/2005,3.2313625812530518,0.0,0.17
09/19/2005,3.222121701679861,0.0,0.17
09/20/2005,3.2344433705419164,0.0,0.17
09/21/2005,3.1728340709625114,0.0,0.17
09/22/2005,3.157431775170379,0.0,0.17
09/23/2005,3.1574317065032966,0.0,0.17
09/26/2005,3.2128800055137017,0.0,0.17
09/27/2005,3.0650196075439453,0.0,0.17
09/28/2005,3.071182167293409,0.0,0.17
09/29/2005,3.0711809895998976,0.0,0.17
09/30/2005,3.077342227771926,0.0,0.17
10/03/2005,2.98800900162524,0.0,0.17
10/04/2005,3.0896645429116685,0.0,0.17
10/05/2005,3.0650205486388136,0.0,0.17
10/06/2005,3.0034112828646693,0.0,0.17
10/07/2005,3.024973481725381,0.0,0.17
10/10/2005,2.9448827904475396,0.0,0.17
10/11/2005,3.003411064328031,0.0,0.17
10/12/2005,2.9972504188371727,0.0,0.17
10/13/2005,2.932561064818819,0.0,0.17
10/14/2005,2.8493901187832487,0.0,0.17
10/17/2005,2.988009138484657,0.0,0.17
10/18/2005,2.8863545714788956,0.0,0.17
10/19/2005,2.849390292650194,0.0,0.17
10/20/2005,2.8955964241455603,0.0,0.17
10/21/2005,2.8678732435865952,0.0,0.17
10/24/2005,2.735413627083045,0.0,0.17
10/25/2005,2.726173841508568,0.0,0.17
10/26/2005,2.74157555945216,0.0,0.17
10/27/2005,2.7569764780567105,0.0,0.17
10/28/2005,2.7415751429681814,0.0,0.17
10/31/2005,2.7415745642077805,0.0,0.17
11/01/2005,2.7662191278942476,0.0,0.17
11/02/2005,2.7631375398266815,0.0,0.17
11/03/2005,2.750816664666216,0.0,0.17
11/04/2005,2.7723798980503864,0.0,0.17
11/07/2005,2.7415756822630306,0.0,0.17
11/08/2005,2.7723797934395926,0.0,0.17
11/09/2005,2.7569764780567105,0.0,0.17
11/10/2005,2.726173841508568,0.0,0.17
11/11/2005,2.7292532553495112,0.0,0.17
