MSFT,Microsoft Corporation,
Date,Price,Dividend,Annualized Dividend
03/13/1986,0.05610796535441799,0.0,0.0
03/14/1986,0.06160840327499636,0.0,0.0
03/17/1986,0.06380851320122176,0.0,0.0
03/18/1986,0.0649092466073499,0.0,0.0
03/19/1986,0.06325846083204766,0.0,0.0
03/20/1986,0.06215840713854206,0.0,0.0
03/21/1986,0.060508266964958576,0.0,0.0
03/24/1986,0.05885816509088057,0.0,0.0
03/25/1986,0.05720801728577949,0.0,0.0
03/26/1986,0.05830810502402675,0.0,0.0
03/27/1986,0.059958227614375297,0.0,0.0
03/31/1986,0.061058325524712846,0.0,0.0
04/01/1986,0.06050826763036287,0.0,0.0
04/02/1986,0.05995824391088363,0.0,0.0
04/03/1986,0.06105830892920494,0.0,0.0
04/04/1986,0.06105830892920494,0.0,0.0
04/07/1986,0.0610583082819469,0.0,0.0
04/08/1986,0.05995824391088363,0.0,0.0
04/09/1986,0.06050829236592754,0.0,0.0
04/10/1986,0.06160833913961639,0.0,0.0
04/11/1986,0.0627084506260812,0.0,0.0
04/14/1986,0.06325852668523373,0.0,0.0
04/15/1986,0.06380856782197952,0.0,0.0
04/16/1986,0.06380852460247213,0.0,0.0
04/17/1986,0.06600930390271031,0.0,0.0
04/18/1986,0.06655936620712423,0.0,0.0
04/21/1986,0.06435920298099518,0.0,0.0
04/22/1986,0.06435920577692246,0.0,0.0
04/23/1986,0.06325847440592526,0.0,0.0
04/24/1986,0.06353349134531328,0.0,0.0
04/25/1986,0.0704096447419684,0.0,0.0
04/28/1986,0.07426056842774281,0.0,0.0
04/29/1986,0.07481059246142291,0.0,0.0
04/30/1986,0.07260979427870205,0.0,0.0
05/01/1986,0.07095967545298959,0.0,0.0
05/02/1986,0.0698595941066742,0.0,0.0
05/05/1986,0.06985959567964883,0.0,0.0
05/06/1986,0.0698595941066742,0.0,0.0
05/07/1986,0.0698595941066742,0.0,0.0
05/08/1986,0.06985960734302893,0.0,0.0
05/09/1986,0.07040963477983189,0.0,0.0
05/12/1986,0.06985960734302893,0.0,0.0
05/13/1986,0.07040963168284597,0.0,0.0
05/14/1986,0.07095968889777765,0.0,0.0
05/15/1986,0.07040964812040329,0.0,0.0
05/16/1986,0.07040963168284597,0.0,0.0
05/19/1986,0.07095967545298959,0.0,0.0
05/20/1986,0.06985959567964883,0.0,0.0
05/21/1986,0.06930955819079339,0.0,0.0
05/22/1986,0.06820947676897049,0.0,0.0
05/23/1986,0.06820947676897049,0.0,0.0
05/27/1986,0.06820948501090586,0.0,0.0
05/28/1986,0.07040963443814069,0.0,0.0
05/29/1986,0.07260980774589637,0.0,0.0
05/30/1986,0.07481059545126524,0.0,0.0
06/02/1986,0.07701077239632093,0.0,0.0
06/03/1986,0.07481060922145844,0.0,0.0
06/04/1986,0.07481060340929192,0.0,0.0
06/05/1986,0.07426057411295604,0.0,0.0
06/06/1986,0.07536065578460693,0.0,0.0
06/09/1986,0.07536064255306925,0.0,0.0
06/10/1986,0.072059765458107,0.0,0.0
06/11/1986,0.072059765458107,0.0,0.0
06/12/1986,0.072059758421819,0.0,0.0
06/13/1986,0.06930955499410629,0.0,0.0
06/16/1986,0.06930957911020812,0.0,0.0
06/17/1986,0.0693095534335165,0.0,0.0
06/18/1986,0.06985959567964883,0.0,0.0
