NEE,"NextEra Energy, Inc.",
Date,Price,Dividend,Annualized Dividend
02/21/1973,0.0,0.017188,0.017188
02/22/1973,0.0,0.0,0.017188
02/23/1973,0.0,0.0,0.017188
02/26/1973,0.0,0.0,0.017188
02/27/1973,0.0,0.0,0.017188
02/28/1973,0.0,0.0,0.017188
03/01/1973,0.0,0.0,0.017188
03/02/1973,0.0,0.0,0.017188
03/05/1973,0.0,0.0,0.017188
03/06/1973,0.0,0.0,0.017188
03/07/1973,0.0,0.0,0.017188
03/08/1973,0.0,0.0,0.017188
03/09/1973,0.0,0.0,0.017188
03/12/1973,0.0,0.0,0.017188
03/13/1973,0.0,0.0,0.017188
03/14/1973,0.0,0.0,0.017188
03/15/1973,0.0,0.0,0.017188
03/16/1973,0.0,0.0,0.017188
03/19/1973,0.0,0.0,0.017188
03/20/1973,0.0,0.0,0.017188
03/21/1973,0.0,0.0,0.017188
03/22/1973,0.0,0.0,0.017188
03/23/1973,0.0,0.0,0.017188
03/26/1973,0.0,0.0,0.017188
03/27/1973,0.0,0.0,0.017188
03/28/1973,0.0,0.0,0.017188
03/29/1973,0.0,0.0,0.017188
03/30/1973,0.0,0.0,0.017188
04/02/1973,0.0,0.0,0.017188
04/03/1973,0.0,0.0,0.017188
04/04/1973,0.0,0.0,0.017188
04/05/1973,0.0,0.0,0.017188
04/06/1973,0.0,0.0,0.017188
04/09/1973,0.0,0.0,0.017188
04/10/1973,0.0,0.0,0.017188
04/11/1973,0.0,0.0,0.017188
04/12/1973,0.0,0.0,0.017188
04/13/1973,0.0,0.0,0.017188
04/16/1973,0.0,0.0,0.017188
04/17/1973,0.0,0.0,0.017188
04/18/1973,0.0,0.0,0.017188
04/19/1973,0.0,0.0,0.017188
04/23/1973,0.0,0.0,0.017188
04/24/1973,0.0,0.0,0.017188
04/25/1973,0.0,0.0,0.017188
04/26/1973,0.0,0.0,0.017188
04/27/1973,0.0,0.0,0.017188
04/30/1973,0.0,0.0,0.017188
05/01/1973,0.0,0.0,0.017188
05/02/1973,0.0,0.0,0.017188
05/03/1973,0.0,0.0,0.017188
05/04/1973,0.0,0.0,0.017188
05/07/1973,0.0,0.0,0.017188
05/08/1973,0.0,0.0,0.017188
05/09/1973,0.0,0.0,0.017188
05/10/1973,0.0,0.0,0.017188
05/11/1973,0.0,0.0,0.017188
05/14/1973,0.0,0.0,0.017188
05/15/1973,0.0,0.0,0.017188
05/16/1973,0.0,0.0,0.017188
05/17/1973,0.0,0.0,0.017188
05/18/1973,0.0,0.0,0.017188
05/21/1973,0.0,0.0,0.017188
05/22/1973,0.0,0.0,0.017188
05/23/1973,0.0,0.0,0.017188
05/24/1973,0.0,0.0,0.017188
05/25/1973,0.0,0.0,0.017188
05/29/1973,0.0,0.0,0.017188
05/30/1973,0.0,0.0,0.017188
05/31/1973,0.0,0.0,0.017188
06/01/1973,0.0,0.0,0.017188
06/04/1973,0.0,0.0,0.017188
06/05/1973,0.0,0.0,0.017188
06/06/1973,0.0,0.0,0.017188
06/07/1973,0.0,0.0,0.017188
06/08/1973,0.0,0.0,0.017188
06/11/1973,0.0,0.0,0.017188
06/12/1973,0.0,0.0,0.017188
06/13/1973,0.0,0.0,0.017188
06/14/1973,0.0,0.0,0.017188
06/15/1973,0.0,0.0,0.017188
06/18/1973,0.0,0.0,0.017188
06/19/1973,0.0,0.0,0.017188
06/20/1973,0.0,0.0,0.017188
06/21/1973,0.0,0.0,0.017188
06/22/1973,0.0,0.0,0.017188
06/25/1973,0.0,0.0,0.017188
06/26/1973,0.0,0.0,0.017188
06/27/1973,0.0,0.0,0.017188
06/28/1973,0.0,0.0,0.017188
06/29/1973,0.0,0.0,0.017188
07/02/1973,0.0,0.0,0.017188
07/03/1973,0.0,0.0,0.017188
07/05/1973,0.0,0.0,0.017188
07/06/1973,0.0,0.0,0.017188
07/09/1973,0.0,0.0,0.017188
07/10/1973,0.0,0.0,0.017188
07/11/1973,0.0,0.0,0.017188
07/12/1973,0.0,0.0,0.017188
07/13/1973,0.0,0.0,0.017188
07/16/1973,0.0,0.0,0.017188
07/17/1973,0.0,0.0,0.017188
07/18/1973,0.0,0.0,0.017188
07/19/1973,0.0,0.0,0.017188
07/20/1973,0.0,0.0,0.017188
07/23/1973,0.0,0.0,0.017188
07/24/1973,0.0,0.0,0.017188
07/25/1973,0.0,0.0,0.017188
07/26/1973,0.0,0.0,0.017188
07/27/1973,0.0,0.0,0.017188
07/30/1973,0.0,0.0,0.017188
07/31/1973,0.0,0.0,0.017188
08/01/1973,0.0,0.0,0.017188
08/02/1973,0.0,0.0,0.017188
08/03/1973,0.0,0.0,0.017188
08/06/1973,0.0,0.0,0.017188
08/07/1973,0.0,0.0,0.017188
08/08/1973,0.0,0.0,0.017188
08/09/1973,0.0,0.0,0.017188
08/10/1973,0.0,0.0,0.017188
08/13/1973,0.0,0.0,0.017188
08/14/1973,0.0,0.0,0.017188
08/15/1973,0.0,0.0,0.017188
08/16/1973,0.0,0.0,0.017188
08/17/1973,0.0,0.0,0.017188
08/20/1973,0.0,0.0,0.017188
08/21/1973,0.0,0.0,0.017188
08/22/1973,0.0,0.0,0.017188
08/23/1973,0.0,0.0,0.017188
08/24/1973,0.0,0.0,0.017188
08/27/1973,0.0,0.0,0.017188
08/28/1973,0.0,0.0,0.017188
