NEXTX,Shelton Green Alpha Fd,
Date,Price,Dividend,Annualized Dividend
03/14/2013,9.758479118347168,0.0,0.0
03/15/2013,9.709977149963379,0.0,0.0
03/18/2013,9.661476135253906,0.0,0.0
03/21/2013,9.680875778198242,0.0,0.0
03/25/2013,9.690576553344727,0.0,0.0
03/26/2013,9.719677925109863,0.0,0.0
04/01/2013,9.651776313781738,0.0,0.0
04/02/2013,9.612975120544434,0.0,0.0
04/03/2013,9.477170944213867,0.0,0.0
04/04/2013,9.554773330688477,0.0,0.0
04/05/2013,9.515972137451172,0.0,0.0
04/08/2013,9.593574523925781,0.0,0.0
04/09/2013,9.826380729675293,0.0,0.0
04/10/2013,9.933083534240723,0.0,0.0
04/11/2013,9.962185859680176,0.0,0.0
04/15/2013,9.632375717163086,0.0,0.0
04/16/2013,9.80698013305664,0.0,0.0
04/17/2013,9.56447219848633,0.0,0.0
04/19/2013,9.603273391723633,0.0,0.0
04/23/2013,9.83608150482178,0.0,0.0
04/24/2013,10.030086517333984,0.0,0.0
04/25/2013,10.117388725280762,0.0,0.0
04/26/2013,10.088287353515625,0.0,0.0
04/29/2013,10.233792304992676,0.0,0.0
04/30/2013,10.243492126464844,0.0,0.0
05/02/2013,10.175590515136717,0.0,0.0
05/03/2013,10.321094512939451,0.0,0.0
05/06/2013,10.427797317504881,0.0,0.0
05/07/2013,10.330795288085938,0.0,0.0
05/08/2013,10.447197914123535,0.0,0.0
05/09/2013,10.553901672363281,0.0,0.0
05/10/2013,10.728507041931154,0.0,0.0
05/13/2013,10.912811279296875,0.0,0.0
05/14/2013,10.932211875915527,0.0,0.0
05/15/2013,11.058314323425295,0.0,0.0
05/16/2013,11.038915634155272,0.0,0.0
05/17/2013,11.281421661376953,0.0,0.0
05/20/2013,11.533629417419434,0.0,0.0
05/21/2013,11.44632625579834,0.0,0.0
05/22/2013,11.2620210647583,0.0,0.0
05/23/2013,11.329923629760742,0.0,0.0
05/24/2013,11.378423690795897,0.0,0.0
05/28/2013,11.562729835510254,0.0,0.0
05/29/2013,11.456027030944824,0.0,0.0
05/30/2013,11.591830253601074,0.0,0.0
05/31/2013,11.397825241088867,0.0,0.0
06/04/2013,11.291122436523436,0.0,0.0
06/05/2013,11.174718856811525,0.0,0.0
06/07/2013,11.349323272705078,0.0,0.0
06/10/2013,11.553029060363768,0.0,0.0
06/11/2013,11.339622497558594,0.0,0.0
06/12/2013,11.184417724609375,0.0,0.0
06/13/2013,11.310522079467773,0.0,0.0
06/18/2013,11.523929595947267,0.0,0.0
06/19/2013,11.388125419616697,0.0,0.0
06/20/2013,11.068014144897461,0.0,0.0
06/24/2013,10.815807342529297,0.0,0.0
06/25/2013,11.048614501953125,0.0,0.0
06/26/2013,11.106816291809082,0.0,0.0
06/27/2013,11.223218917846678,0.0,0.0
07/01/2013,11.359023094177248,0.0,0.0
07/09/2013,11.543329238891602,0.0,0.0
07/10/2013,11.64033317565918,0.0,0.0
07/11/2013,11.88283920288086,0.0,0.0
07/12/2013,11.970142364501953,0.0,0.0
07/15/2013,12.144746780395508,0.0,0.0
07/16/2013,12.018643379211426,0.0,0.0
07/17/2013,12.076845169067381,0.0,0.0
07/18/2013,12.105944633483887,0.0,0.0
07/22/2013,12.173847198486328,0.0,0.0
07/24/2013,12.047744750976562,0.0,0.0
07/26/2013,12.164146423339844,0.0,0.0
07/29/2013,12.086545944213867,0.0,0.0
07/30/2013,12.125345230102539,0.0,0.0
08/02/2013,12.19324779510498,0.0,0.0
08/05/2013,12.309650421142578,0.0,0.0
08/07/2013,11.921640396118164,0.0,0.0
08/08/2013,12.008943557739258,0.0,0.0
08/09/2013,12.028343200683594,0.0,0.0
08/12/2013,12.0671443939209,0.0,0.0
08/15/2013,11.611230850219727,0.0,0.0
08/16/2013,11.669432640075684,0.0,0.0
08/20/2013,11.620930671691895,0.0,0.0
08/21/2013,11.650032997131348,0.0,0.0
08/22/2013,11.863437652587889,0.0,0.0
08/23/2013,11.941040992736816,0.0,0.0
08/26/2013,11.90224075317383,0.0,0.0
08/27/2013,11.601531028747557,0.0,0.0
08/29/2013,11.717934608459473,0.0,0.0
09/05/2013,11.834338188171387,0.0,0.0
09/06/2013,11.795536994934084,0.0,0.0
09/09/2013,11.979842185974121,0.0,0.0
09/10/2013,12.183547973632812,0.0,0.0
09/12/2013,12.05744457244873,0.0,0.0
09/13/2013,12.115644454956055,0.0,0.0
09/17/2013,12.251448631286621,0.0,0.0
09/18/2013,12.416354179382322,0.0,0.0
09/19/2013,12.474555969238281,0.0,0.0
09/20/2013,12.435754776000977,0.0,0.0
09/23/2013,12.358152389526367,0.0,0.0
09/24/2013,12.464856147766113,0.0,0.0
09/25/2013,12.561857223510742,0.0,0.0
09/26/2013,12.590959548950195,0.0,0.0
09/27/2013,12.581259727478027,0.0,0.0
10/01/2013,12.755864143371582,0.0,0.0
10/02/2013,12.717062950134277,0.0,0.0
10/03/2013,12.639460563659668,0.0,0.0
10/04/2013,12.746164321899414,0.0,0.0
10/07/2013,12.678260803222656,0.0,0.0
10/08/2013,12.48425579071045,0.0,0.0
10/09/2013,12.455156326293947,0.0,0.0
10/10/2013,12.72676372528076,0.0,0.0
10/11/2013,12.940169334411623,0.0,0.0
10/14/2013,13.037171363830566,0.0,0.0
10/16/2013,13.134175300598145,0.0,0.0
10/17/2013,13.221476554870607,0.0,0.0
10/18/2013,13.473684310913086,0.0,0.0
10/21/2013,13.493083953857424,0.0,0.0
10/22/2013,13.560986518859865,0.0,0.0
10/23/2013,13.396082878112793,0.0,0.0
10/24/2013,13.502784729003906,0.0,0.0
10/28/2013,13.415482521057127,0.0,0.0
10/29/2013,13.570687294006348,0.0,0.0
10/30/2013,13.405781745910645,0.0,0.0
11/04/2013,13.832594871520996,0.0,0.0
11/05/2013,13.8713960647583,0.0,0.0
11/06/2013,13.735590934753418,0.0,0.0
11/07/2013,13.357280731201172,0.0,0.0
11/08/2013,13.61918830871582,0.0,0.0
11/11/2013,13.74529266357422,0.0,0.0
11/12/2013,13.648289680480957,0.0,0.0
11/13/2013,13.84229564666748,0.0,0.0
11/14/2013,13.861695289611816,0.0,0.0
11/15/2013,13.919898033142092,0.0,0.0
11/18/2013,13.764692306518556,0.0,0.0
11/19/2013,13.551286697387694,0.0,0.0
11/20/2013,13.531886100769043,0.0,0.0
11/25/2013,13.63858890533447,0.0,0.0
11/26/2013,13.72589111328125,0.0,0.0
12/02/2013,13.706491470336914,0.0,0.0
12/04/2013,13.71619129180908,0.0,0.0
12/05/2013,13.687090873718262,0.0,0.0
12/10/2013,13.677390098571776,0.0,0.0
12/11/2013,13.425182342529295,0.0,0.0
12/13/2013,13.454283714294432,0.0,0.0
12/17/2013,13.754992485046387,0.0,0.0
12/19/2013,13.900496482849121,0.0,0.0
12/20/2013,13.9975004196167,0.0,0.0
12/23/2013,14.143003463745117,0.0,0.0
12/24/2013,14.181804656982422,0.0,0.0
12/26/2013,14.249706268310547,0.0,0.0
12/27/2013,14.2691068649292,0.0,0.0
12/30/2013,14.356409072875977,0.0,0.0
12/31/2013,14.395210266113281,0.0,0.0
01/02/2014,14.501914024353027,0.0,0.0
01/03/2014,14.540714263916016,0.0,0.0
01/06/2014,14.434011459350588,0.0,0.0
01/07/2014,14.695919036865234,0.0,0.0
01/08/2014,14.744421005249023,0.0,0.0
01/09/2014,14.686219215393066,0.0,0.0
01/10/2014,14.754121780395508,0.0,0.0
01/13/2014,14.463112831115724,0.0,0.0
01/14/2014,14.822022438049318,0.0,0.0
01/15/2014,15.045129776000975,0.0,0.0
01/16/2014,15.180933952331543,0.0,0.0
01/17/2014,15.083930969238281,0.0,0.0
01/21/2014,15.151832580566406,0.0,0.0
01/22/2014,15.239135742187502,0.0,0.0
01/23/2014,15.03542900085449,0.0,0.0
01/24/2014,14.482513427734377,0.0,0.0
01/27/2014,14.298206329345705,0.0,0.0
01/28/2014,14.569815635681154,0.0,0.0
01/30/2014,14.618317604064943,0.0,0.0
01/31/2014,14.472812652587889,0.0,0.0
02/03/2014,13.94899845123291,0.0,0.0
02/04/2014,14.104202270507812,0.0,0.0
02/06/2014,14.113903045654299,0.0,0.0
02/07/2014,14.327309608459473,0.0,0.0
02/10/2014,14.385510444641112,0.0,0.0
02/11/2014,14.443712234497072,0.0,0.0
02/12/2014,14.521314620971681,0.0,0.0
02/13/2014,14.676519393920898,0.0,0.0
02/14/2014,14.666817665100098,0.0,0.0
02/18/2014,14.928727149963379,0.0,0.0
02/19/2014,14.734720230102539,0.0,0.0
02/20/2014,14.93842601776123,0.0,0.0
02/21/2014,14.851123809814453,0.0,0.0
02/25/2014,15.113031387329102,0.0,0.0
02/27/2014,15.316737174987793,0.0,0.0
02/28/2014,15.277935981750488,0.0,0.0
03/03/2014,15.093630790710447,0.0,0.0
03/04/2014,15.588343620300293,0.0,0.0
