NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
10/09/1991,2.330735921859741,0.0,0.0
10/10/1991,2.330735921859741,0.0,0.0
10/11/1991,2.330735921859741,0.0,0.0
10/14/1991,2.330735921859741,0.0,0.0
10/15/1991,2.3307381239804355,0.0,0.0
10/16/1991,2.3593361377716064,0.0,0.0
10/17/1991,2.359335015633863,0.0,0.0
10/18/1991,2.3879330158233643,0.0,0.0
10/21/1991,2.3879332731409773,0.0,0.0
10/22/1991,2.345036268234253,0.0,0.0
10/23/1991,2.345036268234253,0.0,0.0
10/24/1991,2.345034915245384,0.0,0.0
10/25/1991,2.330735921859741,0.0,0.0
10/28/1991,2.330735921859741,0.0,0.0
10/29/1991,2.330735921859741,0.0,0.0
10/30/1991,2.330735921859741,0.0,0.0
10/31/1991,2.330735921859741,0.0,0.0
11/01/1991,2.330735921859741,0.0,0.0
11/04/1991,2.3164368445828836,0.0,0.0
11/05/1991,2.316438913345337,0.0,0.0
11/06/1991,2.330735921859741,0.0,0.0
11/07/1991,2.3307372665986783,0.0,0.0
11/08/1991,2.3593346253935112,0.0,0.0
11/11/1991,2.373633623123169,0.0,0.0
11/12/1991,2.373633623123169,0.0,0.0
11/13/1991,2.373633623123169,0.0,0.0
11/14/1991,2.3736340157286135,0.0,0.0
11/15/1991,2.3879330158233643,0.0,0.0
11/18/1991,2.373633623123169,0.0,0.0
11/19/1991,2.373633623123169,0.0,0.0
11/20/1991,2.373633623123169,0.0,0.0
11/21/1991,2.3736340157286135,0.0,0.0
11/22/1991,2.3879319840953466,0.0,0.0
11/25/1991,2.402232085459331,0.0,0.0
11/26/1991,2.4308300018310547,0.0,0.0
11/27/1991,2.4308300018310547,0.0,0.0
11/29/1991,2.430829918175413,0.0,0.0
12/02/1991,2.416529971928824,0.0,0.0
12/03/1991,2.416530918656734,0.0,0.0
12/04/1991,2.445128917694092,0.0,0.0
12/05/1991,2.4451290869853906,0.0,0.0
12/06/1991,2.402230978012085,0.0,0.0
12/09/1991,2.402230978012085,0.0,0.0
12/10/1991,2.402230978012085,0.0,0.0
12/11/1991,2.402230978012085,0.0,0.0
12/12/1991,2.402230978012085,0.0,0.0
12/13/1991,2.402230978012085,0.0,0.0
12/16/1991,2.402232001809513,0.0,0.0
12/17/1991,2.4308300018310547,0.0,0.0
12/18/1991,2.445128917694092,0.0,0.0
12/19/1991,2.445128917694092,0.0,0.0
12/20/1991,2.4594284619899156,0.0,0.0
12/23/1991,2.488025267015804,0.0,0.0
12/24/1991,2.551026488172597,0.42,0.42
12/26/1991,2.536449004027803,0.0,0.42
12/27/1991,2.580179524421692,0.0,0.42
12/30/1991,2.6384903801248427,0.0,0.42
12/31/1991,2.7551081702113156,0.0,0.42
01/02/1992,2.7988387191851523,0.0,0.42
01/03/1992,2.8134173378348355,0.0,0.42
01/06/1992,2.7988417405348556,0.0,0.42
01/07/1992,2.8425727815044173,0.0,0.42
01/08/1992,2.857150943462665,0.0,0.42
01/09/1992,2.857150077819824,0.0,0.42
01/10/1992,2.857148272131905,0.0,0.42
01/13/1992,2.886304234739524,0.0,0.42
01/14/1992,2.90088152885437,0.0,0.42
01/15/1992,2.900881673350479,0.0,0.42
01/16/1992,2.886304378509522,0.0,0.42
01/17/1992,2.886304234739524,0.0,0.42
01/20/1992,2.90088152885437,0.0,0.42
01/21/1992,2.9008801334400465,0.0,0.42
01/22/1992,2.871725559234619,0.0,0.42
01/23/1992,2.871725559234619,0.0,0.42
01/24/1992,2.8717270836685644,0.0,0.42
01/27/1992,2.886304670450639,0.0,0.42
01/28/1992,2.857150077819824,0.0,0.42
01/29/1992,2.857150077819824,0.0,0.42
01/30/1992,2.857150943462665,0.0,0.42
01/31/1992,2.8279946297407155,0.0,0.42
02/03/1992,2.7842623196150127,0.0,0.42
02/04/1992,2.784264326095581,0.0,0.42
02/05/1992,2.7988400459289555,0.0,0.42
02/06/1992,2.7988387191851523,0.0,0.42
02/07/1992,2.813416818982547,0.0,0.42
02/10/1992,2.82799634199876,0.0,0.42
02/11/1992,2.842573642730713,0.0,0.42
02/12/1992,2.8425727815044173,0.0,0.42
02/13/1992,2.8571486866351252,0.0,0.42
02/14/1992,2.82799548518901,0.0,0.42
02/18/1992,2.857150943462665,0.0,0.42
02/19/1992,2.8279932891766646,0.0,0.42
02/20/1992,2.7988396092465053,0.0,0.42
02/21/1992,2.7696866080874485,0.0,0.42
02/24/1992,2.755108306484838,0.0,0.42
02/25/1992,2.7113764286041264,0.0,0.42
02/26/1992,2.72595372123103,0.0,0.42
02/27/1992,2.72595372123103,0.0,0.42
02/28/1992,2.725954055786133,0.0,0.42
03/02/1992,2.7113767613701643,0.0,0.42
03/03/1992,2.7405313502021014,0.0,0.42
03/04/1992,2.725954347043424,0.0,0.42
03/05/1992,2.6967994669541957,0.0,0.42
03/06/1992,2.7113767613701643,0.0,0.42
03/09/1992,2.725954055786133,0.0,0.42
03/10/1992,2.696800620659538,0.0,0.42
03/11/1992,2.6676444037929996,0.0,0.42
03/12/1992,2.682223320007324,0.0,0.42
03/13/1992,2.696800620659538,0.0,0.42
03/16/1992,2.755109823268393,0.0,0.42
03/17/1992,2.682222459122941,0.0,0.42
03/18/1992,2.696799755096435,0.0,0.42
03/19/1992,2.682223320007324,0.0,0.42
03/20/1992,2.682222459122941,0.0,0.42
03/23/1992,2.682222459122941,0.0,0.42
03/24/1992,2.6967991359772223,0.0,0.42
03/25/1992,2.696478904922152,0.5,0.9199999999999999
03/26/1992,2.711376905441284,0.0,0.9199999999999999
03/27/1992,2.6666834354400635,0.0,0.9199999999999999
03/30/1992,2.66668361324375,0.0,0.9199999999999999
03/31/1992,2.651786565780639,0.0,0.9199999999999999
04/01/1992,2.6517859394267456,0.0,0.9199999999999999
04/02/1992,2.651785762616376,0.0,0.9199999999999999
04/03/1992,2.6666842431164857,0.0,0.9199999999999999
04/06/1992,2.6368871561505576,0.0,0.9199999999999999
04/07/1992,2.636888265609741,0.0,0.9199999999999999
04/08/1992,2.6219894886016846,0.0,0.9199999999999999
04/09/1992,2.607093665791654,0.0,0.9199999999999999
04/10/1992,2.5921963691711425,0.0,0.9199999999999999
04/13/1992,2.5921931425730387,0.0,0.9199999999999999
04/14/1992,2.681581287060754,0.0,0.9199999999999999
04/15/1992,2.636888888444793,0.0,0.9199999999999999
04/16/1992,2.666681451267666,0.0,0.9199999999999999
04/20/1992,2.666681451267666,0.0,0.9199999999999999
04/21/1992,2.6666834354400635,0.0,0.9199999999999999
04/22/1992,2.681581920452332,0.0,0.9199999999999999
04/23/1992,2.6666834354400635,0.0,0.9199999999999999
04/24/1992,2.651786565780639,0.0,0.9199999999999999
04/27/1992,2.6666842431164857,0.0,0.9199999999999999
04/28/1992,2.651784823699431,0.0,0.9199999999999999
04/29/1992,2.651786565780639,0.0,0.9199999999999999
04/30/1992,2.6219894886016846,0.0,0.9199999999999999
05/01/1992,2.6219894886016846,0.0,0.9199999999999999
05/04/1992,2.6219905917927373,0.0,0.9199999999999999
05/05/1992,2.6666832615657405,0.0,0.9199999999999999
05/06/1992,2.7262736895810002,0.0,0.9199999999999999
05/07/1992,2.741171360015869,0.0,0.9199999999999999
05/08/1992,2.726274251937866,0.0,0.9199999999999999
05/11/1992,2.7411714266705256,0.0,0.9199999999999999
05/12/1992,2.800762502904882,0.0,0.9199999999999999
05/13/1992,2.785864655933683,0.0,0.9199999999999999
