NLY,Annaly Capital Management Inc,
Date,Price,Dividend,Annualized Dividend
10/08/1997,0.8298111826476484,0.0,0.0
10/09/1997,0.8020182760750375,0.0,0.0
10/10/1997,0.8099592328071594,0.0,0.0
10/13/1997,0.8099594863493051,0.0,0.0
10/14/1997,0.7980478459866203,0.0,0.0
10/15/1997,0.786136684106223,0.0,0.0
10/16/1997,0.7980478459866203,0.0,0.0
10/17/1997,0.7861368127015173,0.0,0.0
10/20/1997,0.7821669578552246,0.0,0.0
10/21/1997,0.7821669578552246,0.0,0.0
10/22/1997,0.7781959095192914,0.0,0.0
10/23/1997,0.770255214224259,0.0,0.0
10/24/1997,0.7623144388198853,0.0,0.0
10/27/1997,0.7623148887388168,0.0,0.0
10/28/1997,0.7305512277703536,0.0,0.0
10/29/1997,0.7345221320371977,0.0,0.0
10/30/1997,0.7384920019852488,0.0,0.0
10/31/1997,0.7583439375224866,0.0,0.0
11/03/1997,0.7583441070324398,0.0,0.0
11/04/1997,0.7623145088316903,0.0,0.0
11/05/1997,0.7504033446311951,0.0,0.0
11/06/1997,0.7464331433097309,0.0,0.0
11/07/1997,0.7384920225038634,0.0,0.0
11/10/1997,0.7305512021888386,0.0,0.0
11/11/1997,0.7067289325778044,0.0,0.0
11/12/1997,0.7106994706041673,0.0,0.0
11/13/1997,0.6829070501160204,0.0,0.0
11/14/1997,0.6829068874884509,0.0,0.0
11/17/1997,0.6590845068780388,0.0,0.0
11/18/1997,0.6590845256016172,0.0,0.0
11/19/1997,0.6908473325046626,0.0,0.0
11/20/1997,0.6987883486066546,0.0,0.0
11/21/1997,0.6987883486066546,0.0,0.0
11/24/1997,0.6948178472546485,0.0,0.0
11/25/1997,0.6908475300844977,0.0,0.0
11/26/1997,0.6829070501160204,0.0,0.0
11/28/1997,0.6789364180592603,0.0,0.0
12/01/1997,0.6829070501160204,0.0,0.0
12/02/1997,0.6868772465607216,0.0,0.0
12/03/1997,0.6948179716980735,0.0,0.0
12/04/1997,0.6749661093917341,0.0,0.0
12/05/1997,0.7186400412835858,0.0,0.0
12/08/1997,0.6987882349532464,0.0,0.0
12/09/1997,0.6829068919262254,0.0,0.0
12/10/1997,0.6670253319654637,0.0,0.0
12/11/1997,0.6590846827535919,0.0,0.0
12/12/1997,0.6551142930984497,0.0,0.0
12/15/1997,0.6511438071727752,0.0,0.0
12/16/1997,0.6352621753041338,0.0,0.0
12/17/1997,0.6590844252530266,0.0,0.0
12/18/1997,0.6749660450787771,0.0,0.0
12/19/1997,0.6670251333644625,0.0,0.0
12/22/1997,0.6829067538766299,0.0,0.0
12/23/1997,0.6749662809823391,0.0,0.0
12/24/1997,0.6670252680778503,0.0,0.0
12/26/1997,0.6590845584869385,0.0,0.0
12/29/1997,0.6652502320029519,0.22,0.22
12/30/1997,0.6693066463750952,0.0,0.22
12/31/1997,0.6814756312153556,0.0,0.22
01/02/1998,0.7220396654946464,0.0,0.22
01/05/1998,0.7098708258963179,0.0,0.22
01/06/1998,0.7058143019676208,0.0,0.22
01/07/1998,0.6814756565783398,0.0,0.22
01/08/1998,0.6733629892512066,0.0,0.22
01/09/1998,0.6652500457074269,0.0,0.22
01/12/1998,0.6733630595763037,0.0,0.22
01/13/1998,0.6652501821517944,0.0,0.22
01/14/1998,0.6611937786020884,0.0,0.22
01/15/1998,0.6652502616246542,0.0,0.22
01/16/1998,0.6774195508901463,0.0,0.22
01/20/1998,0.6977015733718872,0.0,0.22
01/21/1998,0.7017579883859868,0.0,0.22
01/22/1998,0.7017578777144937,0.0,0.22
01/23/1998,0.6814758777618408,0.0,0.22
01/26/1998,0.6814756565783398,0.0,0.22
01/27/1998,0.6652502616246542,0.0,0.22
01/28/1998,0.68958897562422,0.0,0.22
01/29/1998,0.6855323701574091,0.0,0.22
01/30/1998,0.68958897562422,0.0,0.22
02/02/1998,0.693645179271698,0.0,0.22
02/03/1998,0.6895888022992803,0.0,0.22
02/04/1998,0.6895884363488717,0.0,0.22
02/05/1998,0.7626036916460309,0.0,0.22
02/06/1998,0.7058143929431313,0.0,0.22
02/09/1998,0.7017579778682353,0.0,0.22
