ORC,"Orchid Island Capital, Inc.",
Date,Price,Dividend,Annualized Dividend
02/14/2013,3.9246355299325852,0.0,0.0
02/15/2013,3.9515164406890606,0.0,0.0
02/19/2013,4.0025898592276015,0.0,0.0
02/20/2013,3.9783976078033447,0.0,0.0
02/21/2013,3.951517127159344,0.0,0.0
02/22/2013,3.9407647097172473,0.0,0.0
02/25/2013,3.9515161283624574,0.0,0.0
02/26/2013,3.9273219667830714,0.0,0.0
02/27/2013,3.9622692169019427,0.0,0.0
02/28/2013,3.951515298738779,0.0,0.0
03/01/2013,3.9111949636639904,0.0,0.0
03/04/2013,3.8681841662104577,0.0,0.0
03/05/2013,3.8439923019390347,0.0,0.0
03/06/2013,3.8601201115955566,0.0,0.0
03/07/2013,3.8574328855555877,0.0,0.0
03/08/2013,3.892376565200205,0.0,0.0
03/11/2013,3.948828126265579,0.0,0.0
03/12/2013,3.884313796430884,0.0,0.0
03/13/2013,3.897754430770874,0.0,0.0
03/14/2013,3.8977542182718623,0.0,0.0
03/15/2013,3.873563381569605,0.0,0.0
03/18/2013,3.8036721149430313,0.0,0.0
03/19/2013,3.8574334877196423,0.0,0.0
03/20/2013,3.8439913084375634,0.0,0.0
03/21/2013,3.880498317032243,0.135,0.135
03/22/2013,3.8587889788554914,0.0,0.135
03/25/2013,3.8615035170846386,0.0,0.135
03/26/2013,3.8370799546309446,0.0,0.135
03/27/2013,3.799090091441183,0.0,0.135
03/28/2013,3.723107749253868,0.0,0.135
04/01/2013,3.7855222404135236,0.0,0.135
04/02/2013,3.771952772029156,0.0,0.135
04/03/2013,3.74210289207564,0.0,0.135
04/04/2013,3.7448167629495184,0.0,0.135
04/05/2013,3.7448165725375575,0.0,0.135
04/08/2013,3.79094709379104,0.0,0.135
04/09/2013,3.704111483188783,0.0,0.135
04/10/2013,3.725820950438821,0.0,0.135
04/11/2013,3.7746664830740535,0.0,0.135
04/12/2013,3.7529558914161223,0.0,0.135
04/15/2013,3.7149671766863137,0.0,0.135
