PBW,Invesco WilderHill Clean Energy,
Date,Price,Dividend,Annualized Dividend
03/03/2005,62.79249054512291,0.0,0.0
03/04/2005,63.034015016251,0.0,0.0
03/07/2005,63.31577820263544,0.0,0.0
03/08/2005,63.11451076921503,0.0,0.0
03/09/2005,62.389991563193824,0.0,0.0
03/10/2005,62.550979516781524,0.0,0.0
03/11/2005,61.30317836740848,0.0,0.0
03/14/2005,61.10193210767312,0.0,0.0
03/15/2005,61.665453533161,0.0,0.0
03/16/2005,60.860421645737055,0.0,0.0
03/17/2005,59.8138906466029,0.0,0.0
03/18/2005,60.45792307550394,0.0,0.0
03/21/2005,59.89437251981949,0.0,0.0
03/22/2005,59.693145229754656,0.0,0.0
03/23/2005,58.64659909431691,0.0,0.0
03/24/2005,58.48557842101677,0.0,0.0
03/28/2005,58.48559101876644,0.0,0.0
03/29/2005,57.761068525926746,0.0,0.0
03/30/2005,56.99627871544013,0.0,0.0
03/31/2005,57.68054319407788,0.0,0.0
04/01/2005,58.72708109379649,0.0,0.0
04/04/2005,58.16357040405273,0.0,0.0
04/05/2005,58.40509310071391,0.0,0.0
04/06/2005,58.64658237084072,0.0,0.0
04/07/2005,58.36484028942437,0.0,0.0
04/08/2005,59.16984698221787,0.0,0.0
04/11/2005,57.96232584241189,0.0,0.0
04/12/2005,56.43274868935819,0.0,0.0
04/13/2005,56.51325921571074,0.0,0.0
04/14/2005,55.38621778599912,0.0,0.0
04/15/2005,53.73588991450171,0.0,0.0
04/18/2005,52.810096987046606,0.0,0.0
04/19/2005,53.695645253411534,0.0,0.0
04/20/2005,54.50068598049587,0.0,0.0
04/21/2005,53.93714286906505,0.0,0.0
04/22/2005,54.500662079675486,0.0,0.0
04/25/2005,53.69564099275429,0.0,0.0
04/26/2005,53.534638985879596,0.0,0.0
04/27/2005,53.13212111900592,0.0,0.0
04/28/2005,52.729608240698475,0.0,0.0
04/29/2005,52.08557820725182,0.0,0.0
05/02/2005,52.08557488742709,0.0,0.0
05/03/2005,52.44784502994574,0.0,0.0
05/04/2005,52.81011043396832,0.0,0.0
05/05/2005,52.64910349517241,0.0,0.0
05/06/2005,52.930860839727266,0.0,0.0
05/09/2005,52.72960374940117,0.0,0.0
05/10/2005,53.09186299349278,0.0,0.0
05/11/2005,53.0516126239989,0.0,0.0
05/12/2005,52.97111577323377,0.0,0.0
05/13/2005,52.2465812370939,0.0,0.0
05/16/2005,51.6428108215332,0.0,0.0
05/17/2005,51.6428108215332,0.0,0.0
05/18/2005,52.00507532260755,0.0,0.0
05/19/2005,52.85035641197534,0.0,0.0
05/20/2005,52.64909660430529,0.0,0.0
05/23/2005,53.011365503547744,0.0,0.0
05/24/2005,52.48808873465391,0.0,0.0
05/25/2005,53.21260900946024,0.0,0.0
05/26/2005,53.89689017034149,0.0,0.0
05/27/2005,54.54091822981791,0.0,0.0
05/31/2005,54.78243028759826,0.0,0.0
06/01/2005,54.46041447355075,0.0,0.0
06/02/2005,54.29939803077951,0.0,0.0
06/03/2005,55.104441072392746,0.0,0.0
06/06/2005,54.581172286750224,0.0,0.0
06/07/2005,54.58118690461506,0.0,0.0
06/08/2005,54.33966370131098,0.0,0.0
06/09/2005,53.93714581926599,0.0,0.0
06/10/2005,54.903193046667205,0.0,0.0
06/13/2005,54.903184799096465,0.0,0.0
06/14/2005,55.667961600288265,0.0,0.0
06/15/2005,56.754757518375506,0.0,0.0
06/16/2005,57.35853135378103,0.0,0.0
06/17/2005,58.244082249120495,0.0,0.0
06/20/2005,58.88810704429324,0.0,0.0
06/21/2005,59.53212283720218,0.0,0.0
06/22/2005,59.73339013584447,0.0,0.0
06/23/2005,59.00885795446388,0.0,0.0
06/24/2005,58.84785748630815,0.0,0.0
06/27/2005,58.686832841572716,0.0,0.0
06/28/2005,59.049097355287316,0.0,0.0
06/29/2005,60.256650278844965,0.0,0.0
06/30/2005,59.612641825064294,0.0,0.0
07/01/2005,59.16985297259775,0.0,0.0
07/05/2005,58.64658537122138,0.0,0.0
07/06/2005,59.57237125409944,0.0,0.0
07/07/2005,58.28432917401128,0.0,0.0
07/08/2005,59.12959932879233,0.0,0.0
07/11/2005,60.216411841880706,0.0,0.0
07/12/2005,60.53840134747683,0.0,0.0
07/13/2005,60.53842163085937,0.0,0.0
07/14/2005,60.94093073261601,0.0,0.0
07/15/2005,60.618909043856874,0.0,0.0
07/18/2005,60.135893199111706,0.0,0.0
07/19/2005,60.659166766512236,0.0,0.0
07/20/2005,61.3837013766907,0.0,0.0
07/21/2005,61.98747179715439,0.0,0.0
07/22/2005,61.74596381497925,0.0,0.0
07/25/2005,62.2692368464629,0.0,0.0
07/26/2005,63.07427964209685,0.0,0.0
07/27/2005,63.83904585310153,0.0,0.0
07/28/2005,64.72456359863281,0.0,0.0
07/29/2005,64.36232534996806,0.0,0.0
08/01/2005,64.28180675843957,0.0,0.0
08/02/2005,64.6843447992403,0.0,0.0
08/03/2005,64.64407128706429,0.0,0.0
08/04/2005,64.6038040938061,0.0,0.0
08/05/2005,63.35602947993135,0.0,0.0
08/08/2005,63.1547658689511,0.0,0.0
08/09/2005,63.55728478867121,0.0,0.0
08/10/2005,63.91955156368927,0.0,0.0
08/11/2005,62.83276077856361,0.0,0.0
08/12/2005,63.235273893769715,0.0,0.0
08/15/2005,62.59125094142418,0.0,0.0
08/16/2005,62.51074141628197,0.0,0.0
08/17/2005,61.625208959869994,0.0,0.0
08/18/2005,61.58495574652351,0.0,0.0
08/19/2005,62.02772340303122,0.0,0.0
08/22/2005,62.79250711301148,0.0,0.0
08/23/2005,62.26924552010088,0.0,0.0
08/24/2005,63.19501473970503,0.0,0.0
08/25/2005,65.32834742221783,0.0,0.0
08/26/2005,64.72456714582736,0.0,0.0
08/29/2005,65.4893554308766,0.0,0.0
08/30/2005,66.73717328523425,0.0,0.0
08/31/2005,68.42773638518572,0.0,0.0
09/01/2005,70.40006742343371,0.0,0.0
09/02/2005,70.35982093314578,0.0,0.0
09/06/2005,70.07803722035669,0.0,0.0
09/07/2005,70.40005134024985,0.0,0.0
09/08/2005,70.88307207164465,0.0,0.0
09/09/2005,72.25162900926136,0.0,0.0
09/12/2005,73.98244835671812,0.0,0.0
09/13/2005,73.57992930850772,0.0,0.0
09/14/2005,73.45920954810248,0.0,0.0
09/15/2005,72.57364668441568,0.0,0.0
09/16/2005,72.4528977379999,0.0,0.0
09/19/2005,70.64154828585801,0.0,0.0
09/20/2005,72.45287750339499,0.0,0.0
09/21/2005,70.40004053554492,0.0,0.0
09/22/2005,68.78999182502626,0.0,0.0
09/23/2005,68.10570911831151,0.0,0.0
09/26/2005,69.31327031949814,0.0,0.0
09/27/2005,69.75600569413177,0.0,0.0
09/28/2005,69.83654297610495,0.0,0.0
09/29/2005,69.3937449331246,0.0,0.0
09/30/2005,70.48056042757501,0.0,0.0
10/03/2005,71.40635094397209,0.0,0.0
10/04/2005,72.05034955162502,0.0,0.0
10/05/2005,70.84281822190702,0.0,0.0
10/06/2005,68.58872752846378,0.0,0.0
10/07/2005,67.05917156203718,0.0,0.0
10/10/2005,67.05919441071826,0.0,0.0
10/11/2005,65.20761051912662,0.0,0.0
10/12/2005,63.27550227971484,0.0,0.0
10/13/2005,62.06798371371194,0.0,0.0
10/14/2005,62.4704948880752,0.0,0.0
10/17/2005,63.07427641176901,0.0,0.0
10/18/2005,62.9132609008841,0.0,0.0
10/19/2005,61.82647284006065,0.0,0.0
10/20/2005,62.913257450975465,0.0,0.0
10/21/2005,62.43025190241011,0.0,0.0
10/24/2005,62.63150391194015,0.0,0.0
10/25/2005,63.195015373132364,0.0,0.0
10/26/2005,62.83275624760906,0.0,0.0
10/27/2005,62.02772607993785,0.0,0.0
10/28/2005,60.77992111075093,0.0,0.0
10/31/2005,61.06168551488682,0.0,0.0
11/01/2005,62.389997834140814,0.0,0.0
11/02/2005,61.66545326310826,0.0,0.0
