PDB,PDB,
Date,Price,Dividend,Annualized Dividend
08/03/2015,17272.69921875,0.0,0.0
08/04/2015,15909.099609375,0.0,0.0
08/05/2015,16181.7998046875,0.0,0.0
08/06/2015,16272.7001953125,0.0,0.0
08/07/2015,15909.099609375,0.0,0.0
08/10/2015,15272.7001953125,0.0,0.0
08/11/2015,15454.5,0.0,0.0
08/12/2015,15545.5,0.0,0.0
08/13/2015,15727.2998046875,0.0,0.0
08/14/2015,15727.2998046875,0.0,0.0
08/17/2015,15454.5,0.0,0.0
08/18/2015,15454.5,0.0,0.0
08/19/2015,15454.5,0.0,0.0
08/20/2015,15636.400390625,0.0,0.0
08/21/2015,15545.5,0.0,0.0
08/24/2015,15545.5,0.0,0.0
08/25/2015,14727.2998046875,0.0,0.0
08/26/2015,14727.2998046875,0.0,0.0
08/27/2015,14909.099609375,0.0,0.0
08/28/2015,15000.0,0.0,0.0
08/31/2015,14909.099609375,0.0,0.0
09/01/2015,15090.900390625,0.0,0.0
09/02/2015,15000.0,0.0,0.0
09/03/2015,15090.900390625,0.0,0.0
09/04/2015,15090.900390625,0.0,0.0
09/08/2015,15454.5,0.0,0.0
09/09/2015,15545.5,0.0,0.0
09/10/2015,15454.5,0.0,0.0
09/11/2015,15454.5,0.0,0.0
09/14/2015,15454.5,0.0,0.0
09/15/2015,15909.099609375,0.0,0.0
09/16/2015,15727.2998046875,0.0,0.0
09/17/2015,15636.400390625,0.0,0.0
09/18/2015,15727.2998046875,0.0,0.0
09/21/2015,15727.2998046875,0.0,0.0
09/22/2015,15636.400390625,0.0,0.0
09/23/2015,15818.2001953125,0.0,0.0
09/24/2015,16000.0,0.0,0.0
09/25/2015,16181.7998046875,0.0,0.0
09/28/2015,16454.5,0.0,0.0
09/29/2015,16909.099609375,0.0,0.0
09/30/2015,16909.099609375,0.0,0.0
10/01/2015,17545.5,0.0,0.0
10/02/2015,19545.5,0.0,0.0
10/05/2015,19545.5,0.0,0.0
10/06/2015,19000.0,0.0,0.0
10/07/2015,19363.599609375,0.0,0.0
10/08/2015,19090.900390625,0.0,0.0
10/09/2015,19272.69921875,0.0,0.0
10/12/2015,19090.900390625,0.0,0.0
10/13/2015,18909.099609375,0.0,0.0
10/14/2015,19181.80078125,0.0,0.0
10/15/2015,19363.599609375,0.0,0.0
10/16/2015,19272.69921875,0.0,0.0
10/19/2015,19454.5,0.0,0.0
10/20/2015,20000.0,0.0,0.0
10/21/2015,21181.80078125,0.0,0.0
10/22/2015,20000.0,0.0,0.0
10/23/2015,20000.0,0.0,0.0
10/26/2015,20454.5,0.0,0.0
10/27/2015,20545.5,0.0,0.0
10/28/2015,20818.19921875,0.0,0.0
10/29/2015,20818.19921875,0.0,0.0
10/30/2015,20909.099609375,0.0,0.0
11/02/2015,20636.400390625,0.0,0.0
11/03/2015,20363.599609375,0.0,0.0
11/04/2015,20727.30078125,0.0,0.0
11/05/2015,22545.5,0.0,0.0
11/06/2015,23000.0,0.0,0.0
11/09/2015,21818.19921875,0.0,0.0
11/10/2015,21272.69921875,0.0,0.0
11/11/2015,20363.599609375,0.0,0.0
11/12/2015,20636.400390625,0.0,0.0
11/13/2015,20181.80078125,0.0,0.0
11/16/2015,20090.900390625,0.0,0.0
11/17/2015,20454.5,0.0,0.0
11/18/2015,20545.5,0.0,0.0
11/19/2015,20454.5,0.0,0.0
11/20/2015,20454.5,0.0,0.0
11/23/2015,20545.5,0.0,0.0
11/24/2015,20636.400390625,0.0,0.0
11/25/2015,20545.5,0.0,0.0
11/27/2015,20727.30078125,0.0,0.0
11/30/2015,20636.400390625,0.0,0.0
12/01/2015,20636.400390625,0.0,0.0
12/02/2015,20636.400390625,0.0,0.0
12/03/2015,20909.099609375,0.0,0.0
12/04/2015,20727.30078125,0.0,0.0
12/07/2015,20454.5,0.0,0.0
12/08/2015,20545.5,0.0,0.0
12/09/2015,20727.30078125,0.0,0.0
12/10/2015,20636.400390625,0.0,0.0
12/11/2015,20272.69921875,0.0,0.0
12/14/2015,20272.69921875,0.0,0.0
12/15/2015,20000.0,0.0,0.0
12/16/2015,19090.900390625,0.0,0.0
12/17/2015,19818.19921875,0.0,0.0
12/18/2015,20363.599609375,0.0,0.0
12/21/2015,19363.599609375,0.0,0.0
12/22/2015,19363.599609375,0.0,0.0
12/23/2015,19454.5,0.0,0.0
12/24/2015,19363.599609375,0.0,0.0
