PEIX,"Pacific Ethanol, Inc.",
Date,Price,Annualized Dividend
03/24/2005,976.5,0.0
03/24/2005,1008.0,0.0
03/28/2005,1050.0,0.0
03/28/2005,1076.25,0.0
03/29/2005,1085.7,0.0
03/29/2005,1032.15,0.0
03/30/2005,1050.0,0.0
03/30/2005,1050.0,0.0
03/31/2005,1076.25,0.0
03/31/2005,1053.15,0.0
04/01/2005,1050.0,0.0
04/01/2005,1097.25,0.0
04/04/2005,1097.25,0.0
04/04/2005,1080.45,0.0
04/05/2005,1076.25,0.0
04/05/2005,1155.0,0.0
04/06/2005,1186.5,0.0
04/06/2005,1333.5,0.0
04/07/2005,1365.0,0.0
04/07/2005,1358.7,0.0
04/08/2005,1260.0,0.0
04/08/2005,1281.0,0.0
04/11/2005,1186.5,0.0
04/11/2005,1185.45,0.0
04/12/2005,1185.45,0.0
04/12/2005,1118.25,0.0
04/13/2005,1059.45,0.0
04/13/2005,1079.4,0.0
04/14/2005,1139.25,0.0
04/14/2005,1139.25,0.0
04/15/2005,1153.95,0.0
04/15/2005,1137.15,0.0
04/18/2005,1123.5,0.0
04/18/2005,1051.05,0.0
04/19/2005,1153.95,0.0
04/19/2005,1100.4,0.0
04/20/2005,1128.75,0.0
04/20/2005,1083.6,0.0
04/21/2005,1060.5,0.0
04/21/2005,953.4,0.0
04/22/2005,1035.3,0.0
04/22/2005,991.2,0.0
04/25/2005,970.2,0.0
04/25/2005,945.0,0.0
04/26/2005,846.3,0.0
04/26/2005,905.1,0.0
04/27/2005,772.8,0.0
04/27/2005,903.0,0.0
04/28/2005,924.0,0.0
04/28/2005,900.9,0.0
04/29/2005,924.0,0.0
04/29/2005,910.35,0.0
05/02/2005,910.35,0.0
05/02/2005,934.5,0.0
05/03/2005,976.5,0.0
05/03/2005,959.7,0.0
05/04/2005,940.8,0.0
05/04/2005,996.45,0.0
05/05/2005,1019.55,0.0
05/05/2005,1023.75,0.0
05/06/2005,1023.75,0.0
05/06/2005,1040.55,0.0
05/09/2005,1050.0,0.0
05/09/2005,1050.0,0.0
05/10/2005,1054.2,0.0
05/10/2005,1075.2,0.0
05/11/2005,1068.9,0.0
05/11/2005,1060.5,0.0
05/12/2005,1082.55,0.0
05/12/2005,1102.5,0.0
05/13/2005,1128.75,0.0
05/13/2005,1113.0,0.0
05/16/2005,1128.75,0.0
05/16/2005,1149.75,0.0
05/17/2005,1149.75,0.0
05/17/2005,1127.7,0.0
05/18/2005,1128.75,0.0
05/18/2005,1097.25,0.0
05/19/2005,1075.2,0.0
05/19/2005,1048.95,0.0
05/20/2005,1044.75,0.0
05/20/2005,1050.0,0.0
05/23/2005,1042.65,0.0
05/23/2005,1044.75,0.0
05/24/2005,1044.75,0.0
05/24/2005,1043.7,0.0
05/25/2005,1025.85,0.0
05/25/2005,1050.0,0.0
05/26/2005,1059.45,0.0
05/26/2005,1073.1,0.0
05/27/2005,1097.25,0.0
05/27/2005,1122.45,0.0
05/31/2005,1155.0,0.0
05/31/2005,1148.7,0.0
06/01/2005,1077.3,0.0
06/01/2005,1097.25,0.0
06/02/2005,1098.3,0.0
06/02/2005,1059.45,0.0
06/03/2005,1050.0,0.0
06/03/2005,1100.4,0.0
06/06/2005,1170.75,0.0
06/06/2005,1160.25,0.0
06/07/2005,1181.25,0.0
06/07/2005,1181.25,0.0
06/08/2005,1207.5,0.0
06/08/2005,1229.55,0.0
06/09/2005,1257.9,0.0
06/09/2005,1212.75,0.0
06/10/2005,1256.85,0.0
06/10/2005,1242.15,0.0
06/13/2005,1250.55,0.0
06/13/2005,1227.45,0.0
06/14/2005,1203.3,0.0
06/14/2005,1185.45,0.0
06/15/2005,1258.95,0.0
06/15/2005,1130.85,0.0
06/16/2005,1233.75,0.0
06/16/2005,1149.75,0.0
06/17/2005,1156.05,0.0
06/17/2005,1160.25,0.0
06/20/2005,1232.7,0.0
06/20/2005,1039.5,0.0
06/21/2005,1039.5,0.0
06/21/2005,959.7,0.0
06/22/2005,945.0,0.0
06/22/2005,960.75,0.0
06/23/2005,945.0,0.0
06/23/2005,976.5,0.0
06/24/2005,1036.35,0.0
06/24/2005,1000.65,0.0
06/27/2005,1074.15,0.0
06/27/2005,991.2,0.0
06/28/2005,951.3,0.0
06/28/2005,966.0,0.0
06/29/2005,946.05,0.0
06/29/2005,1010.1,0.0
06/30/2005,1018.5,0.0
06/30/2005,1046.85,0.0
07/01/2005,1044.75,0.0
07/01/2005,1048.95,0.0
07/05/2005,1048.95,0.0
07/05/2005,994.35,0.0
07/06/2005,1021.65,0.0
07/06/2005,995.4,0.0
07/07/2005,973.35,0.0
07/07/2005,960.75,0.0
07/08/2005,949.2,0.0
07/08/2005,962.85,0.0
07/11/2005,972.3,0.0
07/11/2005,992.25,0.0
07/12/2005,982.8,0.0
07/12/2005,972.3,0.0
07/13/2005,1019.55,0.0
07/13/2005,947.1,0.0
07/14/2005,997.5,0.0
07/14/2005,934.5,0.0
07/15/2005,939.75,0.0
07/15/2005,932.4,0.0
07/18/2005,897.75,0.0
07/18/2005,866.25,0.0
07/19/2005,822.15,0.0
07/19/2005,816.9,0.0
07/20/2005,817.95,0.0
07/20/2005,838.95,0.0
07/21/2005,837.9,0.0
07/21/2005,871.5,0.0
07/22/2005,868.35,0.0
07/22/2005,887.25,0.0
07/25/2005,888.3,0.0
07/25/2005,842.1,0.0
07/26/2005,873.6,0.0
07/26/2005,866.25,0.0
07/27/2005,857.85,0.0
07/27/2005,882.0,0.0
07/28/2005,882.0,0.0
07/28/2005,871.5,0.0
07/29/2005,857.85,0.0
07/29/2005,854.7,0.0
08/01/2005,850.5,0.0
08/01/2005,843.15,0.0
08/02/2005,843.15,0.0
08/02/2005,845.25,0.0
08/03/2005,864.15,0.0
08/03/2005,835.8,0.0
08/04/2005,852.6,0.0
08/04/2005,840.0,0.0
08/05/2005,850.5,0.0
08/05/2005,855.75,0.0
08/08/2005,892.5,0.0
08/08/2005,849.45,0.0
08/09/2005,840.0,0.0
08/09/2005,843.15,0.0
08/10/2005,829.5,0.0
08/10/2005,924.0,0.0
08/11/2005,939.75,0.0
08/11/2005,907.2,0.0
08/12/2005,971.25,0.0
08/12/2005,943.95,0.0
08/15/2005,946.05,0.0
08/15/2005,1004.85,0.0
08/16/2005,1013.25,0.0
08/16/2005,959.7,0.0
08/17/2005,946.05,0.0
08/17/2005,922.95,0.0
08/18/2005,907.2,0.0
08/18/2005,921.9,0.0
08/19/2005,925.05,0.0
08/19/2005,901.95,0.0
08/22/2005,884.1,0.0
08/22/2005,901.95,0.0
08/23/2005,927.15,0.0
08/23/2005,934.5,0.0
08/24/2005,934.5,0.0
08/24/2005,924.0,0.0
08/25/2005,961.8,0.0
08/25/2005,919.8,0.0
08/26/2005,904.05,0.0
08/26/2005,905.1,0.0
08/29/2005,934.5,0.0
08/29/2005,892.5,0.0
08/30/2005,901.95,0.0
08/30/2005,888.3,0.0
08/31/2005,874.65,0.0
08/31/2005,876.75,0.0
09/01/2005,877.8,0.0
09/01/2005,819.0,0.0
09/02/2005,813.75,0.0
09/02/2005,865.2,0.0
09/06/2005,866.25,0.0
09/06/2005,873.6,0.0
09/07/2005,876.75,0.0
09/07/2005,855.75,0.0
09/08/2005,855.75,0.0
09/08/2005,861.0,0.0
09/09/2005,876.75,0.0
09/09/2005,962.85,0.0
09/12/2005,985.95,0.0
09/12/2005,949.2,0.0
09/13/2005,950.25,0.0
09/13/2005,918.75,0.0
09/14/2005,910.35,0.0
09/14/2005,939.75,0.0
09/15/2005,945.0,0.0
09/15/2005,1011.15,0.0
09/16/2005,1008.0,0.0
09/16/2005,1026.9,0.0
09/19/2005,1018.5,0.0
09/19/2005,1092.0,0.0
09/20/2005,1121.4,0.0
09/20/2005,1064.7,0.0
09/21/2005,1087.8,0.0
09/21/2005,1085.7,0.0
09/22/2005,1122.45,0.0
09/22/2005,1146.6,0.0
09/23/2005,1176.0,0.0
09/23/2005,1173.9,0.0
09/26/2005,1205.4,0.0
09/26/2005,1176.0,0.0
09/27/2005,1207.5,0.0
09/27/2005,1111.95,0.0
09/28/2005,1081.5,0.0
09/28/2005,1029.0,0.0
09/29/2005,999.6,0.0
09/29/2005,1060.5,0.0
09/30/2005,1095.15,0.0
09/30/2005,1083.6,0.0
10/03/2005,1092.0,0.0
10/03/2005,1123.5,0.0
10/04/2005,1140.3,0.0
10/04/2005,1099.35,0.0
10/05/2005,1102.5,0.0
10/05/2005,1046.85,0.0
10/06/2005,1029.0,0.0
10/06/2005,966.0,0.0
10/07/2005,946.05,0.0
10/07/2005,1039.5,0.0
10/10/2005,1076.25,0.0
10/10/2005,984.9,0.0
10/11/2005,998.55,0.0
10/11/2005,940.8,0.0
10/12/2005,933.45,0.0
10/12/2005,872.55,0.0
10/13/2005,870.45,0.0
10/13/2005,912.45,0.0
10/14/2005,956.55,0.0
10/14/2005,911.4,0.0
10/17/2005,893.55,0.0
10/17/2005,940.8,0.0
10/18/2005,912.45,0.0
10/18/2005,911.4,0.0
10/19/2005,922.95,0.0
10/19/2005,900.9,0.0
10/20/2005,943.95,0.0
10/20/2005,891.45,0.0
10/21/2005,891.45,0.0
10/21/2005,809.55,0.0
10/24/2005,809.55,0.0
10/24/2005,857.85,0.0
10/25/2005,890.4,0.0
10/25/2005,911.4,0.0
10/26/2005,928.2,0.0
10/26/2005,981.75,0.0
10/27/2005,971.25,0.0
10/27/2005,945.0,0.0
10/28/2005,935.55,0.0
10/28/2005,950.25,0.0
10/31/2005,940.8,0.0
10/31/2005,939.75,0.0
11/01/2005,934.5,0.0
11/01/2005,936.6,0.0
11/02/2005,945.0,0.0
11/02/2005,945.0,0.0
11/03/2005,955.5,0.0
11/03/2005,971.25,0.0
11/04/2005,961.8,0.0
11/04/2005,952.35,0.0
11/07/2005,963.9,0.0
11/07/2005,959.7,0.0
11/08/2005,939.75,0.0
11/08/2005,956.55,0.0
11/09/2005,954.45,0.0
11/09/2005,956.55,0.0
11/10/2005,975.45,0.0
11/10/2005,991.2,0.0
11/11/2005,987.0,0.0
11/11/2005,977.55,0.0
11/14/2005,976.5,0.0
11/14/2005,943.95,0.0
11/15/2005,1006.95,0.0
11/15/2005,1060.5,0.0
11/16/2005,1065.75,0.0
11/16/2005,1081.5,0.0
11/17/2005,1092.0,0.0
11/17/2005,1242.15,0.0
11/18/2005,1287.3,0.0
11/18/2005,1242.15,0.0
11/21/2005,1262.1,0.0
11/21/2005,1377.6,0.0
11/22/2005,1391.25,0.0
11/22/2005,1362.9,0.0
11/23/2005,1388.1,0.0
11/23/2005,1358.7,0.0
11/25/2005,1359.75,0.0
11/25/2005,1389.15,0.0
11/28/2005,1412.25,0.0
11/28/2005,1415.4,0.0
11/29/2005,1443.75,0.0
11/29/2005,1184.4,0.0
11/30/2005,1182.3,0.0
11/30/2005,1130.85,0.0
12/01/2005,1150.8,0.0
12/01/2005,1109.85,0.0
12/02/2005,1109.85,0.0
12/02/2005,1166.55,0.0
12/05/2005,1206.45,0.0
12/05/2005,1047.9,0.0
12/06/2005,1065.75,0.0
12/06/2005,1039.5,0.0
12/07/2005,1050.0,0.0
12/07/2005,1042.65,0.0
12/08/2005,1044.75,0.0
12/08/2005,1050.0,0.0
12/09/2005,1055.25,0.0
12/09/2005,978.6,0.0
12/12/2005,995.4,0.0
12/12/2005,966.0,0.0
12/13/2005,991.2,0.0
12/13/2005,939.75,0.0
12/14/2005,946.05,0.0
12/14/2005,954.45,0.0
12/15/2005,984.9,0.0
12/15/2005,979.65,0.0
12/16/2005,1005.9,0.0
12/16/2005,1110.9,0.0
12/19/2005,1102.5,0.0
12/19/2005,1094.1,0.0
12/20/2005,1104.6,0.0
12/20/2005,1071.0,0.0
12/21/2005,1096.2,0.0
12/21/2005,1082.55,0.0
12/22/2005,1110.9,0.0
12/22/2005,1064.7,0.0
12/23/2005,1074.15,0.0
12/23/2005,1060.5,0.0
12/27/2005,1060.5,0.0
12/27/2005,1019.55,0.0
12/28/2005,1010.1,0.0
12/28/2005,1040.55,0.0
12/29/2005,1048.95,0.0
12/29/2005,1137.15,0.0
12/30/2005,1115.1,0.0
12/30/2005,1136.1,0.0
01/03/2006,1181.25,0.0
01/03/2006,1160.25,0.0
01/04/2006,1168.65,0.0
01/04/2006,1170.75,0.0
01/05/2006,1180.2,0.0
01/05/2006,1136.1,0.0
01/06/2006,1166.55,0.0
01/06/2006,1186.5,0.0
01/09/2006,1194.9,0.0
01/09/2006,1161.3,0.0
01/10/2006,1210.65,0.0
01/10/2006,1144.5,0.0
01/11/2006,1139.25,0.0
01/11/2006,1108.8,0.0
01/12/2006,1101.45,0.0
01/12/2006,1069.95,0.0
01/13/2006,1066.8,0.0
01/13/2006,1069.95,0.0
01/17/2006,1090.95,0.0
01/17/2006,1059.45,0.0
01/18/2006,1059.45,0.0
01/18/2006,1063.65,0.0
01/19/2006,1092.0,0.0
01/19/2006,1048.95,0.0
01/20/2006,1060.5,0.0
01/20/2006,1092.0,0.0
01/23/2006,1092.0,0.0
01/23/2006,1195.95,0.0
01/24/2006,1205.4,0.0
01/24/2006,1233.75,0.0
01/25/2006,1233.75,0.0
01/25/2006,1269.45,0.0
01/26/2006,1291.5,0.0
01/26/2006,1270.5,0.0
01/27/2006,1302.0,0.0
01/27/2006,1284.15,0.0
01/30/2006,1312.5,0.0
01/30/2006,1537.2,0.0
01/31/2006,1653.75,0.0
01/31/2006,1977.15,0.0
02/01/2006,1886.85,0.0
02/01/2006,1606.5,0.0
02/02/2006,1701.0,0.0
02/02/2006,1848.0,0.0
02/03/2006,1861.65,0.0
02/03/2006,1774.5,0.0
02/06/2006,1806.0,0.0
02/06/2006,1777.65,0.0
02/07/2006,1837.5,0.0
02/07/2006,1680.0,0.0
02/08/2006,1692.6,0.0
02/08/2006,1768.2,0.0
02/09/2006,1816.5,0.0
02/09/2006,1758.75,0.0
02/10/2006,1825.95,0.0
02/10/2006,1890.0,0.0
02/13/2006,1926.75,0.0
02/13/2006,2032.8,0.0
02/14/2006,2067.45,0.0
02/14/2006,2007.6,0.0
02/15/2006,1963.5,0.0
02/15/2006,1969.8,0.0
02/16/2006,1993.95,0.0
02/16/2006,1839.6,0.0
02/17/2006,1845.9,0.0
02/17/2006,1758.75,0.0
02/21/2006,1837.5,0.0
02/21/2006,1851.15,0.0
02/22/2006,1887.9,0.0
02/22/2006,1888.95,0.0
02/23/2006,1913.1,0.0
02/23/2006,1892.1,0.0
02/24/2006,1942.5,0.0
02/24/2006,2012.85,0.0
02/27/2006,2105.25,0.0
02/27/2006,2074.8,0.0
02/28/2006,2100.0,0.0
02/28/2006,1974.0,0.0
03/01/2006,2016.0,0.0
03/01/2006,2063.25,0.0
03/02/2006,2041.2,0.0
03/02/2006,2059.05,0.0
03/03/2006,2098.95,0.0
03/03/2006,1999.2,0.0
03/06/2006,2054.8501,0.0
03/06/2006,1989.75,0.0
03/07/2006,1996.05,0.0
03/07/2006,1977.15,0.0
03/08/2006,1964.55,0.0
03/08/2006,1867.95,0.0
03/09/2006,1895.25,0.0
03/09/2006,1809.15,0.0
03/10/2006,1863.75,0.0
03/10/2006,1861.65,0.0
03/13/2006,1911.0,0.0
03/13/2006,1929.9,0.0
03/14/2006,1947.75,0.0
03/14/2006,1890.0,0.0
03/15/2006,1916.25,0.0
03/15/2006,1911.0,0.0
03/16/2006,1944.6,0.0
03/16/2006,2009.7,0.0
03/17/2006,1995.0,0.0
03/17/2006,2002.35,0.0
03/20/2006,2046.45,0.0
03/20/2006,1997.1,0.0
03/21/2006,2006.55,0.0
03/21/2006,1975.05,0.0
03/22/2006,1951.95,0.0
03/22/2006,1944.6,0.0
03/23/2006,1970.85,0.0
03/23/2006,1902.6,0.0
03/24/2006,1930.95,0.0
03/24/2006,1895.25,0.0
03/27/2006,1926.75,0.0
03/27/2006,1972.95,0.0
03/28/2006,2026.5,0.0
03/28/2006,2111.55,0.0
03/29/2006,2173.5,0.0
03/29/2006,2345.7,0.0
03/30/2006,2409.75,0.0
03/30/2006,2315.25,0.0
03/31/2006,2360.3999,0.0
03/31/2006,2266.95,0.0
04/03/2006,2337.3,0.0
04/03/2006,2297.3999,0.0
04/04/2006,2327.8501,0.0
04/04/2006,2291.1001,0.0
04/05/2006,2335.2,0.0
04/05/2006,2703.75,0.0
04/06/2006,2728.95,0.0
04/06/2006,2714.25,0.0
04/07/2006,2788.8,0.0
04/07/2006,2966.25,0.0
04/10/2006,3181.5,0.0
04/10/2006,3281.25,0.0
04/11/2006,3417.75,0.0
04/11/2006,3100.6499,0.0
04/12/2006,3136.3501,0.0
04/12/2006,2871.75,0.0
04/13/2006,3013.5,0.0
04/13/2006,3073.3501,0.0
04/17/2006,3305.3999,0.0
04/17/2006,3557.3999,0.0
04/18/2006,3659.25,0.0
04/18/2006,3265.5,0.0
04/19/2006,3326.3999,0.0
04/19/2006,3216.1499,0.0
04/20/2006,3255.0,0.0
04/20/2006,3030.3,0.0
04/21/2006,3140.55,0.0
04/21/2006,3162.6001,0.0
04/24/2006,3219.3,0.0
04/24/2006,3465.0,0.0
04/25/2006,3423.0,0.0
04/25/2006,3496.5,0.0
04/26/2006,3535.3501,0.0
04/26/2006,3465.0,0.0
04/27/2006,3404.1001,0.0
04/27/2006,3363.1499,0.0
04/28/2006,3467.1001,0.0
04/28/2006,3395.7,0.0
05/01/2006,3462.8999,0.0
05/01/2006,3570.0,0.0
05/02/2006,3701.25,0.0
05/02/2006,3878.7,0.0
05/03/2006,3896.55,0.0
05/03/2006,3940.6499,0.0
05/04/2006,3867.1499,0.0
05/04/2006,3663.45,0.0
05/05/2006,3741.1499,0.0
05/05/2006,3700.2,0.0
05/08/2006,3785.25,0.0
05/08/2006,4148.5498,0.0
05/09/2006,4273.5,0.0
05/09/2006,4168.5,0.0
05/10/2006,4240.9502,0.0
05/10/2006,4317.6001,0.0
05/11/2006,4476.1499,0.0
05/11/2006,4450.9502,0.0
05/12/2006,4584.2998,0.0
05/12/2006,4410.0,0.0
05/15/2006,4141.2002,0.0
05/15/2006,3977.3999,0.0
05/16/2006,4093.95,0.0
05/16/2006,3848.25,0.0
05/17/2006,3546.8999,0.0
05/17/2006,3450.3,0.0
05/18/2006,3257.1001,0.0
05/18/2006,3139.5,0.0
05/19/2006,3125.8501,0.0
05/19/2006,3104.8501,0.0
05/22/2006,2929.5,0.0
05/22/2006,2684.8501,0.0
05/23/2006,2898.0,0.0
05/23/2006,3138.45,0.0
05/24/2006,3271.8,0.0
05/24/2006,3174.1499,0.0
05/25/2006,3344.25,0.0
05/25/2006,3309.6001,0.0
05/26/2006,2966.25,0.0
05/26/2006,3097.5,0.0
05/30/2006,3306.45,0.0
05/30/2006,3091.2,0.0
05/31/2006,3131.1001,0.0
05/31/2006,3056.55,0.0
06/01/2006,3024.0,0.0
06/01/2006,3036.6001,0.0
06/02/2006,3071.25,0.0
06/02/2006,2941.05,0.0
06/05/2006,2996.7,0.0
06/05/2006,2811.8999,0.0
06/06/2006,2869.6499,0.0
06/06/2006,2691.1499,0.0
06/07/2006,2745.75,0.0
06/07/2006,2787.75,0.0
06/08/2006,2731.05,0.0
06/08/2006,2684.8501,0.0
06/09/2006,2773.05,0.0
06/09/2006,2615.55,0.0
06/12/2006,2573.55,0.0
06/12/2006,2418.1499,0.0
06/13/2006,2341.5,0.0
06/13/2006,2114.7,0.0
06/14/2006,2164.05,0.0
06/14/2006,2283.75,0.0
06/15/2006,2373.0,0.0
06/15/2006,2260.6499,0.0
06/16/2006,2235.45,0.0
06/16/2006,2168.25,0.0
06/19/2006,2286.8999,0.0
06/19/2006,2242.8,0.0
06/20/2006,2256.45,0.0
06/20/2006,2194.5,0.0
06/21/2006,2224.95,0.0
06/21/2006,2241.75,0.0
06/22/2006,2285.8501,0.0
06/22/2006,2373.0,0.0
06/23/2006,2387.7,0.0
06/23/2006,2366.7,0.0
06/26/2006,2306.8501,0.0
06/26/2006,2297.3999,0.0
06/27/2006,2283.75,0.0
06/27/2006,2165.1001,0.0
06/28/2006,2154.6001,0.0
06/28/2006,2205.0,0.0
06/29/2006,2247.0,0.0
06/29/2006,2262.75,0.0
06/30/2006,2255.3999,0.0
06/30/2006,2427.6001,0.0
07/03/2006,2488.5,0.0
07/03/2006,2574.6001,0.0
07/05/2006,2626.05,0.0
07/05/2006,2672.25,0.0
07/06/2006,2713.2,0.0
07/06/2006,2608.2,0.0
07/07/2006,2650.2,0.0
07/07/2006,2609.25,0.0
07/10/2006,2665.95,0.0
07/10/2006,2550.45,0.0
07/11/2006,2449.6499,0.0
07/11/2006,2447.55,0.0
07/12/2006,2461.2,0.0
07/12/2006,2401.3501,0.0
07/13/2006,2388.75,0.0
07/13/2006,2294.25,0.0
07/14/2006,2336.25,0.0
07/14/2006,2325.75,0.0
07/17/2006,2325.75,0.0
07/17/2006,2287.95,0.0
07/18/2006,2304.75,0.0
07/18/2006,2257.5,0.0
07/19/2006,2245.95,0.0
07/19/2006,2313.1499,0.0
07/20/2006,2326.8,0.0
07/20/2006,2220.75,0.0
07/21/2006,2226.0,0.0
07/21/2006,2021.25,0.0
07/24/2006,2089.5,0.0
07/24/2006,1957.2,0.0
07/25/2006,1955.1,0.0
07/25/2006,2026.5,0.0
07/26/2006,1963.5,0.0
07/26/2006,1932.0,0.0
07/27/2006,1953.0,0.0
07/27/2006,1953.0,0.0
07/28/2006,1949.85,0.0
07/28/2006,1921.5,0.0
07/31/2006,1928.85,0.0
07/31/2006,1968.75,0.0
08/01/2006,2001.3,0.0
08/01/2006,1997.1,0.0
08/02/2006,2026.5,0.0
08/02/2006,2043.3,0.0
08/03/2006,2043.3,0.0
08/03/2006,2017.05,0.0
08/04/2006,2019.15,0.0
08/04/2006,1903.65,0.0
08/07/2006,1838.55,0.0
08/07/2006,1850.1,0.0
08/08/2006,1879.5,0.0
08/08/2006,1841.7,0.0
08/09/2006,1848.0,0.0
08/09/2006,1774.5,0.0
08/10/2006,1743.0,0.0
08/10/2006,1743.0,0.0
08/11/2006,1690.5,0.0
08/11/2006,1689.45,0.0
08/14/2006,1685.25,0.0
08/14/2006,1576.05,0.0
08/15/2006,1592.85,0.0
08/15/2006,1626.45,0.0
08/16/2006,1639.05,0.0
08/16/2006,1727.25,0.0
08/17/2006,1728.3,0.0
08/17/2006,1727.25,0.0
08/18/2006,1764.0,0.0
08/18/2006,1859.55,0.0
08/21/2006,1921.5,0.0
08/21/2006,1916.25,0.0
08/22/2006,1953.0,0.0
08/22/2006,2068.5,0.0
08/23/2006,2103.1499,0.0
08/23/2006,2042.25,0.0
08/24/2006,2040.15,0.0
08/24/2006,1937.25,0.0
08/25/2006,1964.55,0.0
08/25/2006,2007.6,0.0
08/28/2006,1995.0,0.0
08/28/2006,1970.85,0.0
08/29/2006,1967.7,0.0
08/29/2006,1935.15,0.0
08/30/2006,1922.55,0.0
08/30/2006,1920.45,0.0
08/31/2006,1934.1,0.0
08/31/2006,1945.65,0.0
09/01/2006,1963.5,0.0
09/01/2006,1936.2,0.0
09/05/2006,1942.5,0.0
09/05/2006,1912.05,0.0
09/06/2006,1888.95,0.0
09/06/2006,1790.25,0.0
09/07/2006,1775.55,0.0
09/07/2006,1713.6,0.0
09/08/2006,1707.3,0.0
09/08/2006,1709.4,0.0
09/11/2006,1654.8,0.0
09/11/2006,1617.0,0.0
09/12/2006,1612.8,0.0
09/12/2006,1651.65,0.0
09/13/2006,1653.75,0.0
09/13/2006,1738.8,0.0
09/14/2006,1757.7,0.0
09/14/2006,1686.3,0.0
09/15/2006,1713.6,0.0
09/15/2006,1666.35,0.0
09/18/2006,1669.5,0.0
09/18/2006,1678.95,0.0
09/19/2006,1680.0,0.0
09/19/2006,1604.4,0.0
09/20/2006,1621.2,0.0
09/20/2006,1624.35,0.0
09/21/2006,1624.35,0.0
09/21/2006,1603.35,0.0
09/22/2006,1613.85,0.0
09/22/2006,1544.55,0.0
09/25/2006,1523.55,0.0
09/25/2006,1444.8,0.0
09/26/2006,1444.8,0.0
09/26/2006,1466.85,0.0
09/27/2006,1482.6,0.0
09/27/2006,1534.05,0.0
09/28/2006,1565.55,0.0
09/28/2006,1502.55,0.0
09/29/2006,1515.15,0.0
09/29/2006,1474.2,0.0
10/02/2006,1465.8,0.0
10/02/2006,1451.1,0.0
10/03/2006,1436.4,0.0
10/03/2006,1367.1,0.0
10/04/2006,1360.8,0.0
10/04/2006,1371.3,0.0
10/05/2006,1393.35,0.0
10/05/2006,1402.8,0.0
