PRU,"Prudential Financial, Inc.",
Date,Price,Dividend,Annualized Dividend
12/13/2001,17.364723423167085,0.0,0.0
12/14/2001,17.842104255227603,0.0,0.0
12/17/2001,17.871935006072356,0.0,0.0
12/18/2001,17.603409753371867,0.0,0.0
12/19/2001,17.812271789418702,0.0,0.0
12/20/2001,18.05095954113377,0.0,0.0
12/21/2001,18.140466281903734,0.0,0.0
12/24/2001,18.34931652028297,0.0,0.0
12/26/2001,18.79686435446261,0.0,0.0
12/27/2001,19.21456764097108,0.0,0.0
12/28/2001,19.608413928368705,0.0,0.0
12/31/2001,19.757591489104612,0.0,0.0
01/02/2002,19.459234510092752,0.0,0.0
01/03/2002,18.677518026179634,0.0,0.0
01/04/2002,18.617845286279344,0.0,0.0
01/07/2002,18.946044018739894,0.0,0.0
01/08/2002,18.647680320813873,0.0,0.0
01/09/2002,19.06539545559912,0.0,0.0
01/10/2002,18.570109126172085,0.0,0.0
01/11/2002,18.504463890443056,0.0,0.0
01/14/2002,18.349322532598524,0.0,0.0
01/15/2002,18.14046725867317,0.0,0.0
01/16/2002,18.247871910455714,0.0,0.0
01/17/2002,18.426892894544505,0.0,0.0
01/18/2002,18.140463457962483,0.0,0.0
01/22/2002,18.194170422502328,0.0,0.0
01/23/2002,18.88637205094255,0.0,0.0
01/24/2002,18.259809069054405,0.0,0.0
01/25/2002,17.90176922723987,0.0,0.0
01/28/2002,18.289648138805994,0.0,0.0
01/29/2002,17.901773991170085,0.0,0.0
01/30/2002,18.20014347184143,0.0,0.0
01/31/2002,18.18820204856002,0.0,0.0
02/01/2002,18.468665678372815,0.0,0.0
02/04/2002,18.25981261938326,0.0,0.0
02/05/2002,18.408991094596207,0.0,0.0
02/06/2002,18.617843943806925,0.0,0.0
02/07/2002,18.468663235102234,0.0,0.0
02/08/2002,18.241904962245876,0.0,0.0
02/11/2002,18.31948393733238,0.0,0.0
02/12/2002,18.74315623851056,0.0,0.0
02/13/2002,18.617845891911795,0.0,0.0
02/14/2002,19.125061543988313,0.0,0.0
02/15/2002,18.993781106017916,0.0,0.0
02/19/2002,18.498497915689015,0.0,0.0
02/20/2002,18.200139401361355,0.0,0.0
02/21/2002,18.170301964161503,0.0,0.0
02/22/2002,18.229977171231848,0.0,0.0
02/25/2002,18.050953104231876,0.0,0.0
02/26/2002,18.128532390403024,0.0,0.0
02/27/2002,18.25980765392446,0.0,0.0
02/28/2002,18.110629750020763,0.0,0.0
03/01/2002,18.313516722038592,0.0,0.0
03/04/2002,18.426894411507583,0.0,0.0
03/05/2002,18.31947628019832,0.0,0.0
03/06/2002,18.49849826665135,0.0,0.0
03/07/2002,18.617842798671482,0.0,0.0
03/08/2002,19.005717731938937,0.0,0.0
03/11/2002,19.005720360029024,0.0,0.0
03/12/2002,18.49849649692889,0.0,0.0
03/13/2002,18.277713775634766,0.0,0.0
03/14/2002,18.319483341445736,0.0,0.0
03/15/2002,18.313516626240613,0.0,0.0
03/18/2002,18.826698187897914,0.0,0.0
03/19/2002,18.677515536546874,0.0,0.0
03/20/2002,18.64768458830078,0.0,0.0
03/21/2002,18.599944169061725,0.0,0.0
03/22/2002,18.408992085542994,0.0,0.0
03/25/2002,18.617843558632543,0.0,0.0
03/26/2002,18.528332404315456,0.0,0.0
03/27/2002,18.64768217930232,0.0,0.0
03/28/2002,18.71928878269307,0.0,0.0
04/01/2002,18.588008378717557,0.0,0.0
04/02/2002,18.498503111594374,0.0,0.0
04/03/2002,18.659619379596737,0.0,0.0
04/04/2002,18.707354623071012,0.0,0.0
04/05/2002,19.065388853060973,0.0,0.0
04/08/2002,19.28021430261389,0.0,0.0
04/09/2002,19.67405070581431,0.0,0.0
04/10/2002,19.602446769134403,0.0,0.0
04/11/2002,19.56663786360819,0.0,0.0
04/12/2002,19.39359276326898,0.0,0.0
04/15/2002,19.453263123855308,0.0,0.0
04/16/2002,19.304077077096508,0.0,0.0
04/17/2002,19.39359354058828,0.0,0.0
04/18/2002,19.274246110593516,0.0,0.0
04/19/2002,19.005715239130414,0.0,0.0
04/22/2002,19.095224162094464,0.0,0.0
