QCLN,First Trust NASDAQ Clean Edge G,
Date,Price,Dividend,Annualized Dividend
02/14/2007,18.363836345907217,0.0,0.0
02/15/2007,18.502957738786904,0.0,0.0
02/16/2007,18.484412851581865,0.0,0.0
02/20/2007,18.669904734958475,0.0,0.0
02/21/2007,18.771920076045912,0.0,0.0
02/22/2007,19.13363805926391,0.0,0.0
02/23/2007,19.486067577191044,0.0,0.0
02/26/2007,19.66229350663371,0.0,0.0
02/27/2007,20.710332726807945,0.0,0.0
02/28/2007,18.651357151799253,0.0,0.0
03/01/2007,18.56788609745042,0.0,0.0
03/02/2007,18.419485422754338,0.0,0.0
03/05/2007,17.63114218782278,0.0,0.0
03/06/2007,17.76098279164187,0.0,0.0
03/07/2007,18.261819465683136,0.0,0.0
03/08/2007,18.642080830926083,0.0,0.0
03/09/2007,18.818297265817353,0.0,0.0
03/12/2007,18.75336712552312,0.0,0.0
03/13/2007,18.809025225671586,0.0,0.0
03/14/2007,18.50295499748369,0.0,0.0
03/15/2007,18.35456323745043,0.0,0.0
03/16/2007,18.32674217224121,0.0,0.0
03/19/2007,18.502957256870896,0.0,0.0
03/20/2007,18.42876229547442,0.0,0.0
03/21/2007,18.71627818615525,0.0,0.0
03/22/2007,19.11508899025152,0.0,0.0
03/23/2007,19.217107539516995,0.0,0.0
03/26/2007,22.259205635924364,0.0,0.0
03/27/2007,19.2449376479951,0.0,0.0
03/28/2007,19.01307075439248,0.0,0.0
03/29/2007,19.458254425544446,0.0,0.0
03/30/2007,19.1614529545594,0.0,0.0
04/02/2007,19.077988786064203,0.0,0.0
04/03/2007,19.36550837208863,0.0,0.0
04/04/2007,19.949809666522516,0.0,0.0
04/05/2007,19.634462046731638,0.0,0.0
04/09/2007,19.680838829763374,0.0,0.0
04/10/2007,19.59736856533003,0.0,0.0
04/11/2007,19.959079845923345,0.0,0.0
04/12/2007,19.309851465255406,0.0,0.0
04/13/2007,19.986906102965797,0.0,0.0
04/16/2007,20.107477963268455,0.0,0.0
04/17/2007,20.339341546645233,0.0,0.0
04/18/2007,20.18166841864712,0.0,0.0
04/19/2007,21.090589337912757,0.0,0.0
04/20/2007,20.357890040419175,0.0,0.0
04/23/2007,20.302240399365747,0.0,0.0
04/24/2007,20.65468406677246,0.0,0.0
04/25/2007,20.895827869434395,0.0,0.0
04/26/2007,21.09986509782312,0.0,0.0
04/27/2007,21.730544778199413,0.0,0.0
04/30/2007,20.63612836824919,0.0,0.0
05/01/2007,20.209498436656737,0.0,0.0
05/02/2007,19.903436501033642,0.0,0.0
05/03/2007,20.292963332519435,0.0,0.0
05/04/2007,20.83090303266467,0.0,0.0
05/07/2007,23.168113935996804,0.0,0.0
05/08/2007,22.351946869515977,0.0,0.0
05/09/2007,20.67322913910596,0.0,0.0
05/10/2007,21.498677630281996,0.0,0.0
05/11/2007,20.608303924898596,0.0,0.0
05/14/2007,20.626857991929878,0.0,0.0
05/15/2007,20.61757746916285,0.0,0.0
05/16/2007,20.03327601648424,0.0,0.0
05/17/2007,20.357894628800533,0.0,0.0
05/18/2007,20.088925251463262,0.0,0.0
05/21/2007,20.172398911823844,0.0,0.0
05/22/2007,20.608308457234155,0.0,0.0
05/23/2007,20.942200489916083,0.0,0.0
05/24/2007,20.589761894148115,0.0,0.0
05/25/2007,20.246600011338437,0.0,0.0
05/29/2007,20.561938742551252,0.0,0.0
05/30/2007,20.357893353202385,0.0,0.0
05/31/2007,20.580479756885527,0.0,0.0
06/01/2007,20.8865503461271,0.0,0.0
06/04/2007,20.951468592224952,0.0,0.0
06/05/2007,20.997843346778147,0.0,0.0
06/06/2007,21.053486658436167,0.0,0.0
06/07/2007,20.45991236285577,0.0,0.0
06/08/2007,19.94053489511663,0.0,0.0
06/11/2007,20.40426882124556,0.0,0.0
06/12/2007,20.181676864624023,0.0,0.0
06/13/2007,20.302242017898962,0.0,0.0
06/14/2007,20.663958733024334,0.0,0.0
06/15/2007,21.1462345123291,0.0,0.0
06/18/2007,21.285358939774497,0.0,0.0
06/19/2007,21.415212291305554,0.0,0.0
06/20/2007,21.415204026145197,0.0,0.0
06/21/2007,20.942195293322712,0.0,0.0
06/22/2007,21.19261132410655,0.0,0.0
06/25/2007,21.053494475935125,0.0,0.0
06/26/2007,21.285358334232157,0.0,0.0
06/27/2007,21.14623767830028,0.0,0.0
06/28/2007,21.9345825857105,0.0,0.0
06/29/2007,22.027332171231876,0.0,0.0
07/02/2007,22.0366111594451,0.0,0.0
07/03/2007,22.815686204434705,0.0,0.0
07/05/2007,23.789514215785424,0.0,0.0
07/06/2007,22.722926276127925,0.0,0.0
07/09/2007,23.74314522189127,0.0,0.0
07/10/2007,24.531490864003413,0.0,0.0
07/11/2007,23.399981191942516,0.0,0.0
07/12/2007,23.539100424199287,0.0,0.0
07/13/2007,23.95645881636324,0.0,0.0
07/16/2007,24.160511833588423,0.0,0.0
07/17/2007,23.798798526537105,0.0,0.0
07/18/2007,24.438749892693654,0.0,0.0
07/19/2007,23.502004018544245,0.0,0.0
07/20/2007,23.928637140299546,0.0,0.0
07/23/2007,23.047548132085574,0.0,0.0
07/24/2007,23.019721105209854,0.0,0.0
07/25/2007,23.195940257410705,0.0,0.0
07/26/2007,23.00117313470642,0.0,0.0
07/27/2007,21.79546345262475,0.0,0.0
07/30/2007,21.916037615170723,0.0,0.0
07/31/2007,23.64112327291308,0.0,0.0
08/01/2007,22.138625754865103,0.0,0.0
08/02/2007,22.537436449738088,0.0,0.0
08/03/2007,22.537437572109567,0.0,0.0
08/06/2007,21.93458350695611,0.0,0.0
08/07/2007,21.55431876097551,0.0,0.0
08/08/2007,22.444690637550675,0.0,0.0
08/09/2007,22.222096695731963,0.0,0.0
08/10/2007,22.54670917005376,0.0,0.0
08/13/2007,22.806401815693256,0.0,0.0
08/14/2007,21.83256952726108,0.0,0.0
08/15/2007,20.77525417315754,0.0,0.0
08/16/2007,20.302240399365747,0.0,0.0
08/17/2007,21.146236504283056,0.0,0.0
08/20/2007,21.266806136022232,0.0,0.0
08/21/2007,21.40593113211814,0.0,0.0
08/22/2007,21.33173025412649,0.0,0.0
08/23/2007,22.101524511592253,0.0,0.0
08/24/2007,21.48013014655329,0.0,0.0
08/27/2007,21.78618133893546,0.0,0.0
08/28/2007,21.83256762731414,0.0,0.0
08/29/2007,21.090585981706013,0.0,0.0
08/30/2007,21.81401798520424,0.0,0.0
08/31/2007,22.212833820957812,0.0,0.0
09/04/2007,22.42613975602858,0.0,0.0
09/05/2007,22.25919506248387,0.0,0.0
09/06/2007,22.463237047049294,0.0,0.0
09/07/2007,22.30556868108952,0.0,0.0
09/10/2007,22.22209666781454,0.0,0.0
09/11/2007,22.19427438494904,0.0,0.0
09/12/2007,22.453963335469275,0.0,0.0
09/13/2007,22.02732996246828,0.0,0.0
09/14/2007,21.665618217961164,0.0,0.0
09/17/2007,21.88821168705188,0.0,0.0
09/18/2007,21.832562072446187,0.0,0.0
09/19/2007,22.67655893585327,0.0,0.0
09/20/2007,22.76930735146862,0.0,0.0
09/21/2007,22.815680829737232,0.0,0.0
09/24/2007,23.242309685308054,0.0,0.0
09/25/2007,22.88987450813251,0.0,0.0
09/26/2007,23.817343657573478,0.0,0.0
09/27/2007,23.149565302546364,0.0,0.0
09/28/2007,23.42780202085512,0.0,0.0
10/01/2007,23.65039770073211,0.0,0.0
10/02/2007,24.01211628509119,0.0,0.0
10/03/2007,23.891542834271746,0.0,0.0
10/04/2007,23.835898048562562,0.0,0.0
10/05/2007,23.557651512589036,0.0,0.0
10/08/2007,24.967399067932913,0.0,0.0
10/09/2007,24.31817106718461,0.0,0.0
10/10/2007,24.401646494070683,0.0,0.0
10/11/2007,24.76335342041976,0.0,0.0
10/12/2007,24.002826707878846,0.0,0.0
10/15/2007,24.744807255523224,0.0,0.0
10/16/2007,23.9564603117853,0.0,0.0
10/17/2007,24.540762329582474,0.0,0.0
10/18/2007,24.420195602675104,0.0,0.0
10/19/2007,24.58714054732769,0.0,0.0
10/22/2007,23.74314239327826,0.0,0.0
10/23/2007,24.438746090001466,0.0,0.0
10/24/2007,24.985948669811027,0.0,0.0
10/25/2007,24.20687884642898,0.0,0.0
10/26/2007,25.3754842171978,0.0,0.0
10/29/2007,26.080358714097848,0.0,0.0
10/30/2007,26.20093073308373,0.0,0.0
10/31/2007,25.53316234324927,0.0,0.0
11/01/2007,26.08963492509302,0.0,0.0
11/02/2007,25.11579903361159,0.0,0.0
11/05/2007,24.466577315400396,0.0,0.0
11/06/2007,25.189994969880047,0.0,0.0
11/07/2007,26.590468369151086,0.0,0.0
11/08/2007,26.432799806253527,0.0,0.0
11/09/2007,27.267517404994614,0.0,0.0
11/12/2007,26.052535099399112,0.0,0.0
11/13/2007,23.585476013213412,0.0,0.0
11/14/2007,25.125071621765883,0.0,0.0
11/15/2007,25.264187919609896,0.0,0.0
11/16/2007,25.227091716060617,0.0,0.0
11/19/2007,25.032323037057616,0.0,0.0
11/20/2007,24.63350752500964,0.0,0.0
11/21/2007,23.650398019671904,0.0,0.0
11/23/2007,23.687492833036632,0.0,0.0
11/26/2007,24.07702997499909,0.0,0.0
11/27/2007,24.40164092090262,0.0,0.0
11/28/2007,23.5762000396413,0.0,0.0
11/29/2007,25.078699697722143,0.0,0.0
11/30/2007,26.525542012719594,0.0,0.0
12/03/2007,26.646114756969737,0.0,0.0
12/04/2007,27.61068151572817,0.0,0.0
12/05/2007,25.96906063352618,0.0,0.0
12/06/2007,26.061810298484613,0.0,0.0
12/07/2007,26.590466494626543,0.0,0.0
12/10/2007,27.81472807891397,0.0,0.0
12/11/2007,27.851821961622864,0.0,0.0
12/12/2007,27.89819392678525,0.0,0.0
12/13/2007,27.07274453277275,0.0,0.0
12/14/2007,27.545760227666946,0.0,0.0
12/17/2007,27.61068062596043,0.0,0.0
12/18/2007,26.85943705146031,0.0,0.0
12/19/2007,27.091298912772576,0.0,0.0
12/20/2007,27.740533652360856,0.0,0.0
12/21/2007,28.278449993365864,0.0,0.0
