SIX,Six Flags Entertainment Corpora,
Date,Price,Annualized Dividend
05/11/2010,6.31,0.0
05/11/2010,5.86,0.0
05/12/2010,5.71,0.0
05/12/2010,5.63,0.0
05/13/2010,5.41,0.0
05/13/2010,5.63,0.0
05/14/2010,5.62,0.0
05/14/2010,5.6,0.0
05/17/2010,5.6,0.0
05/17/2010,5.58,0.0
05/18/2010,5.56,0.0
05/18/2010,5.51,0.0
05/19/2010,5.45,0.0
05/19/2010,5.48,0.0
05/20/2010,5.41,0.0
05/20/2010,5.41,0.0
05/21/2010,5.26,0.0
05/21/2010,5.45,0.0
05/24/2010,5.33,0.0
05/24/2010,5.33,0.0
05/25/2010,5.51,0.0
05/25/2010,5.26,0.0
05/26/2010,5.26,0.0
05/26/2010,5.27,0.0
05/27/2010,5.26,0.0
05/27/2010,5.41,0.0
05/28/2010,5.26,0.0
05/28/2010,5.26,0.0
06/01/2010,5.26,0.0
06/01/2010,5.26,0.0
06/02/2010,5.26,0.0
06/02/2010,5.18,0.0
06/03/2010,5.18,0.0
06/03/2010,5.16,0.0
06/04/2010,5.11,0.0
06/04/2010,4.88,0.0
06/07/2010,4.96,0.0
06/07/2010,4.99,0.0
06/08/2010,4.82,0.0
06/08/2010,5.03,0.0
06/09/2010,5.04,0.0
06/09/2010,5.11,0.0
06/10/2010,4.88,0.0
06/10/2010,5.11,0.0
06/11/2010,5.11,0.0
06/11/2010,5.14,0.0
06/14/2010,5.12,0.0
06/14/2010,5.33,0.0
06/15/2010,5.32,0.0
06/15/2010,5.45,0.0
06/16/2010,5.41,0.0
06/16/2010,5.42,0.0
06/17/2010,5.41,0.0
06/17/2010,5.41,0.0
06/18/2010,5.41,0.0
06/18/2010,5.45,0.0
06/21/2010,5.46,0.0
06/21/2010,5.48,0.0
06/22/2010,5.46,0.0
06/22/2010,5.41,0.0
06/23/2010,5.41,0.0
06/23/2010,5.5,0.0
06/24/2010,5.49,0.0
06/24/2010,5.16,0.0
06/25/2010,5.19,0.0
06/25/2010,5.14,0.0
06/28/2010,5.14,0.0
06/28/2010,5.09,0.0
06/29/2010,5.08,0.0
06/29/2010,5.07,0.0
06/30/2010,5.07,0.0
06/30/2010,5.05,0.0
07/01/2010,5.03,0.0
07/01/2010,4.96,0.0
07/02/2010,4.99,0.0
07/02/2010,4.96,0.0
07/06/2010,5.0,0.0
07/06/2010,4.81,0.0
07/07/2010,4.91,0.0
07/07/2010,4.84,0.0
07/08/2010,4.97,0.0
07/08/2010,4.93,0.0
07/09/2010,4.94,0.0
07/09/2010,4.92,0.0
07/12/2010,4.93,0.0
07/12/2010,4.93,0.0
07/13/2010,5.0,0.0
07/13/2010,5.05,0.0
07/14/2010,5.04,0.0
07/14/2010,5.1,0.0
07/15/2010,5.12,0.0
07/15/2010,5.11,0.0
07/16/2010,5.15,0.0
07/16/2010,5.12,0.0
07/19/2010,5.06,0.0
07/19/2010,4.97,0.0
07/20/2010,4.96,0.0
07/20/2010,4.98,0.0
07/21/2010,4.86,0.0
07/21/2010,4.96,0.0
07/22/2010,4.97,0.0
07/22/2010,4.96,0.0
07/23/2010,4.99,0.0
07/23/2010,4.97,0.0
07/26/2010,4.96,0.0
07/26/2010,4.96,0.0
07/27/2010,4.96,0.0
07/27/2010,4.93,0.0
07/28/2010,4.93,0.0
07/28/2010,4.89,0.0
07/29/2010,4.9,0.0
07/29/2010,4.86,0.0
07/30/2010,4.9,0.0
07/30/2010,4.88,0.0
08/02/2010,4.9,0.0
08/02/2010,4.88,0.0
08/03/2010,4.88,0.0
08/03/2010,4.87,0.0
08/04/2010,4.87,0.0
08/04/2010,4.87,0.0
08/05/2010,4.86,0.0
08/05/2010,4.87,0.0
08/06/2010,4.84,0.0
08/06/2010,4.88,0.0
08/09/2010,4.93,0.0
08/09/2010,4.91,0.0
08/10/2010,4.88,0.0
08/10/2010,4.87,0.0
08/11/2010,4.81,0.0
08/11/2010,4.81,0.0
08/12/2010,4.81,0.0
08/12/2010,4.81,0.0
08/13/2010,4.84,0.0
08/13/2010,4.81,0.0
08/16/2010,4.96,0.0
08/16/2010,5.07,0.0
08/17/2010,5.15,0.0
08/17/2010,5.15,0.0
08/18/2010,5.16,0.0
08/18/2010,5.24,0.0
08/19/2010,5.21,0.0
08/19/2010,5.28,0.0
08/20/2010,5.28,0.0
08/20/2010,5.32,0.0
08/23/2010,5.31,0.0
08/23/2010,5.37,0.0
08/24/2010,5.42,0.0
08/24/2010,5.36,0.0
08/25/2010,5.34,0.0
08/25/2010,5.38,0.0
08/26/2010,5.37,0.0
08/26/2010,5.45,0.0
08/27/2010,5.52,0.0
08/27/2010,5.55,0.0
08/30/2010,5.6,0.0
08/30/2010,5.7,0.0
08/31/2010,5.71,0.0
08/31/2010,5.68,0.0
09/01/2010,5.73,0.0
09/01/2010,5.87,0.0
09/02/2010,5.86,0.0
09/02/2010,6.16,0.0
09/03/2010,6.22,0.0
09/03/2010,6.15,0.0
09/07/2010,6.09,0.0
09/07/2010,6.01,0.0
09/08/2010,5.99,0.0
09/08/2010,6.05,0.0
09/09/2010,6.12,0.0
09/09/2010,6.06,0.0
09/10/2010,6.0,0.0
09/10/2010,6.09,0.0
09/13/2010,6.25,0.0
09/13/2010,6.18,0.0
09/14/2010,6.26,0.0
