SQ,"Square, Inc.",
Date,Price,Dividend,Annualized Dividend
11/19/2015,11.199999809265137,0.0,0.0
11/20/2015,13.920000076293945,0.0,0.0
11/23/2015,13.0,0.0,0.0
11/24/2015,12.0,0.0,0.0
11/25/2015,12.119999885559082,0.0,0.0
11/27/2015,12.050000190734863,0.0,0.0
11/30/2015,12.279999732971191,0.0,0.0
12/01/2015,12.119999885559082,0.0,0.0
12/02/2015,11.970000267028809,0.0,0.0
12/03/2015,12.039999961853027,0.0,0.0
12/04/2015,11.949999809265137,0.0,0.0
12/07/2015,12.140000343322754,0.0,0.0
12/08/2015,12.359999656677246,0.0,0.0
12/09/2015,12.0,0.0,0.0
12/10/2015,12.0,0.0,0.0
12/11/2015,12.0,0.0,0.0
12/14/2015,12.199999809265137,0.0,0.0
12/15/2015,12.5,0.0,0.0
12/16/2015,12.550000190734863,0.0,0.0
12/17/2015,12.300000190734863,0.0,0.0
12/18/2015,12.399999618530273,0.0,0.0
12/21/2015,12.369999885559082,0.0,0.0
12/22/2015,12.319999694824219,0.0,0.0
12/23/2015,12.40999984741211,0.0,0.0
12/24/2015,12.59000015258789,0.0,0.0
12/28/2015,12.600000381469727,0.0,0.0
12/29/2015,12.829999923706055,0.0,0.0
12/30/2015,12.65999984741211,0.0,0.0
12/31/2015,12.699999809265137,0.0,0.0
01/04/2016,12.75,0.0,0.0
01/05/2016,12.199999809265137,0.0,0.0
01/06/2016,11.5,0.0,0.0
01/07/2016,11.130000114440918,0.0,0.0
01/08/2016,11.25,0.0,0.0
01/11/2016,11.430000305175781,0.0,0.0
01/12/2016,11.9399995803833,0.0,0.0
01/13/2016,12.0600004196167,0.0,0.0
01/14/2016,11.510000228881836,0.0,0.0
01/15/2016,10.619999885559082,0.0,0.0
01/19/2016,10.329999923706055,0.0,0.0
01/20/2016,9.1899995803833,0.0,0.0
01/21/2016,9.569999694824219,0.0,0.0
01/22/2016,10.350000381469727,0.0,0.0
01/25/2016,9.869999885559082,0.0,0.0
01/26/2016,9.779999732971191,0.0,0.0
01/27/2016,9.40999984741211,0.0,0.0
01/28/2016,9.130000114440918,0.0,0.0
01/29/2016,8.699999809265137,0.0,0.0
02/01/2016,8.789999961853027,0.0,0.0
02/02/2016,8.670000076293945,0.0,0.0
02/03/2016,8.399999618530273,0.0,0.0
02/04/2016,8.430000305175781,0.0,0.0
02/05/2016,8.949999809265137,0.0,0.0
02/08/2016,8.5,0.0,0.0
02/09/2016,8.270000457763672,0.0,0.0
02/10/2016,8.760000228881836,0.0,0.0
02/11/2016,8.399999618530273,0.0,0.0
02/12/2016,9.699999809265137,0.0,0.0
02/16/2016,9.75,0.0,0.0
02/17/2016,10.050000190734863,0.0,0.0
02/18/2016,9.8100004196167,0.0,0.0
02/19/2016,10.109999656677246,0.0,0.0
02/22/2016,10.154000282287598,0.0,0.0
02/23/2016,10.390000343322754,0.0,0.0
02/24/2016,9.579999923706055,0.0,0.0
02/25/2016,9.850000381469727,0.0,0.0
02/26/2016,10.25,0.0,0.0
02/29/2016,10.359999656677246,0.0,0.0
03/01/2016,10.600000381469727,0.0,0.0
03/02/2016,10.819999694824219,0.0,0.0
03/03/2016,12.029999732971191,0.0,0.0
03/04/2016,12.25,0.0,0.0
03/07/2016,12.0,0.0,0.0
03/08/2016,12.15999984741211,0.0,0.0
03/09/2016,11.779999732971191,0.0,0.0
03/10/2016,12.380000114440918,0.0,0.0
03/11/2016,11.390000343322754,0.0,0.0
03/14/2016,11.140000343322754,0.0,0.0
03/15/2016,11.630000114440918,0.0,0.0
03/16/2016,11.949999809265137,0.0,0.0
03/17/2016,11.829999923706055,0.0,0.0
03/18/2016,12.0,0.0,0.0
03/21/2016,12.050000190734863,0.0,0.0
03/22/2016,13.25,0.0,0.0
03/23/2016,13.1899995803833,0.0,0.0
03/24/2016,12.350000381469727,0.0,0.0
03/28/2016,13.109999656677246,0.0,0.0
03/29/2016,13.380000114440918,0.0,0.0
03/30/2016,14.029999732971191,0.0,0.0
03/31/2016,14.75,0.0,0.0
04/01/2016,15.229999542236328,0.0,0.0
04/04/2016,14.279999732971191,0.0,0.0
04/05/2016,14.0600004196167,0.0,0.0
04/06/2016,14.390000343322754,0.0,0.0
04/07/2016,15.0,0.0,0.0
04/08/2016,15.010000228881836,0.0,0.0
04/11/2016,15.149999618530273,0.0,0.0
04/12/2016,15.550000190734863,0.0,0.0
04/13/2016,15.520000457763672,0.0,0.0
04/14/2016,15.100000381469727,0.0,0.0
04/15/2016,14.850000381469727,0.0,0.0
04/18/2016,14.199999809265137,0.0,0.0
04/19/2016,14.59000015258789,0.0,0.0
04/20/2016,14.0,0.0,0.0
04/21/2016,13.680000305175781,0.0,0.0
04/22/2016,13.199999809265137,0.0,0.0
04/25/2016,13.550000190734863,0.0,0.0
04/26/2016,13.630000114440918,0.0,0.0
04/27/2016,14.0,0.0,0.0
04/28/2016,14.6899995803833,0.0,0.0
04/29/2016,15.420000076293945,0.0,0.0
05/02/2016,14.899999618530273,0.0,0.0
05/03/2016,13.869999885559082,0.0,0.0
05/04/2016,13.449999809265137,0.0,0.0
05/05/2016,13.5,0.0,0.0
05/06/2016,10.890000343322754,0.0,0.0
05/09/2016,10.170000076293945,0.0,0.0
