TAN,Invesco Solar ETF,
Date,Price,Dividend,Annualized Dividend
04/15/2008,191.9174074541161,0.0,0.0
04/16/2008,200.53288157019318,0.0,0.0
04/17/2008,199.71587996568937,0.0,0.0
04/18/2008,197.5620193452521,0.0,0.0
04/21/2008,199.0474771832888,0.0,0.0
04/22/2008,202.01829185993435,0.0,0.0
04/23/2008,204.76638764631156,0.0,0.0
04/24/2008,201.34983988285376,0.0,0.0
04/25/2008,196.22513961535665,0.0,0.0
04/28/2008,197.48775216526008,0.0,0.0
04/29/2008,194.8882773897356,0.0,0.0
04/30/2008,196.1508762630218,0.0,0.0
05/01/2008,194.07128514544794,0.0,0.0
05/02/2008,192.28873866779887,0.0,0.0
05/05/2008,192.58582821212283,0.0,0.0
05/06/2008,188.7237246832341,0.0,0.0
05/07/2008,197.2649505170557,0.0,0.0
05/08/2008,194.21978794795947,0.0,0.0
05/09/2008,194.14556416031976,0.0,0.0
05/12/2008,196.81928980256666,0.0,0.0
05/13/2008,200.45861971643578,0.0,0.0
05/14/2008,207.58866489453706,0.0,0.0
05/15/2008,215.31288613421688,0.0,0.0
05/16/2008,215.8327810440084,0.0,0.0
05/19/2008,222.74005404192832,0.0,0.0
05/20/2008,216.8726115047728,0.0,0.0
05/21/2008,222.51723465034507,0.0,0.0
05/22/2008,221.55169052883127,0.0,0.0
05/23/2008,212.93622338003354,0.0,0.0
05/27/2008,211.67361194741073,0.0,0.0
05/28/2008,206.1032462331046,0.0,0.0
05/29/2008,202.612492183602,0.0,0.0
05/30/2008,204.91488941166074,0.0,0.0
06/02/2008,210.5595130961406,0.0,0.0
06/03/2008,212.71338376190488,0.0,0.0
06/04/2008,208.55417411782685,0.0,0.0
06/05/2008,204.24647801358935,0.0,0.0
06/06/2008,208.33138003452217,0.0,0.0
06/09/2008,207.21730839708255,0.0,0.0
06/10/2008,196.7450387127153,0.0,0.0
06/11/2008,195.70524356036373,0.0,0.0
06/12/2008,195.11108930393803,0.0,0.0
06/13/2008,189.76355413180679,0.0,0.0
06/16/2008,200.31003959366276,0.0,0.0
06/17/2008,213.30757904197463,0.0,0.0
06/18/2008,213.15901203600947,0.0,0.0
06/19/2008,215.23861694335938,0.0,0.0
06/20/2008,213.60469152555763,0.0,0.0
06/23/2008,211.45079040439222,0.0,0.0
06/24/2008,209.44545386739566,0.0,0.0
06/25/2008,212.7134178290238,0.0,0.0
06/26/2008,210.11391820993663,0.0,0.0
06/27/2008,194.96252125707164,0.0,0.0
06/30/2008,192.2144627004082,0.0,0.0
07/01/2008,188.05528227071002,0.0,0.0
07/02/2008,182.85627856930427,0.0,0.0
07/03/2008,169.78451932272714,0.0,0.0
07/07/2008,177.7315495065049,0.0,0.0
07/08/2008,175.0577704126291,0.0,0.0
07/09/2008,176.84031327044897,0.0,0.0
07/10/2008,170.9728304192296,0.0,0.0
07/11/2008,167.11074010926518,0.0,0.0
07/14/2008,176.91458169209133,0.0,0.0
07/15/2008,174.4635966647407,0.0,0.0
07/16/2008,175.57768636678927,0.0,0.0
07/17/2008,185.82714878130332,0.0,0.0
07/18/2008,178.99419502874653,0.0,0.0
07/21/2008,183.8218162154206,0.0,0.0
07/22/2008,180.62814177689998,0.0,0.0
07/23/2008,179.95968519607482,0.0,0.0
07/24/2008,173.7208925341541,0.0,0.0
07/25/2008,163.17434569803444,0.0,0.0
07/28/2008,167.1107339217524,0.0,0.0
07/29/2008,166.44228963147387,0.0,0.0
07/30/2008,177.3602059952755,0.0,0.0
07/31/2008,180.62816659596817,0.0,0.0
08/01/2008,178.25145326811693,0.0,0.0
08/04/2008,177.13740415509815,0.0,0.0
08/05/2008,167.85344566112002,0.0,0.0
08/06/2008,170.15585956126492,0.0,0.0
08/07/2008,170.82430693729404,0.0,0.0
08/08/2008,170.00732979703562,0.0,0.0
08/11/2008,163.100073733839,0.0,0.0
08/12/2008,167.55636110637516,0.0,0.0
08/13/2008,170.30440478164087,0.0,0.0
08/14/2008,171.04712596511496,0.0,0.0
08/15/2008,174.68639918520236,0.0,0.0
08/18/2008,182.70773744410002,0.0,0.0
08/19/2008,177.50875407920097,0.0,0.0
08/20/2008,181.66792230549694,0.0,0.0
08/21/2008,188.7237303916048,0.0,0.0
08/22/2008,193.10573468803162,0.0,0.0
08/25/2008,196.5965113534372,0.0,0.0
08/26/2008,192.1402119488921,0.0,0.0
08/27/2008,188.35235047881773,0.0,0.0
08/28/2008,194.96252125707164,0.0,0.0
08/29/2008,194.36835035808537,0.0,0.0
09/02/2008,192.80865210731656,0.0,0.0
09/03/2008,183.07909522580186,0.0,0.0
09/04/2008,174.76069216093538,0.0,0.0
09/05/2008,166.51654699851906,0.0,0.0
09/08/2008,172.3097399649693,0.0,0.0
09/09/2008,160.50055241021425,0.0,0.0
09/10/2008,141.26428097309707,0.0,0.0
09/11/2008,142.52690247610713,0.0,0.0
09/12/2008,152.92490124796572,0.0,0.0
09/15/2008,142.97255737455427,0.0,0.0
09/16/2008,135.91673634464578,0.0,0.0
09/17/2008,147.05744128970045,0.0,0.0
09/18/2008,140.4473139248425,0.0,0.0
09/19/2008,163.32289911081043,0.0,0.0
09/22/2008,160.2035094533333,0.0,0.0
09/23/2008,149.65693264196415,0.0,0.0
09/24/2008,161.5403660978126,0.0,0.0
09/25/2008,159.31223187197418,0.0,0.0
09/26/2008,154.3360350358157,0.0,0.0
09/29/2008,143.3438765822292,0.0,0.0
09/30/2008,128.63810898445124,0.0,0.0
10/01/2008,139.55602285940947,0.0,0.0
10/02/2008,137.55070172176016,0.0,0.0
10/03/2008,125.295910278098,0.0,0.0
10/06/2008,111.4071601419855,0.0,0.0
10/07/2008,103.83146435581534,0.0,0.0
10/08/2008,79.84178951782793,0.0,0.0
10/09/2008,92.39367583372889,0.0,0.0
10/10/2008,75.38550682889581,0.0,0.0
10/13/2008,96.47859937719413,0.0,0.0
10/14/2008,111.33287372174223,0.0,0.0
10/15/2008,92.39367144896653,0.0,0.0
10/16/2008,89.0514446443785,0.0,0.0
10/17/2008,87.26894583583864,0.0,0.0
10/20/2008,90.61113388170504,0.0,0.0
10/21/2008,91.79950462557763,0.0,0.0
10/22/2008,85.41215874751548,0.0,0.0
10/23/2008,77.16802299170313,0.0,0.0
10/24/2008,62.759360355216614,0.0,0.0
10/27/2008,66.62147511480403,0.0,0.0
10/28/2008,65.13603863072207,0.0,0.0
10/29/2008,65.95303673110256,0.0,0.0
10/30/2008,74.93987138897367,0.0,0.0
10/31/2008,73.82580205832683,0.0,0.0
11/03/2008,82.06995060237537,0.0,0.0
11/04/2008,96.40432496328418,0.0,0.0
11/05/2008,94.17619362906098,0.0,0.0
11/06/2008,80.2874294900801,0.0,0.0
11/07/2008,76.57384897434646,0.0,0.0
11/10/2008,84.29807686920904,0.0,0.0
11/11/2008,73.30591370174612,0.0,0.0
11/12/2008,66.32439462129766,0.0,0.0
11/13/2008,59.045782955432884,0.0,0.0
11/14/2008,62.38801206045981,0.0,0.0
11/17/2008,60.902586458868676,0.0,0.0
11/18/2008,58.674442829229896,0.0,0.0
11/19/2008,55.70357417428423,0.0,0.0
11/20/2008,45.37984954558514,0.0,0.0
11/21/2008,43.968695481135384,0.0,0.0
