VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
09/09/2010,83.44506451891027,0.0
09/09/2010,82.48442840576172,0.0
09/10/2010,82.77747816757469,0.0
09/10/2010,82.85888671875,0.0
09/13/2010,83.81955424760847,0.0
09/13/2010,83.90096282958984,0.0
09/14/2010,83.72187355947203,0.0
09/14/2010,83.88469696044922,0.0
09/15/2010,83.54273424896964,0.0
09/15/2010,84.09632110595703,0.0
09/16/2010,83.86839369861498,0.0
09/16/2010,84.06378173828125,0.0
09/17/2010,84.56853102916125,0.0
09/17/2010,84.14520263671875,0.0
09/20/2010,84.45455577454092,0.0
09/20/2010,85.51288604736328,0.0
09/21/2010,85.4966138011716,0.0
09/21/2010,85.25238800048828,0.0
09/22/2010,85.12208963257422,0.0
09/22/2010,84.79645538330078,0.0
09/23/2010,84.1126003321591,0.0
09/23/2010,84.09632110595703,0.0
09/24/2010,85.07694349447486,0.558
09/24/2010,85.81360626220703,0.558
09/27/2010,85.92819332932541,0.558
09/27/2010,85.40433502197266,0.558
09/28/2010,85.38797619890087,0.558
09/28/2010,85.9609375,0.558
09/29/2010,85.60078168247425,0.558
09/29/2010,85.55166625976562,0.558
09/30/2010,86.10826887399422,0.558
09/30/2010,85.42071533203125,0.558
10/01/2010,86.01003772234955,0.558
10/01/2010,85.71537017822266,0.558
10/04/2010,86.15738944494274,0.558
10/04/2010,84.99508666992188,0.558
10/05/2010,85.96095885073457,0.558
10/05/2010,86.86133575439453,0.558
10/06/2010,86.86133835572087,0.558
10/06/2010,86.71400451660156,0.558
10/07/2010,87.17236339668897,0.558
10/07/2010,86.66487884521484,0.558
10/08/2010,86.77945327674134,0.558
10/08/2010,87.3196792602539,0.558
10/11/2010,87.35240806526387,0.558
10/11/2010,87.17233276367188,0.558
10/12/2010,87.07411580791441,0.558
10/12/2010,87.67982482910156,0.558
10/13/2010,88.05634053782572,0.558
10/13/2010,88.20367431640625,0.558
10/14/2010,88.15457545855513,0.558
10/14/2010,87.87628173828125,0.558
10/15/2010,88.43283191873125,0.558
10/15/2010,88.0399398803711,0.558
10/18/2010,88.08909966270063,0.558
10/18/2010,88.67842864990234,0.558
10/19/2010,87.69618865873252,0.558
10/19/2010,87.27056121826172,0.558
10/20/2010,87.532488490608,0.558
10/20/2010,88.20367431640625,0.558
10/21/2010,88.61294043555836,0.558
10/21/2010,88.33464050292969,0.558
10/22/2010,88.53108718891357,0.558
10/22/2010,88.54745483398438,0.558
10/25/2010,89.23501470215052,0.558
10/25/2010,88.80938720703125,0.558
10/26/2010,88.33466204516795,0.558
10/26/2010,88.79303741455078,0.558
10/27/2010,88.18730038211042,0.558
10/27/2010,88.51470947265625,0.558
10/28/2010,89.02219390156417,0.558
10/28/2010,88.58019256591797,0.558
10/29/2010,88.48199083732005,0.558
10/29/2010,88.64569854736328,0.558
11/01/2010,89.15315505830765,0.558
11/01/2010,88.69478607177734,0.558
11/02/2010,89.39871336693534,0.558
11/02/2010,89.38233947753906,0.558
11/03/2010,89.56240092417359,0.558
11/03/2010,89.75885009765625,0.558
11/04/2010,90.77383667366355,0.558
11/04/2010,91.44502258300781,0.558
11/05/2010,91.59235890321165,0.558
11/05/2010,91.80517578125,0.558
11/08/2010,91.57597476697184,0.558
11/08/2010,91.69056701660156,0.558
11/09/2010,91.82156789061534,0.558
11/09/2010,90.97030639648438,0.558
