VYM,Vanguard High Dividend Yield ET,
Date,Price,Annualized Dividend
11/16/2006,32.49500744919444,0.0
11/16/2006,32.46284103393555,0.0
11/17/2006,32.55288854957454,0.0
11/17/2006,32.51428985595703,0.0
11/20/2006,32.610811915603094,0.0
11/20/2006,32.52717971801758,0.0
11/21/2006,32.64296954428566,0.0
11/21/2006,32.48856735229492,0.0
11/22/2006,32.55289562433606,0.0
11/22/2006,32.4949951171875,0.0
11/24/2006,32.55292026855971,0.0
11/24/2006,32.44355392456055,0.0
11/27/2006,32.35347487067241,0.0
11/27/2006,32.10257339477539,0.0
11/28/2006,32.096128378562334,0.0
11/28/2006,32.19906234741211,0.0
11/29/2006,32.32773182731086,0.0
11/29/2006,32.54646682739258,0.0
11/30/2006,32.59150306265883,0.0
11/30/2006,32.6043701171875,0.0
12/01/2006,32.63652896104296,0.0
12/01/2006,32.41136169433594,0.0
12/04/2006,32.552895390158255,0.0
12/04/2006,32.71372985839844,0.0
12/05/2006,32.80379772403824,0.0
12/05/2006,32.84883117675781,0.0
12/06/2006,32.8424120141358,0.0
12/06/2006,32.79737854003906,0.0
12/07/2006,32.79735284827727,0.0
12/07/2006,32.73945236206055,0.0
12/08/2006,32.713732399727796,0.0
12/08/2006,32.81023406982422,0.0
12/11/2006,32.80381232411468,0.0
12/11/2006,32.842411041259766,0.0
12/12/2006,32.86812489645542,0.0
12/12/2006,32.926025390625,0.0
12/13/2006,33.054715176295055,0.0
12/13/2006,33.009681701660156,0.0
12/14/2006,33.08042500135755,0.0
12/14/2006,33.31202697753906,0.0
12/15/2006,33.389247419640945,0.0
12/15/2006,33.357078552246094,0.0
12/18/2006,33.42783642237149,0.0
12/18/2006,33.2927360534668,0.0
12/19/2006,33.27343780417092,0.0
12/19/2006,33.402103424072266,0.0
12/20/2006,33.44071684654301,0.0
12/20/2006,33.382816314697266,0.0
12/21/2006,33.36994364244779,0.0
12/21/2006,33.279876708984375,0.0
12/22/2006,33.33474114113794,0.175
12/22/2006,33.16044998168945,0.175
12/26/2006,33.1475418200043,0.175
12/26/2006,33.360565185546875,0.175
12/27/2006,33.50257627211278,0.175
12/27/2006,33.59294891357422,0.175
12/28/2006,33.618778340267134,0.175
12/28/2006,33.59941101074219,0.175
12/29/2006,33.534858722377116,0.175
12/29/2006,33.37993240356445,0.175
01/03/2007,33.5412953882045,0.175
01/03/2007,33.38637161254883,0.175
01/04/2007,33.1798267008688,0.175
01/04/2007,33.30247497558594,0.175
01/05/2007,33.244363306320196,0.175
01/05/2007,33.070072174072266,0.175
01/08/2007,33.044263836964795,0.175
01/08/2007,33.076541900634766,0.175
01/09/2007,33.07654549829733,0.175
01/09/2007,33.050724029541016,0.175
01/10/2007,33.01197814941406,0.175
01/10/2007,33.01197814941406,0.175
01/11/2007,33.08943570431402,0.175
01/11/2007,33.13462448120117,0.175
01/12/2007,33.16690378195919,0.175
01/12/2007,33.24436569213867,0.175
01/16/2007,33.24436569213867,0.175
01/16/2007,33.24436569213867,0.175
01/17/2007,33.283088785170264,0.175
01/17/2007,33.26372146606445,0.175
01/18/2007,33.36054854232634,0.175
01/18/2007,33.27017593383789,0.175
01/19/2007,33.33472871235092,0.175
01/19/2007,33.38637161254883,0.175
01/22/2007,33.431556295415525,0.175
01/22/2007,33.27017593383789,0.175
01/23/2007,33.237915256117546,0.175
01/23/2007,33.35410690307617,0.175
01/24/2007,33.470294646715196,0.175
01/24/2007,33.61876678466797,0.175
01/25/2007,33.60587447033588,0.175
01/25/2007,33.25083541870117,0.175
01/26/2007,33.328291289195434,0.175
01/26/2007,33.21209716796875,0.175
01/29/2007,33.27019276414986,0.175
01/29/2007,33.23146057128906,0.175
01/30/2007,33.3024623017235,0.175
01/30/2007,33.34764862060547,0.175
01/31/2007,33.37347121703995,0.175
01/31/2007,33.5671272277832,0.175
02/01/2007,33.638147533442464,0.175
02/01/2007,33.786617279052734,0.175
02/02/2007,33.76077967352476,0.175
02/02/2007,33.83824157714844,0.175
02/05/2007,33.80596711076461,0.175
02/05/2007,33.81242370605469,0.175
02/06/2007,33.889897969939405,0.175
02/06/2007,33.851165771484375,0.175
02/07/2007,33.88342978838116,0.175
02/07/2007,33.805965423583984,0.175
02/08/2007,33.77370654519914,0.175
02/08/2007,33.786617279052734,0.175
02/09/2007,33.85761203125112,0.175
02/09/2007,33.67041015625,0.175
02/12/2007,33.67687294143085,0.175
02/12/2007,33.59941101074219,0.175
02/13/2007,33.709146716923016,0.175
02/13/2007,33.85761642456055,0.175
02/14/2007,33.909250399739804,0.175
02/14/2007,34.07708740234375,0.175
02/15/2007,34.07064169481748,0.175
02/15/2007,34.044822692871094,0.175
02/16/2007,34.02545727223935,0.175
02/16/2007,34.01254653930664,0.175
02/20/2007,33.96089331207012,0.175
02/20/2007,34.07708740234375,0.175
02/21/2007,33.999631436719945,0.175
02/21/2007,33.98026657104492,0.175
02/22/2007,33.9931656216733,0.175
02/22/2007,33.95443344116211,0.175
02/23/2007,33.986719801600266,0.175
02/23/2007,33.87697982788086,0.175
02/26/2007,34.10935970073752,0.175
02/26/2007,33.95443344116211,0.175
02/27/2007,33.77369909430677,0.175
02/27/2007,32.966796875,0.175
02/28/2007,32.973252792314796,0.175
02/28/2007,33.04425811767578,0.175
03/01/2007,32.650492584015026,0.175
03/01/2007,32.966796875,0.175
03/02/2007,32.90869214047704,0.175
03/02/2007,32.566566467285156,0.175
03/05/2007,32.4761898360739,0.175
03/05/2007,32.27607727050781,0.175
03/06/2007,32.573021188191355,0.175
03/06/2007,32.75376892089844,0.175
03/07/2007,32.71505628315162,0.175
03/07/2007,32.65050506591797,0.175
03/08/2007,32.93451814060501,0.175
03/08/2007,32.88933181762695,0.175
03/09/2007,33.01197702275827,0.175
03/09/2007,32.947425842285156,0.175
03/12/2007,32.908699593150004,0.175
03/12/2007,32.940975189208984,0.175
03/13/2007,32.81833050679995,0.175
03/13/2007,32.37937545776367,0.175
03/14/2007,32.5278411221515,0.175
03/14/2007,32.50847625732422,0.175
03/15/2007,32.55365910894735,0.175
03/15/2007,32.66985321044922,0.175
03/16/2007,32.65047854083361,0.175
03/16/2007,32.5213737487793,0.175
03/19/2007,32.65694315662325,0.175
03/19/2007,32.83768844604492,0.175
03/20/2007,32.87642220588899,0.175
03/20/2007,33.10881042480469,0.175
03/21/2007,33.115268539852735,0.175
03/21/2007,33.53485870361328,0.175
03/22/2007,33.696231614002514,0.175
03/22/2007,33.67041015625,0.175
03/23/2007,33.66395882860612,0.175
03/23/2007,33.74142074584961,0.175
03/26/2007,33.616840282483096,0.443
03/26/2007,33.766075134277344,0.443
03/27/2007,33.649291331989964,0.443
03/27/2007,33.62333679199219,0.443
03/28/2007,33.53249160364359,0.443
03/28/2007,33.4027214050293,0.443
03/29/2007,33.59089528671804,0.443
03/29/2007,33.53898620605469,0.443
03/30/2007,33.564931042500994,0.443
03/30/2007,33.454627990722656,0.443
04/02/2007,33.5584502096104,0.443
04/02/2007,33.513031005859375,0.443
04/03/2007,33.69469519106311,0.443
04/03/2007,33.72064971923828,0.443
04/04/2007,33.811500549316406,0.443
04/04/2007,33.811500549316406,0.443
04/05/2007,33.77257559436983,0.443
04/05/2007,33.88288116455078,0.443
04/09/2007,33.88286797745944,0.443
04/09/2007,33.91530990600586,0.443
04/10/2007,33.92179275559836,0.443
04/10/2007,34.0385856628418,0.443
04/11/2007,34.01911897736232,0.443
04/11/2007,33.85690689086914,0.443
04/12/2007,33.830963048100884,0.443
04/12/2007,33.92829132080078,0.443
04/13/2007,34.064568539678625,0.443
04/13/2007,34.10350036621094,0.443
04/16/2007,34.30462872958601,0.443
04/16/2007,34.49928283691406,0.443
04/17/2007,34.55119845314952,0.443
04/17/2007,34.55768585205078,0.443
04/18/2007,34.54469432098351,0.443
04/18/2007,34.64850997924805,0.443
04/19/2007,34.52524390722101,0.443
04/19/2007,34.55768585205078,0.443
04/20/2007,34.84316917150289,0.443
04/20/2007,34.804237365722656,0.443
04/23/2007,34.908042632204825,0.443
04/23/2007,34.74583053588867,0.443
04/24/2007,34.68745696415546,0.443
04/24/2007,34.693946838378906,0.443
04/25/2007,34.81071986832087,0.443
04/25/2007,34.9664421081543,0.443
04/26/2007,35.07676106987845,0.443
04/26/2007,35.09622573852539,0.443
04/27/2007,34.9988919110827,0.443
04/27/2007,35.07675552368164,0.443
04/30/2007,35.063779454043306,0.443
04/30/2007,34.86912536621094,0.443
05/01/2007,34.895066712679274,0.443
05/01/2007,34.849647521972656,0.443
05/02/2007,35.03781816520607,0.443
