WM,"Waste Management, Inc.",
Date,Price,Annualized Dividend
06/22/1988,0.0,0.0
06/22/1988,2.7618043422698975,0.0
06/23/1988,0.0,0.0
06/23/1988,2.5378735065460205,0.0
06/24/1988,0.0,0.0
06/24/1988,2.6125171184539795,0.0
06/27/1988,0.0,0.0
06/27/1988,2.5378735065460205,0.0
06/28/1988,0.0,0.0
06/28/1988,2.388587474822998,0.0
06/29/1988,0.0,0.0
06/29/1988,2.463231086730957,0.0
06/30/1988,0.0,0.0
06/30/1988,2.6125171184539795,0.0
07/01/1988,0.0,0.0
07/01/1988,2.836446762084961,0.0
07/05/1988,0.0,0.0
07/05/1988,2.7618043422698975,0.0
07/06/1988,0.0,0.0
07/06/1988,2.6871602535247803,0.0
07/07/1988,0.0,0.0
07/07/1988,2.6871602535247803,0.0
07/08/1988,0.0,0.0
07/08/1988,2.6125171184539795,0.0
07/11/1988,0.0,0.0
07/11/1988,2.6125171184539795,0.0
07/12/1988,0.0,0.0
07/12/1988,2.6125171184539795,0.0
07/13/1988,0.0,0.0
07/13/1988,2.6871602535247803,0.0
07/14/1988,0.0,0.0
07/14/1988,2.6125171184539795,0.0
07/15/1988,0.0,0.0
07/15/1988,2.6125171184539795,0.0
07/18/1988,0.0,0.0
07/18/1988,2.5378735065460205,0.0
07/19/1988,0.0,0.0
07/19/1988,2.463231086730957,0.0
07/20/1988,0.0,0.0
07/20/1988,2.313944101333618,0.0
07/21/1988,0.0,0.0
07/21/1988,2.388587474822998,0.0
07/22/1988,0.0,0.0
07/22/1988,2.313944101333618,0.0
07/25/1988,0.0,0.0
07/25/1988,2.313944101333618,0.0
07/26/1988,0.0,0.0
07/26/1988,2.313944101333618,0.0
07/27/1988,0.0,0.0
07/27/1988,2.313944101333618,0.0
07/28/1988,0.0,0.0
07/28/1988,2.313944101333618,0.0
07/29/1988,0.0,0.0
07/29/1988,2.313944101333618,0.0
08/01/1988,0.0,0.0
08/01/1988,2.388587474822998,0.0
08/02/1988,0.0,0.0
08/02/1988,2.313944101333618,0.0
08/03/1988,0.0,0.0
08/03/1988,2.239300012588501,0.0
08/04/1988,0.0,0.0
08/04/1988,2.1646568775177,0.0
08/05/1988,0.0,0.0
08/05/1988,2.239300012588501,0.0
08/08/1988,0.0,0.0
08/08/1988,2.239300012588501,0.0
08/09/1988,0.0,0.0
08/09/1988,2.0900142192840576,0.0
08/10/1988,0.0,0.0
08/10/1988,1.9407280683517456,0.0
08/11/1988,0.0,0.0
08/11/1988,2.0153701305389404,0.0
08/12/1988,0.0,0.0
08/12/1988,2.0153701305389404,0.0
08/15/1988,0.0,0.0
08/15/1988,1.9407280683517456,0.0
08/16/1988,0.0,0.0
08/16/1988,1.8660839796066284,0.0
08/17/1988,0.0,0.0
08/17/1988,1.6421536207199097,0.0
08/18/1988,0.0,0.0
08/18/1988,1.6421536207199097,0.0
08/19/1988,0.0,0.0
08/19/1988,1.6421536207199097,0.0
08/22/1988,0.0,0.0
08/22/1988,1.567510724067688,0.0
08/23/1988,0.0,0.0
08/23/1988,1.6421536207199097,0.0
08/24/1988,0.0,0.0
08/24/1988,1.567510724067688,0.0
08/25/1988,0.0,0.0
08/25/1988,1.567510724067688,0.0
08/26/1988,0.0,0.0
08/26/1988,1.7167965173721313,0.0
08/29/1988,0.0,0.0
08/29/1988,1.6421536207199097,0.0
08/30/1988,0.0,0.0
08/30/1988,1.6421536207199097,0.0
08/31/1988,0.0,0.0
08/31/1988,1.6421536207199097,0.0
09/01/1988,1.6421536207199097,0.0
09/01/1988,1.6421536207199097,0.0
09/02/1988,0.0,0.0
09/02/1988,1.6421536207199097,0.0
09/06/1988,0.0,0.0
09/06/1988,1.6421536207199097,0.0
09/07/1988,0.0,0.0
09/07/1988,1.4182233810424805,0.0
09/08/1988,0.0,0.0
09/08/1988,1.7167965173721313,0.0
09/09/1988,0.0,0.0
09/09/1988,1.9407280683517456,0.0
09/12/1988,0.0,0.0
09/12/1988,1.8660839796066284,0.0
09/13/1988,0.0,0.0
09/13/1988,1.7167965173721313,0.0
09/14/1988,0.0,0.0
09/14/1988,1.7914412021636963,0.0
09/15/1988,0.0,0.0
09/15/1988,1.7914412021636963,0.0
09/16/1988,0.0,0.0
09/16/1988,1.8660839796066284,0.0
09/19/1988,0.0,0.0
09/19/1988,1.7914412021636963,0.0
09/20/1988,0.0,0.0
09/20/1988,1.7914412021636963,0.0
09/21/1988,0.0,0.0
09/21/1988,1.7914412021636963,0.0
09/22/1988,0.0,0.0
09/22/1988,1.7167965173721313,0.0
09/23/1988,0.0,0.0
09/23/1988,1.7167965173721313,0.0
09/26/1988,0.0,0.0
09/26/1988,1.7167965173721313,0.0
09/27/1988,0.0,0.0
09/27/1988,1.6421536207199097,0.0
09/28/1988,0.0,0.0
09/28/1988,1.6421536207199097,0.0
09/29/1988,0.0,0.0
09/29/1988,1.6421536207199097,0.0
09/30/1988,0.0,0.0
09/30/1988,1.567510724067688,0.0
10/03/1988,0.0,0.0
10/03/1988,1.4928669929504395,0.0
10/04/1988,0.0,0.0
10/04/1988,1.567510724067688,0.0
10/05/1988,0.0,0.0
10/05/1988,1.4928669929504395,0.0
10/06/1988,0.0,0.0
10/06/1988,1.567510724067688,0.0
10/07/1988,0.0,0.0
10/07/1988,1.4928669929504395,0.0
10/10/1988,0.0,0.0
10/10/1988,1.4182233810424805,0.0
10/11/1988,0.0,0.0
10/11/1988,1.4182233810424805,0.0
10/12/1988,0.0,0.0
10/12/1988,1.4182233810424805,0.0
10/13/1988,0.0,0.0
10/13/1988,1.3435801267623901,0.0
10/14/1988,0.0,0.0
10/14/1988,1.4182233810424805,0.0
10/17/1988,0.0,0.0
10/17/1988,1.3435801267623901,0.0
10/18/1988,0.0,0.0
10/18/1988,1.3435801267623901,0.0
10/19/1988,0.0,0.0
10/19/1988,1.3435801267623901,0.0
10/20/1988,0.0,0.0
10/20/1988,1.4182233810424805,0.0
10/21/1988,0.0,0.0
10/21/1988,1.4182233810424805,0.0
10/24/1988,0.0,0.0
10/24/1988,1.3435801267623901,0.0
10/25/1988,0.0,0.0
10/25/1988,1.3435801267623901,0.0
10/26/1988,0.0,0.0
10/26/1988,1.3435801267623901,0.0
10/27/1988,0.0,0.0
10/27/1988,1.3435801267623901,0.0
10/28/1988,0.0,0.0
10/28/1988,1.4182233810424805,0.0
10/31/1988,0.0,0.0
10/31/1988,1.567510724067688,0.0
11/01/1988,0.0,0.0
11/01/1988,1.7914412021636963,0.0
11/02/1988,0.0,0.0
11/02/1988,1.7914412021636963,0.0
11/03/1988,0.0,0.0
11/03/1988,1.9407280683517456,0.0
11/04/1988,0.0,0.0
11/04/1988,1.9407280683517456,0.0
11/07/1988,0.0,0.0
11/07/1988,1.8660839796066284,0.0
11/08/1988,0.0,0.0
11/08/1988,1.7914412021636963,0.0
11/09/1988,0.0,0.0
11/09/1988,1.7167965173721313,0.0
11/10/1988,0.0,0.0
11/10/1988,1.6421536207199097,0.0
11/11/1988,0.0,0.0
11/11/1988,1.567510724067688,0.0
11/14/1988,0.0,0.0
11/14/1988,1.567510724067688,0.0
11/15/1988,0.0,0.0
11/15/1988,1.567510724067688,0.0
11/16/1988,0.0,0.0
11/16/1988,1.6421536207199097,0.0
11/17/1988,0.0,0.0
11/17/1988,1.6421536207199097,0.0
11/18/1988,0.0,0.0
11/18/1988,1.567510724067688,0.0
11/21/1988,0.0,0.0
11/21/1988,1.567510724067688,0.0
11/22/1988,1.567510724067688,0.0
11/22/1988,1.567510724067688,0.0
11/23/1988,0.0,0.0
11/23/1988,1.567510724067688,0.0
11/25/1988,0.0,0.0
11/25/1988,1.567510724067688,0.0
11/28/1988,1.567510724067688,0.0
11/28/1988,1.567510724067688,0.0
11/29/1988,0.0,0.0
11/29/1988,1.4928669929504395,0.0
11/30/1988,0.0,0.0
11/30/1988,1.567510724067688,0.0
12/01/1988,0.0,0.0
12/01/1988,1.567510724067688,0.0
12/02/1988,0.0,0.0
