ZEC-USD,Zcash USD,
Date,Price,Dividend,Annualized Dividend
10/29/2016,4293.3701171875,0.0,0.0
10/30/2016,2014.3800048828125,0.0,0.0
10/31/2016,570.9119873046875,0.0,0.0
11/01/2016,1599.719970703125,0.0,0.0
11/02/2016,1326.2900390625,0.0,0.0
11/03/2016,940.6610107421875,0.0,0.0
11/04/2016,887.6640014648438,0.0,0.0
11/05/2016,599.5189819335938,0.0,0.0
11/06/2016,504.2699890136719,0.0,0.0
11/07/2016,319.2330017089844,0.0,0.0
11/08/2016,233.7790069580078,0.0,0.0
11/09/2016,331.69000244140625,0.0,0.0
11/10/2016,254.93699645996094,0.0,0.0
11/11/2016,224.6719970703125,0.0,0.0
11/12/2016,183.02000427246094,0.0,0.0
11/13/2016,143.1739959716797,0.0,0.0
11/14/2016,117.55400085449219,0.0,0.0
11/15/2016,105.15499877929688,0.0,0.0
11/16/2016,109.70999908447266,0.0,0.0
11/17/2016,97.47769927978516,0.0,0.0
11/18/2016,87.32939910888672,0.0,0.0
11/19/2016,71.11640167236328,0.0,0.0
11/20/2016,65.28790283203125,0.0,0.0
11/21/2016,59.96160125732422,0.0,0.0
11/22/2016,54.01340103149414,0.0,0.0
11/23/2016,57.535701751708984,0.0,0.0
11/24/2016,78.43350219726562,0.0,0.0
11/25/2016,96.63939666748047,0.0,0.0
11/26/2016,91.1333999633789,0.0,0.0
11/27/2016,77.32939910888672,0.0,0.0
11/28/2016,69.26470184326172,0.0,0.0
11/29/2016,71.84459686279297,0.0,0.0
11/30/2016,68.75969696044922,0.0,0.0
12/01/2016,68.45559692382812,0.0,0.0
12/02/2016,63.62670135498047,0.0,0.0
12/03/2016,59.84629821777344,0.0,0.0
12/04/2016,59.46260070800781,0.0,0.0
12/05/2016,58.38949966430664,0.0,0.0
12/06/2016,50.97129821777344,0.0,0.0
12/07/2016,48.73970031738281,0.0,0.0
12/08/2016,54.00090026855469,0.0,0.0
12/09/2016,53.37990188598633,0.0,0.0
12/10/2016,50.354698181152344,0.0,0.0
12/11/2016,49.60060119628906,0.0,0.0
12/12/2016,48.48040008544922,0.0,0.0
12/13/2016,50.022300720214844,0.0,0.0
12/14/2016,46.817501068115234,0.0,0.0
12/15/2016,44.410499572753906,0.0,0.0
12/16/2016,40.477298736572266,0.0,0.0
12/17/2016,40.21889877319336,0.0,0.0
12/18/2016,35.82160186767578,0.0,0.0
12/19/2016,36.54629898071289,0.0,0.0
12/20/2016,34.55500030517578,0.0,0.0
12/21/2016,36.165199279785156,0.0,0.0
12/22/2016,36.29249954223633,0.0,0.0
12/23/2016,48.019100189208984,0.0,0.0
12/24/2016,51.98939895629883,0.0,0.0
12/25/2016,48.517601013183594,0.0,0.0
12/26/2016,45.89059829711914,0.0,0.0
12/27/2016,43.50270080566406,0.0,0.0
12/28/2016,44.02280044555664,0.0,0.0
12/29/2016,48.42850112915039,0.0,0.0
12/30/2016,50.52360153198242,0.0,0.0
12/31/2016,50.48059844970703,0.0,0.0
01/01/2017,48.048500061035156,0.0,0.0
01/02/2017,48.358299255371094,0.0,0.0
01/03/2017,50.08639907836914,0.0,0.0
01/04/2017,49.80009841918945,0.0,0.0
01/05/2017,57.220001220703125,0.0,0.0
01/06/2017,49.79130172729492,0.0,0.0
01/07/2017,47.70899963378906,0.0,0.0
01/08/2017,47.39229965209961,0.0,0.0
01/09/2017,46.11819839477539,0.0,0.0
01/10/2017,46.21839904785156,0.0,0.0
01/11/2017,45.6338996887207,0.0,0.0
01/12/2017,40.066898345947266,0.0,0.0
01/13/2017,42.66120147705078,0.0,0.0
01/14/2017,43.210201263427734,0.0,0.0
01/15/2017,43.62889862060547,0.0,0.0
01/16/2017,45.10060119628906,0.0,0.0
01/17/2017,43.58250045776367,0.0,0.0
01/18/2017,44.736000061035156,0.0,0.0
01/19/2017,43.88520050048828,0.0,0.0
01/20/2017,44.21780014038086,0.0,0.0
01/21/2017,43.599700927734375,0.0,0.0
01/22/2017,43.497798919677734,0.0,0.0
01/23/2017,43.33649826049805,0.0,0.0
01/24/2017,42.673099517822266,0.0,0.0
01/25/2017,41.41310119628906,0.0,0.0
01/26/2017,40.088199615478516,0.0,0.0
01/27/2017,38.70940017700195,0.0,0.0
01/28/2017,38.23320007324219,0.0,0.0
01/29/2017,38.26240158081055,0.0,0.0
01/30/2017,38.6510009765625,0.0,0.0
01/31/2017,39.80059814453125,0.0,0.0
02/01/2017,39.56769943237305,0.0,0.0
02/02/2017,39.91210174560547,0.0,0.0
02/03/2017,39.24810028076172,0.0,0.0
02/04/2017,39.03670120239258,0.0,0.0
02/05/2017,39.368900299072266,0.0,0.0
02/06/2017,38.18159866333008,0.0,0.0
02/07/2017,37.6255989074707,0.0,0.0
02/08/2017,36.453399658203125,0.0,0.0
02/09/2017,35.32320022583008,0.0,0.0
02/10/2017,33.352699279785156,0.0,0.0
02/11/2017,32.71200180053711,0.0,0.0
02/12/2017,32.703800201416016,0.0,0.0
02/13/2017,31.515300750732422,0.0,0.0
02/14/2017,30.398099899291992,0.0,0.0
02/15/2017,32.303199768066406,0.0,0.0
02/16/2017,33.562801361083984,0.0,0.0
02/17/2017,32.54130172729492,0.0,0.0
02/18/2017,32.096500396728516,0.0,0.0
02/19/2017,30.790800094604492,0.0,0.0
02/20/2017,30.599000930786133,0.0,0.0
02/21/2017,30.888700485229492,0.0,0.0
02/22/2017,29.932899475097656,0.0,0.0
02/23/2017,27.184200286865234,0.0,0.0
02/24/2017,30.1112003326416,0.0,0.0
02/25/2017,30.119699478149414,0.0,0.0
02/26/2017,29.138099670410156,0.0,0.0
02/27/2017,29.36989974975586,0.0,0.0
02/28/2017,36.41559982299805,0.0,0.0
03/01/2017,37.27949905395508,0.0,0.0
03/02/2017,41.57749938964844,0.0,0.0
03/03/2017,39.709598541259766,0.0,0.0
03/04/2017,41.855098724365234,0.0,0.0
03/05/2017,41.6713981628418,0.0,0.0
03/06/2017,39.43629837036133,0.0,0.0
03/07/2017,40.12820053100586,0.0,0.0
03/08/2017,38.027400970458984,0.0,0.0
03/09/2017,35.75320053100586,0.0,0.0
03/10/2017,36.70119857788086,0.0,0.0
03/11/2017,35.29759979248047,0.0,0.0
03/12/2017,39.877498626708984,0.0,0.0
03/13/2017,40.174198150634766,0.0,0.0
03/14/2017,47.745201110839844,0.0,0.0
03/15/2017,45.05979919433594,0.0,0.0
03/16/2017,45.64799880981445,0.0,0.0
03/17/2017,49.12480163574219,0.0,0.0
03/18/2017,48.27000045776367,0.0,0.0
03/19/2017,63.48139953613281,0.0,0.0
03/20/2017,70.06819915771484,0.0,0.0
03/21/2017,72.09239959716797,0.0,0.0
03/22/2017,66.14550018310547,0.0,0.0
03/23/2017,69.339599609375,0.0,0.0
03/24/2017,66.57260131835938,0.0,0.0
03/25/2017,64.77429962158203,0.0,0.0
03/26/2017,63.56050109863281,0.0,0.0
03/27/2017,60.04180145263672,0.0,0.0
03/28/2017,54.666500091552734,0.0,0.0
03/29/2017,64.956298828125,0.0,0.0
03/30/2017,63.262298583984375,0.0,0.0
03/31/2017,66.93399810791016,0.0,0.0
04/01/2017,70.1666030883789,0.0,0.0
04/02/2017,64.56690216064453,0.0,0.0
04/03/2017,64.0416030883789,0.0,0.0
04/04/2017,63.50419998168945,0.0,0.0
04/05/2017,62.58919906616211,0.0,0.0
04/06/2017,59.1697998046875,0.0,0.0
04/07/2017,57.782901763916016,0.0,0.0
04/08/2017,59.52619934082031,0.0,0.0
04/09/2017,63.527400970458984,0.0,0.0
04/10/2017,62.77289962768555,0.0,0.0
04/11/2017,64.90979766845703,0.0,0.0
04/12/2017,61.89720153808594,0.0,0.0
04/13/2017,62.07279968261719,0.0,0.0
04/14/2017,64.81089782714844,0.0,0.0
04/15/2017,71.90730285644531,0.0,0.0
04/16/2017,72.94170379638672,0.0,0.0
04/17/2017,71.59220123291016,0.0,0.0
04/18/2017,70.25479888916016,0.0,0.0
04/19/2017,71.783203125,0.0,0.0
04/20/2017,71.0177993774414,0.0,0.0
04/21/2017,67.29920196533203,0.0,0.0
04/22/2017,68.00469970703125,0.0,0.0
04/23/2017,68.75379943847656,0.0,0.0
04/24/2017,66.55799865722656,0.0,0.0
04/25/2017,67.84819793701172,0.0,0.0
04/26/2017,69.14219665527344,0.0,0.0
04/27/2017,72.09549713134766,0.0,0.0
04/28/2017,76.86319732666016,0.0,0.0
04/29/2017,84.07330322265625,0.0,0.0
04/30/2017,96.18270111083984,0.0,0.0
05/01/2017,93.73040008544922,0.0,0.0
05/02/2017,90.44080352783203,0.0,0.0
