BCE,"BCE, Inc.",
Date,Price,Annualized Dividend
11/15/1982,0.0,0.0
11/15/1982,0.17,0.0
11/16/1982,0.17,0.0
11/16/1982,0.17,0.0
11/17/1982,0.17,0.0
11/17/1982,0.17,0.0
11/18/1982,0.17,0.0
11/18/1982,0.17,0.0
11/19/1982,0.17,0.0
11/19/1982,0.17,0.0
11/22/1982,0.17,0.0
11/22/1982,0.17,0.0
11/23/1982,0.17,0.0
11/23/1982,0.17,0.0
11/24/1982,0.17,0.0
11/24/1982,0.17,0.0
11/26/1982,0.17,0.0
11/26/1982,0.17,0.0
11/29/1982,0.17,0.0
11/29/1982,0.17,0.0
11/30/1982,0.17,0.0
11/30/1982,0.17,0.0
12/01/1982,0.17,0.0
12/01/1982,0.17,0.0
12/02/1982,0.17,0.0
12/02/1982,0.17,0.0
12/03/1982,0.17,0.0
12/03/1982,0.17,0.0
12/06/1982,0.17,0.0
12/06/1982,0.17,0.0
12/07/1982,0.17,0.0
12/07/1982,0.18,0.0
12/08/1982,0.18,0.0
12/08/1982,0.18,0.0
12/09/1982,0.17,0.0
12/09/1982,0.17,0.0
12/10/1982,0.17,0.0
12/10/1982,0.17,0.0
12/13/1982,0.17,0.0
12/13/1982,0.17,0.0
12/14/1982,0.17,0.0
12/14/1982,0.17,0.0
12/15/1982,0.17,0.0
12/15/1982,0.17,0.0
12/16/1982,0.17,0.0
12/16/1982,0.17,0.0
12/17/1982,0.17,0.0
12/17/1982,0.17,0.0
12/20/1982,0.17,0.0
12/20/1982,0.17,0.0
12/21/1982,0.17,0.0
12/21/1982,0.17,0.0
12/22/1982,0.17,0.0
12/22/1982,0.17,0.0
12/23/1982,0.18,0.0
12/23/1982,0.18,0.0
12/27/1982,0.18,0.0
12/27/1982,0.18,0.0
12/28/1982,0.18,0.0
12/28/1982,0.18,0.0
12/29/1982,0.18,0.0
12/29/1982,0.18,0.0
12/30/1982,0.18,0.0
12/30/1982,0.18,0.0
12/31/1982,0.18,0.0
12/31/1982,0.18,0.0
01/03/1983,0.18,0.0
01/03/1983,0.19,0.0
01/04/1983,0.19,0.0
01/04/1983,0.18,0.0
01/05/1983,0.18,0.0
01/05/1983,0.18,0.0
01/06/1983,0.18,0.0
01/06/1983,0.18,0.0
01/07/1983,0.18,0.0
01/07/1983,0.18,0.0
01/10/1983,0.18,0.0
01/10/1983,0.18,0.0
01/11/1983,0.18,0.0
01/11/1983,0.18,0.0
01/12/1983,0.18,0.0
01/12/1983,0.18,0.0
01/13/1983,0.18,0.0
01/13/1983,0.18,0.0
01/14/1983,0.18,0.0
01/14/1983,0.18,0.0
01/17/1983,0.18,0.0
01/17/1983,0.18,0.0
01/18/1983,0.18,0.0
01/18/1983,0.18,0.0
01/19/1983,0.18,0.0
01/19/1983,0.18,0.0
01/20/1983,0.18,0.0
01/20/1983,0.18,0.0
01/21/1983,0.18,0.0
01/21/1983,0.18,0.0
01/24/1983,0.17,0.0
01/24/1983,0.17,0.0
01/25/1983,0.17,0.0
01/25/1983,0.18,0.0
01/26/1983,0.18,0.0
01/26/1983,0.17,0.0
01/27/1983,0.17,0.0
01/27/1983,0.18,0.0
01/28/1983,0.18,0.0
01/28/1983,0.17,0.0
01/31/1983,0.17,0.0
01/31/1983,0.17,0.0
02/01/1983,0.17,0.0
02/01/1983,0.17,0.0
02/02/1983,0.17,0.0
02/02/1983,0.17,0.0
02/03/1983,0.17,0.0
02/03/1983,0.17,0.0
02/04/1983,0.17,0.0
02/04/1983,0.17,0.0
02/07/1983,0.18,0.0
02/07/1983,0.18,0.0
02/08/1983,0.18,0.0
02/08/1983,0.18,0.0
02/09/1983,0.18,0.0
02/09/1983,0.18,0.0
02/10/1983,0.18,0.0
02/10/1983,0.18,0.0
02/11/1983,0.18,0.0
02/11/1983,0.18,0.0
02/14/1983,0.18,0.0
02/14/1983,0.18,0.0
02/15/1983,0.18,0.0
02/15/1983,0.18,0.0
02/16/1983,0.18,0.0
02/16/1983,0.18,0.0
02/17/1983,0.18,0.0
02/17/1983,0.18,0.0
02/18/1983,0.18,0.0
02/18/1983,0.18,0.0
02/22/1983,0.18,0.0
02/22/1983,0.18,0.0
02/23/1983,0.18,0.0
02/23/1983,0.18,0.0
02/24/1983,0.18,0.0
02/24/1983,0.19,0.0
02/25/1983,0.19,0.0
02/25/1983,0.19,0.0
02/28/1983,0.19,0.0
02/28/1983,0.19,0.0
03/01/1983,0.19,0.0
03/01/1983,0.19,0.0
03/02/1983,0.19,0.0
03/02/1983,0.2,0.0
03/03/1983,0.2,0.0
03/03/1983,0.2,0.0
03/04/1983,0.2,0.0
03/04/1983,0.2,0.0
03/07/1983,0.2,0.0
03/07/1983,0.2,0.0
03/08/1983,0.2,0.0
03/08/1983,0.19,0.0
03/09/1983,0.19,0.0
03/09/1983,0.19,0.0
03/10/1983,0.19,0.0
03/10/1983,0.19,0.0
03/11/1983,0.19,0.0
03/11/1983,0.19,0.0
03/14/1983,0.19,0.0
03/14/1983,0.19,0.0
03/15/1983,0.19,0.0
03/15/1983,0.19,0.0
03/16/1983,0.19,0.0
03/16/1983,0.19,0.0
03/17/1983,0.19,0.0
03/17/1983,0.19,0.0
03/18/1983,0.19,0.0
03/18/1983,0.19,0.0
03/21/1983,0.19,0.0
