BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Annualized Dividend
09/13/1999,3.08,0.0
09/13/1999,3.08,0.0
09/14/1999,3.08,0.0
09/14/1999,3.08,0.0
09/15/1999,3.08,0.0
09/15/1999,3.08,0.0
09/16/1999,3.08,0.0
09/16/1999,3.08,0.0
09/17/1999,3.08,0.0
09/17/1999,3.08,0.0
09/20/1999,3.08,0.0
09/20/1999,3.08,0.0
09/21/1999,3.08,0.0
09/21/1999,3.08,0.0
09/22/1999,3.08,0.0
09/22/1999,3.08,0.0
09/23/1999,3.08,0.0
09/23/1999,3.08,0.0
09/24/1999,2.95,0.0
09/24/1999,2.95,0.0
09/27/1999,2.95,0.0
09/27/1999,2.95,0.0
09/28/1999,2.95,0.0
09/28/1999,2.95,0.0
09/29/1999,2.95,0.0
09/29/1999,2.95,0.0
09/30/1999,2.95,0.0
09/30/1999,2.95,0.0
10/01/1999,3.09,0.48
10/01/1999,3.09,0.48
10/04/1999,3.09,0.48
10/04/1999,3.09,0.48
10/05/1999,3.09,0.48
10/05/1999,3.09,0.48
10/06/1999,3.09,0.48
10/06/1999,3.09,0.48
10/07/1999,3.34,0.48
10/07/1999,3.34,0.48
10/08/1999,3.34,0.48
10/08/1999,3.34,0.48
10/11/1999,3.34,0.48
10/11/1999,3.34,0.48
10/12/1999,3.34,0.48
10/12/1999,3.34,0.48
10/13/1999,3.33,0.48
10/13/1999,3.33,0.48
10/14/1999,3.33,0.48
10/14/1999,3.33,0.48
10/15/1999,3.17,0.48
10/15/1999,3.17,0.48
10/18/1999,3.17,0.48
10/18/1999,3.17,0.48
10/19/1999,3.17,0.48
10/19/1999,3.17,0.48
10/20/1999,3.17,0.48
10/20/1999,3.17,0.48
10/21/1999,3.17,0.48
10/21/1999,3.17,0.48
10/22/1999,3.29,0.48
10/22/1999,3.29,0.48
10/25/1999,3.29,0.48
10/25/1999,3.29,0.48
10/26/1999,3.32,0.48
10/26/1999,3.32,0.48
10/27/1999,3.32,0.48
10/27/1999,3.32,0.48
10/28/1999,3.32,0.48
10/28/1999,3.32,0.48
10/29/1999,3.32,0.48
10/29/1999,3.32,0.48
11/01/1999,3.32,0.48
11/01/1999,3.32,0.48
11/02/1999,3.32,0.48
11/02/1999,3.32,0.48
11/03/1999,3.4,0.48
11/03/1999,3.4,0.48
11/04/1999,3.37,0.48
11/04/1999,3.37,0.48
11/05/1999,3.38,0.48
11/05/1999,3.39,0.48
11/08/1999,3.38,0.48
11/08/1999,3.38,0.48
11/09/1999,3.29,0.48
11/09/1999,3.29,0.48
11/10/1999,3.29,0.48
11/10/1999,3.29,0.48
11/11/1999,3.26,0.48
11/11/1999,3.26,0.48
11/12/1999,3.26,0.48
11/12/1999,3.26,0.48
11/15/1999,3.26,0.48
11/15/1999,3.26,0.48
11/16/1999,3.4,0.48
11/16/1999,3.4,0.48
11/17/1999,3.39,0.48
11/17/1999,3.39,0.48
11/18/1999,3.39,0.48
11/18/1999,3.39,0.48
11/19/1999,3.39,0.48
11/19/1999,3.39,0.48
11/22/1999,3.39,0.48
11/22/1999,3.39,0.48
11/23/1999,3.39,0.48
11/23/1999,3.39,0.48
11/24/1999,3.39,0.48
11/24/1999,3.39,0.48
11/26/1999,3.39,0.48
11/26/1999,3.39,0.48
11/29/1999,3.39,0.48
11/29/1999,3.39,0.48
11/30/1999,3.39,0.48
11/30/1999,3.39,0.48
12/01/1999,3.39,0.48
12/01/1999,3.39,0.48
12/02/1999,3.22,0.48
12/02/1999,3.22,0.48
12/03/1999,3.19,0.48
12/03/1999,3.19,0.48
12/06/1999,3.2,0.48
12/06/1999,3.2,0.48
12/07/1999,3.2,0.48
12/07/1999,3.2,0.48
12/08/1999,3.2,0.48
12/08/1999,3.2,0.48
12/09/1999,3.2,0.48
12/09/1999,3.2,0.48
12/10/1999,3.22,0.48
12/10/1999,3.22,0.48
12/13/1999,3.22,0.48
12/13/1999,3.22,0.48
12/14/1999,3.22,0.48
12/14/1999,3.22,0.48
12/15/1999,3.22,0.48
12/15/1999,3.22,0.48
12/16/1999,3.17,0.48
12/16/1999,3.17,0.48
12/17/1999,3.17,0.48
12/17/1999,3.17,0.48
12/20/1999,3.17,0.48
12/20/1999,3.17,0.48
12/21/1999,3.14,0.48
12/21/1999,3.14,0.48
12/22/1999,3.14,0.48
12/22/1999,3.13,0.48
12/23/1999,3.16,0.48
12/23/1999,3.16,0.48
12/27/1999,3.2,0.48
12/27/1999,3.2,0.48
12/28/1999,3.2,0.48
12/28/1999,3.2,0.48
12/29/1999,3.2,0.48
12/29/1999,3.2,0.48
12/30/1999,3.41,0.96
12/30/1999,3.43,0.96
12/31/1999,3.43,0.96
12/31/1999,3.43,0.96
01/03/2000,3.43,0.96
01/03/2000,3.43,0.96
01/04/2000,3.43,0.96
01/04/2000,3.43,0.96
01/05/2000,3.43,0.96
01/05/2000,3.43,0.96
01/06/2000,3.39,0.96
01/06/2000,3.38,0.96
