EPD,Enterprise Products Partners L.,
Date,Price,Annualized Dividend
07/28/1998,0.25,0.0
07/28/1998,0.25,0.0
07/29/1998,0.25,0.0
07/29/1998,0.25,0.0
07/30/1998,0.25,0.0
07/30/1998,0.25,0.0
07/31/1998,0.25,0.0
07/31/1998,0.24,0.0
08/03/1998,0.24,0.0
08/03/1998,0.24,0.0
08/04/1998,0.24,0.0
08/04/1998,0.23,0.0
08/05/1998,0.23,0.0
08/05/1998,0.22,0.0
08/06/1998,0.22,0.0
08/06/1998,0.22,0.0
08/07/1998,0.23,0.0
08/07/1998,0.23,0.0
08/10/1998,0.23,0.0
08/10/1998,0.22,0.0
08/11/1998,0.22,0.0
08/11/1998,0.22,0.0
08/12/1998,0.22,0.0
08/12/1998,0.22,0.0
08/13/1998,0.22,0.0
08/13/1998,0.22,0.0
08/14/1998,0.22,0.0
08/14/1998,0.21,0.0
08/17/1998,0.21,0.0
08/17/1998,0.21,0.0
08/18/1998,0.21,0.0
08/18/1998,0.22,0.0
08/19/1998,0.22,0.0
08/19/1998,0.22,0.0
08/20/1998,0.22,0.0
08/20/1998,0.22,0.0
08/21/1998,0.22,0.0
08/21/1998,0.22,0.0
08/24/1998,0.22,0.0
08/24/1998,0.21,0.0
08/25/1998,0.22,0.0
08/25/1998,0.21,0.0
08/26/1998,0.21,0.0
08/26/1998,0.21,0.0
08/27/1998,0.21,0.0
08/27/1998,0.21,0.0
08/28/1998,0.2,0.0
08/28/1998,0.19,0.0
08/31/1998,0.19,0.0
08/31/1998,0.2,0.0
09/01/1998,0.19,0.0
09/01/1998,0.2,0.0
09/02/1998,0.2,0.0
09/02/1998,0.2,0.0
09/03/1998,0.19,0.0
09/03/1998,0.2,0.0
09/04/1998,0.2,0.0
09/04/1998,0.19,0.0
09/08/1998,0.19,0.0
09/08/1998,0.2,0.0
09/09/1998,0.2,0.0
09/09/1998,0.2,0.0
09/10/1998,0.19,0.0
09/10/1998,0.19,0.0
09/11/1998,0.19,0.0
09/11/1998,0.19,0.0
09/14/1998,0.19,0.0
09/14/1998,0.2,0.0
09/15/1998,0.2,0.0
09/15/1998,0.2,0.0
09/16/1998,0.2,0.0
09/16/1998,0.21,0.0
09/17/1998,0.2,0.0
09/17/1998,0.2,0.0
09/18/1998,0.2,0.0
09/18/1998,0.2,0.0
09/21/1998,0.2,0.0
09/21/1998,0.2,0.0
09/22/1998,0.2,0.0
09/22/1998,0.2,0.0
09/23/1998,0.2,0.0
09/23/1998,0.2,0.0
09/24/1998,0.2,0.0
