FF,FutureFuel Corp.,
Date,Price,Annualized Dividend
03/23/2011,6.79,0.0
03/23/2011,6.89,0.0
03/24/2011,6.97,0.0
03/24/2011,7.0,0.0
03/25/2011,7.03,0.0
03/25/2011,7.04,0.0
03/28/2011,7.08,0.0
03/28/2011,6.97,0.0
03/29/2011,7.04,0.0
03/29/2011,6.97,0.0
03/30/2011,7.0,0.0
03/30/2011,7.31,0.0
03/31/2011,7.31,0.0
03/31/2011,7.31,0.0
04/01/2011,7.41,0.0
04/01/2011,7.48,0.0
04/04/2011,7.55,0.0
04/04/2011,7.6,0.0
04/05/2011,7.6,0.0
04/05/2011,7.6,0.0
04/06/2011,7.65,0.0
04/06/2011,7.64,0.0
04/07/2011,7.71,0.0
04/07/2011,7.75,0.0
04/08/2011,7.79,0.0
04/08/2011,7.86,0.0
04/11/2011,7.89,0.0
04/11/2011,8.57,0.0
04/12/2011,8.64,0.0
04/12/2011,8.59,0.0
04/13/2011,8.64,0.0
04/13/2011,8.65,0.0
04/14/2011,8.62,0.0
04/14/2011,8.66,0.0
04/15/2011,8.66,0.0
04/15/2011,8.45,0.0
04/18/2011,8.38,0.0
04/18/2011,8.19,0.0
04/19/2011,8.26,0.0
04/19/2011,8.47,0.0
04/20/2011,8.7,0.0
04/20/2011,8.59,0.0
04/21/2011,8.63,0.0
04/21/2011,8.76,0.0
04/25/2011,8.84,0.0
04/25/2011,8.84,0.0
04/26/2011,8.85,0.0
04/26/2011,8.87,0.0
04/27/2011,8.87,0.0
04/27/2011,8.97,0.0
04/28/2011,8.94,0.0
04/28/2011,8.81,0.0
04/29/2011,8.81,0.0
04/29/2011,8.63,0.0
05/02/2011,8.57,0.0
05/02/2011,8.55,0.0
05/03/2011,8.59,0.0
05/03/2011,8.56,0.0
05/04/2011,8.56,0.0
05/04/2011,8.62,0.0
05/05/2011,8.57,0.0
05/05/2011,8.74,0.0
05/06/2011,8.77,0.0
05/06/2011,8.68,0.0
05/09/2011,8.62,0.0
05/09/2011,8.55,0.0
05/10/2011,8.55,0.0
05/10/2011,8.67,0.0
