FTR,Frontier Communications Corpora,
Date,Price,Annualized Dividend
03/17/1980,0.0,0.0
03/17/1980,3.7448,0.0
03/18/1980,0.0,0.0
03/18/1980,3.7448,0.0
03/19/1980,0.0,0.0
03/19/1980,3.7448,0.0
03/20/1980,0.0,0.0
03/20/1980,3.7448,0.0
03/21/1980,0.0,0.0
03/21/1980,3.7448,0.0
03/24/1980,0.0,0.0
03/24/1980,3.7448,0.0
03/25/1980,0.0,0.0
03/25/1980,3.7448,0.0
03/26/1980,0.0,0.0
03/26/1980,3.7448,0.0
03/27/1980,0.0,0.0
03/27/1980,3.6408,0.0
03/28/1980,0.0,0.0
03/28/1980,3.6408,0.0
03/31/1980,0.0,0.0
03/31/1980,3.7101,0.0
04/01/1980,0.0,0.0
04/01/1980,3.7795,0.0
04/02/1980,0.0,0.0
04/02/1980,3.8488,0.0
04/03/1980,0.0,0.0
04/03/1980,3.8488,0.0
04/07/1980,0.0,0.0
04/07/1980,3.8488,0.0
04/08/1980,0.0,0.0
04/08/1980,3.8488,0.0
04/09/1980,0.0,0.0
04/09/1980,3.8488,0.0
04/10/1980,0.0,0.0
04/10/1980,3.8488,0.0
04/11/1980,0.0,0.0
04/11/1980,3.8488,0.0
04/14/1980,0.0,0.0
04/14/1980,3.8488,0.0
04/15/1980,0.0,0.0
04/15/1980,3.8488,0.0
04/16/1980,0.0,0.0
04/16/1980,3.8835,0.0
04/17/1980,0.0,0.0
04/17/1980,3.8835,0.0
04/18/1980,0.0,0.0
04/18/1980,3.9182,0.0
04/21/1980,0.0,0.0
04/21/1980,3.9875,0.0
04/22/1980,0.0,0.0
04/22/1980,3.9529,0.0
04/23/1980,0.0,0.0
04/23/1980,3.9529,0.0
04/24/1980,0.0,0.0
04/24/1980,3.9529,0.0
04/25/1980,0.0,0.0
04/25/1980,3.9529,0.0
04/28/1980,0.0,0.0
04/28/1980,3.9529,0.0
04/29/1980,0.0,0.0
04/29/1980,3.9529,0.0
04/30/1980,0.0,0.0
04/30/1980,3.9529,0.0
05/01/1980,0.0,0.0
05/01/1980,3.9529,0.0
05/02/1980,0.0,0.0
05/02/1980,3.9529,0.0
05/05/1980,0.0,0.0
05/05/1980,4.0222,0.0
05/06/1980,0.0,0.0
05/06/1980,3.9875,0.0
05/07/1980,0.0,0.0
05/07/1980,4.0222,0.0
05/08/1980,0.0,0.0
05/08/1980,4.0569,0.0
05/09/1980,0.0,0.0
05/09/1980,4.0569,0.0
05/12/1980,0.0,0.0
05/12/1980,4.0569,0.0
05/13/1980,0.0,0.0
05/13/1980,4.0915,0.0
05/14/1980,0.0,0.0
05/14/1980,4.1262,0.0
05/15/1980,0.0,0.0
05/15/1980,4.1262,0.0
05/16/1980,4.1262,0.0
05/16/1980,4.1262,0.0
05/19/1980,0.0,0.0
05/19/1980,4.1262,0.0
05/20/1980,0.0,0.0
05/20/1980,4.1609,0.0
05/21/1980,0.0,0.0
05/21/1980,4.1956,0.0
05/22/1980,0.0,0.0
05/22/1980,4.1956,0.0
05/23/1980,0.0,0.0
05/23/1980,4.1956,0.0
05/27/1980,0.0,0.0
05/27/1980,4.1956,0.0
05/28/1980,0.0,0.0
05/28/1980,4.1609,0.0
05/29/1980,0.0,0.0
05/29/1980,4.1609,0.0
05/30/1980,0.0,0.0
05/30/1980,4.1609,0.0
06/02/1980,0.0,0.0
06/02/1980,4.1956,0.0
06/03/1980,0.0,0.0
06/03/1980,4.1609,0.0
06/04/1980,0.0,0.0
06/04/1980,4.1956,0.0
06/05/1980,0.0,0.0
06/05/1980,4.1956,0.0
06/06/1980,0.0,0.0
06/06/1980,4.1956,0.0
06/09/1980,0.0,0.0
06/09/1980,4.1956,0.0
06/10/1980,0.0,0.0
06/10/1980,4.1956,0.0
06/11/1980,0.0,0.0
06/11/1980,4.2302,0.0
06/12/1980,0.0,0.0
06/12/1980,4.2649,0.0
06/13/1980,0.0,0.0
06/13/1980,4.2996,0.0
06/16/1980,0.0,0.0
06/16/1980,4.3343,0.0
06/17/1980,0.0,0.0
06/17/1980,4.4036,0.0
06/18/1980,0.0,0.0
06/18/1980,4.473,0.0
06/19/1980,0.0,0.0
06/19/1980,4.5076,0.0
06/20/1980,0.0,0.0
06/20/1980,4.5076,0.0
06/23/1980,0.0,0.0
06/23/1980,4.5076,0.0
06/24/1980,0.0,0.0
06/24/1980,4.5076,0.0
06/25/1980,0.0,0.0
06/25/1980,4.5076,0.0
06/26/1980,0.0,0.0
06/26/1980,4.5076,0.0
06/27/1980,4.5076,0.0
06/27/1980,4.5076,0.0
06/30/1980,0.0,0.0
06/30/1980,4.5423,0.0
07/01/1980,0.0,0.0
07/01/1980,4.577,0.0
07/02/1980,0.0,0.0
07/02/1980,4.681,0.0
07/03/1980,0.0,0.0
07/03/1980,4.7504,0.0
07/07/1980,0.0,0.0
07/07/1980,4.785,0.0
07/08/1980,0.0,0.0
07/08/1980,4.785,0.0
07/09/1980,0.0,0.0
07/09/1980,4.785,0.0
07/10/1980,0.0,0.0
07/10/1980,4.785,0.0
07/11/1980,0.0,0.0
07/11/1980,4.785,0.0
07/14/1980,0.0,0.0
07/14/1980,4.785,0.0
07/15/1980,4.785,0.0
