PIN,Invesco India ETF,
Date,Price,Annualized Dividend
03/05/2008,23.19,0.0
03/05/2008,23.39,0.0
03/06/2008,23.11,0.0
03/06/2008,22.28,0.0
03/07/2008,21.76,0.0
03/07/2008,21.84,0.0
03/10/2008,22.03,0.0
03/10/2008,21.34,0.0
03/11/2008,23.06,0.0
03/11/2008,23.71,0.0
03/12/2008,23.21,0.0
03/12/2008,22.66,0.0
03/13/2008,21.54,0.0
03/13/2008,22.03,0.0
03/14/2008,22.53,0.0
03/14/2008,21.66,0.0
03/17/2008,21.02,0.0
03/17/2008,20.87,0.0
03/18/2008,21.14,0.0
03/18/2008,21.8,0.0
03/19/2008,21.67,0.0
03/19/2008,20.66,0.0
03/20/2008,20.87,0.0
03/20/2008,21.18,0.0
03/24/2008,21.38,0.0
03/24/2008,21.89,0.0
03/25/2008,22.93,0.0
03/25/2008,22.99,0.0
03/26/2008,22.84,0.0
03/26/2008,22.5,0.0
03/27/2008,22.81,0.0
03/27/2008,22.46,0.0
03/28/2008,23.31,0.0
03/28/2008,22.77,0.0
03/31/2008,22.09,0.0
03/31/2008,22.45,0.0
04/01/2008,22.45,0.0
04/01/2008,23.15,0.0
04/02/2008,22.6,0.0
04/02/2008,22.54,0.0
04/03/2008,22.31,0.0
04/03/2008,22.56,0.0
04/04/2008,22.03,0.0
04/04/2008,21.97,0.0
04/07/2008,22.46,0.0
04/07/2008,22.44,0.0
04/08/2008,22.23,0.0
04/08/2008,22.16,0.0
04/09/2008,22.42,0.0
04/09/2008,22.06,0.0
04/10/2008,22.33,0.0
04/10/2008,22.32,0.0
04/11/2008,21.95,0.0
04/11/2008,21.92,0.0
04/14/2008,21.83,0.0
04/14/2008,21.82,0.0
04/15/2008,23.13,0.0
04/15/2008,23.06,0.0
04/16/2008,23.34,0.0
04/16/2008,23.7,0.0
04/17/2008,23.51,0.0
04/17/2008,23.39,0.0
04/18/2008,23.78,0.0
04/18/2008,23.96,0.0
04/21/2008,23.69,0.0
04/21/2008,24.01,0.0
04/22/2008,23.88,0.0
04/22/2008,23.73,0.0
04/23/2008,23.83,0.0
04/23/2008,23.99,0.0
04/24/2008,24.01,0.0
04/24/2008,24.15,0.0
04/25/2008,24.34,0.0
04/25/2008,24.44,0.0
04/28/2008,24.27,0.0
04/28/2008,24.17,0.0
04/29/2008,24.66,0.0
04/29/2008,24.37,0.0
04/30/2008,24.49,0.0
04/30/2008,24.41,0.0
05/01/2008,24.2,0.0
05/01/2008,24.78,0.0
05/02/2008,24.9,0.0
05/02/2008,24.84,0.0
05/05/2008,24.78,0.0
05/05/2008,24.53,0.0
05/06/2008,24.11,0.0
05/06/2008,24.41,0.0
05/07/2008,24.05,0.0
05/07/2008,23.43,0.0
05/08/2008,23.37,0.0
05/08/2008,23.29,0.0
05/09/2008,23.05,0.0
05/09/2008,22.93,0.0
05/12/2008,22.88,0.0
05/12/2008,23.0,0.0
05/13/2008,22.67,0.0
05/13/2008,22.55,0.0
05/14/2008,22.84,0.0
05/14/2008,22.78,0.0
05/15/2008,23.01,0.0
05/15/2008,23.4,0.0
05/16/2008,23.35,0.0
05/16/2008,23.21,0.0
05/19/2008,23.23,0.0
05/19/2008,23.37,0.0
05/20/2008,23.11,0.0
05/20/2008,22.81,0.0
05/21/2008,22.89,0.0
05/21/2008,22.54,0.0
05/22/2008,22.51,0.0
05/22/2008,22.52,0.0
05/23/2008,22.3,0.0
05/23/2008,21.94,0.0
05/27/2008,21.62,0.0
05/27/2008,21.86,0.0
05/28/2008,22.0,0.0
05/28/2008,22.0,0.0
05/29/2008,21.72,0.0
05/29/2008,22.13,0.0
05/30/2008,22.22,0.0
05/30/2008,22.45,0.0
06/02/2008,22.08,0.0
06/02/2008,21.49,0.0
06/03/2008,21.49,0.0
06/03/2008,21.23,0.0
06/04/2008,20.79,0.0
06/04/2008,20.68,0.0
06/05/2008,21.1,0.0
06/05/2008,21.34,0.0
06/06/2008,20.77,0.0
06/06/2008,20.23,0.0
06/09/2008,20.15,0.0
06/09/2008,20.12,0.0
06/10/2008,19.82,0.0
06/10/2008,19.84,0.0
06/11/2008,20.13,0.0
06/11/2008,19.51,0.0
06/12/2008,19.99,0.0
06/12/2008,20.35,0.0
06/13/2008,20.3,0.0
06/13/2008,20.5,0.0
06/16/2008,20.32,0.0
06/16/2008,20.34,0.0
06/17/2008,20.9,0.0
06/17/2008,20.6,0.0
06/18/2008,20.32,0.0
06/18/2008,20.25,0.0
06/19/2008,20.26,0.0
06/19/2008,20.19,0.0
06/20/2008,19.44,0.033
