SIG,Signet Jewelers Limited,
Date,Price,Annualized Dividend
07/14/1988,0.0,0.0
07/14/1988,57.46,0.0
07/15/1988,0.0,0.0
07/15/1988,55.88,0.0
07/18/1988,0.0,0.0
07/18/1988,54.3,0.0
07/19/1988,0.0,0.0
07/19/1988,54.82,0.0
07/20/1988,0.0,0.0
07/20/1988,54.82,0.0
07/21/1988,0.0,0.0
07/21/1988,54.82,0.0
07/22/1988,0.0,0.0
07/22/1988,54.3,0.0
07/25/1988,0.0,0.0
07/25/1988,54.3,0.0
07/26/1988,0.0,0.0
07/26/1988,54.3,0.0
07/27/1988,0.0,0.0
07/27/1988,54.3,0.0
07/28/1988,54.3,0.0
07/28/1988,54.3,0.0
07/29/1988,0.0,0.0
07/29/1988,54.3,0.0
08/01/1988,0.0,0.0
08/01/1988,54.82,0.0
08/02/1988,0.0,0.0
08/02/1988,53.77,0.0
08/03/1988,53.77,0.0
08/03/1988,53.77,0.0
08/04/1988,0.0,0.0
08/04/1988,54.82,0.0
08/05/1988,54.82,0.0
08/05/1988,54.82,0.0
08/08/1988,54.82,0.0
08/08/1988,54.82,0.0
08/09/1988,0.0,0.0
08/09/1988,52.72,0.0
08/10/1988,0.0,0.0
08/10/1988,51.13,0.0
08/11/1988,0.0,0.0
08/11/1988,51.66,0.0
08/12/1988,0.0,0.0
08/12/1988,51.66,0.0
08/15/1988,0.0,0.0
08/15/1988,50.61,0.0
08/16/1988,50.61,0.0
08/16/1988,50.61,0.0
08/17/1988,0.0,0.0
08/17/1988,50.61,0.0
08/18/1988,50.61,0.0
08/18/1988,50.61,0.0
08/19/1988,0.0,0.0
08/19/1988,50.61,0.0
08/22/1988,50.61,0.0
08/22/1988,50.61,0.0
08/23/1988,0.0,0.0
08/23/1988,51.13,0.0
08/24/1988,51.13,0.0
08/24/1988,51.13,0.0
08/25/1988,51.13,0.0
08/25/1988,51.13,0.0
08/26/1988,51.13,0.0
08/26/1988,51.13,0.0
08/29/1988,51.13,0.0
08/29/1988,51.13,0.0
08/30/1988,0.0,0.0
08/30/1988,46.39,0.0
08/31/1988,0.0,0.0
08/31/1988,46.39,0.0
09/01/1988,46.39,0.0
09/01/1988,46.39,0.0
09/02/1988,46.39,0.0
09/02/1988,46.39,0.0
09/06/1988,46.39,0.0
09/06/1988,46.39,0.0
09/07/1988,46.39,0.0
09/07/1988,46.39,0.0
09/08/1988,46.39,0.0
09/08/1988,46.39,0.0
09/09/1988,0.0,0.0
09/09/1988,45.34,0.0
09/12/1988,45.34,0.0
09/12/1988,45.34,0.0
09/13/1988,45.34,0.0
09/13/1988,45.34,0.0
09/14/1988,45.34,0.0
09/14/1988,45.34,0.0
09/15/1988,45.34,0.0
09/15/1988,45.34,0.0
09/16/1988,0.0,0.0
09/16/1988,46.92,0.0
09/19/1988,46.92,0.0
09/19/1988,46.92,0.0
09/20/1988,46.92,0.0
09/20/1988,46.92,0.0
09/21/1988,46.92,0.0
09/21/1988,46.92,0.0
09/22/1988,46.92,0.0
09/22/1988,46.92,0.0
09/23/1988,46.92,0.0
09/23/1988,46.92,0.0
09/26/1988,0.0,0.0
09/26/1988,45.34,0.0
09/27/1988,45.34,0.0
09/27/1988,45.34,0.0
09/28/1988,0.0,0.0
09/28/1988,44.28,0.0
09/29/1988,44.28,0.0
09/29/1988,44.28,0.0
09/30/1988,0.0,0.0
09/30/1988,44.28,0.0
10/03/1988,44.29,0.00999
10/03/1988,44.29,0.00999
10/04/1988,44.29,0.00999
10/04/1988,44.29,0.00999
10/05/1988,0.0,0.00999
10/05/1988,45.34,0.00999
10/06/1988,45.34,0.00999
10/06/1988,45.34,0.00999
10/07/1988,45.34,0.00999
10/07/1988,45.34,0.00999
10/10/1988,0.0,0.00999
10/10/1988,46.4,0.00999
10/11/1988,0.0,0.00999
10/11/1988,42.71,0.00999
10/12/1988,42.71,0.00999
10/12/1988,42.71,0.00999
10/13/1988,42.71,0.00999
10/13/1988,42.71,0.00999
10/14/1988,0.0,0.00999
10/14/1988,43.23,0.00999
10/17/1988,43.23,0.00999
10/17/1988,43.23,0.00999
10/18/1988,0.0,0.00999
10/18/1988,44.82,0.00999
10/19/1988,0.0,0.00999
10/19/1988,44.82,0.00999
10/20/1988,44.82,0.00999
10/20/1988,44.82,0.00999
10/21/1988,0.0,0.00999
10/21/1988,45.34,0.00999
10/24/1988,0.0,0.00999
10/24/1988,44.29,0.00999
10/25/1988,44.29,0.00999
10/25/1988,44.29,0.00999
10/26/1988,44.29,0.00999
10/26/1988,44.29,0.00999
10/27/1988,44.29,0.00999
10/27/1988,44.29,0.00999
10/28/1988,0.0,0.00999
10/28/1988,43.76,0.00999
10/31/1988,43.76,0.00999
10/31/1988,43.76,0.00999
11/01/1988,0.0,0.00999
11/01/1988,44.29,0.00999
11/02/1988,0.0,0.00999
11/02/1988,44.29,0.00999
11/03/1988,44.29,0.00999
11/03/1988,44.29,0.00999
11/04/1988,44.29,0.00999
11/04/1988,44.29,0.00999
11/07/1988,44.29,0.00999
11/07/1988,44.29,0.00999
11/08/1988,44.29,0.00999
11/08/1988,44.29,0.00999
11/09/1988,44.29,0.00999
11/09/1988,44.29,0.00999
11/10/1988,44.29,0.00999
11/10/1988,44.29,0.00999
11/11/1988,44.29,0.00999
11/11/1988,44.29,0.00999
11/14/1988,44.29,0.00999
11/14/1988,44.29,0.00999
11/15/1988,0.0,0.00999
11/15/1988,44.82,0.00999
11/16/1988,44.82,0.00999
11/16/1988,44.82,0.00999
11/17/1988,0.0,0.00999
11/17/1988,46.4,0.00999
11/18/1988,0.0,0.00999
11/18/1988,46.4,0.00999
11/21/1988,46.4,0.00999
11/21/1988,46.4,0.00999
11/22/1988,46.4,0.00999
11/22/1988,46.4,0.00999
11/23/1988,0.0,0.00999
11/23/1988,47.45,0.00999
11/25/1988,47.45,0.00999
11/25/1988,47.45,0.00999
11/28/1988,47.45,0.00999
11/28/1988,47.45,0.00999
11/29/1988,0.0,0.00999
11/29/1988,43.76,0.00999
11/30/1988,43.76,0.00999
11/30/1988,43.76,0.00999
12/01/1988,0.0,0.00999
12/01/1988,42.71,0.00999
12/02/1988,0.0,0.00999
12/02/1988,43.23,0.00999
12/05/1988,43.23,0.00999
12/05/1988,43.23,0.00999
12/06/1988,43.23,0.00999
12/06/1988,43.23,0.00999
12/07/1988,43.25,0.0402
12/07/1988,43.25,0.0402
12/08/1988,43.25,0.0402
12/08/1988,43.25,0.0402
12/09/1988,0.0,0.0402
12/09/1988,40.09,0.0402
12/12/1988,40.09,0.0402
12/12/1988,40.09,0.0402
12/13/1988,0.0,0.0402
12/13/1988,38.51,0.0402
12/14/1988,38.51,0.0402
12/14/1988,38.51,0.0402
12/15/1988,0.0,0.0402
12/15/1988,37.45,0.0402
12/16/1988,37.45,0.0402
12/16/1988,37.45,0.0402
12/19/1988,37.45,0.0402
12/19/1988,37.45,0.0402
12/20/1988,37.45,0.0402
12/20/1988,37.45,0.0402
12/21/1988,37.45,0.0402
12/21/1988,37.45,0.0402
12/22/1988,37.45,0.0402
12/22/1988,37.45,0.0402
12/23/1988,37.45,0.0402
12/23/1988,37.45,0.0402
12/27/1988,0.0,0.0402
12/27/1988,37.45,0.0402
12/28/1988,0.0,0.0402
12/28/1988,38.51,0.0402
12/29/1988,0.0,0.0402
12/29/1988,39.03,0.0402
12/30/1988,39.03,0.0402
12/30/1988,39.03,0.0402
01/03/1989,39.03,0.0402
01/03/1989,39.03,0.0402
01/04/1989,39.03,0.0402
01/04/1989,39.03,0.0402
01/05/1989,39.03,0.0402
01/05/1989,39.03,0.0402
01/06/1989,39.03,0.0402
01/06/1989,39.03,0.0402
01/09/1989,39.03,0.0402
01/09/1989,39.03,0.0402
01/10/1989,39.03,0.0402
01/10/1989,39.03,0.0402
01/11/1989,39.03,0.0402
01/11/1989,39.03,0.0402
01/12/1989,39.03,0.0402
01/12/1989,39.03,0.0402
01/13/1989,39.03,0.0402
01/13/1989,39.03,0.0402
01/16/1989,39.03,0.0402
01/16/1989,39.03,0.0402
01/17/1989,39.03,0.0402
01/17/1989,39.03,0.0402
01/18/1989,39.03,0.0402
01/18/1989,39.03,0.0402
01/19/1989,39.03,0.0402
01/19/1989,39.03,0.0402
01/20/1989,0.0,0.0402
01/20/1989,41.67,0.0402
01/23/1989,41.67,0.0402
01/23/1989,41.67,0.0402
01/24/1989,41.67,0.0402
01/24/1989,41.67,0.0402
01/25/1989,0.0,0.0402
01/25/1989,42.73,0.0402
01/26/1989,42.73,0.0402
01/26/1989,42.73,0.0402
01/27/1989,42.73,0.0402
01/27/1989,42.73,0.0402
01/30/1989,42.73,0.0402
01/30/1989,42.73,0.0402
01/31/1989,0.0,0.0402
01/31/1989,48.0,0.0402
02/01/1989,0.0,0.0402
02/01/1989,46.94,0.0402
02/02/1989,46.94,0.0402
02/02/1989,46.94,0.0402
02/03/1989,46.94,0.0402
02/03/1989,46.94,0.0402
